row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,2.91 [1.53-4.98],2.88 [1.5-5.15],2.65 [1.43-4.77],1.19 [1.1-1.69],0.444 [0.36-0.493],0.181 [0.156-0.192]
q=2,twin,0.92 [0.54-1.26],0.621 [0.416-0.887],0.661 [0.419-0.897],0.637 [0.493-1.37],0.599 [0.479-1.05],0.561 [0.451-0.938]
q=4,physics,2.21 [1.73-2.67],1.97 [1.6-2.58],1.84 [1.38-2.48],1.36 [1-1.83],0.451 [0.369-0.587],0.126 [0.106-0.145]
q=4,twin,0.808 [0.606-1.28],0.631 [0.476-0.782],0.573 [0.514-0.775],0.651 [0.418-0.792],0.497 [0.392-0.901],0.478 [0.404-0.691]
q=6,physics,3.14 [1.8-4.89],3.07 [1.73-4.69],3.14 [1.57-4.18],1.46 [0.933-1.72],0.417 [0.309-0.588],0.0963 [0.0909-0.106]
q=6,twin,0.847 [0.717-1.12],0.637 [0.437-0.908],0.556 [0.351-0.768],0.558 [0.381-1.17],0.437 [0.37-0.737],0.611 [0.369-0.796]
q=8,physics,2.57 [1.74-7.22],2.77 [1.71-6.49],2.51 [1.68-5.38],1.34 [0.877-1.77],0.535 [0.386-0.818],0.0898 [0.0796-0.107]
q=8,twin,0.602 [0.555-1.11],0.549 [0.423-0.778],0.484 [0.431-0.62],0.556 [0.459-0.612],0.521 [0.487-0.639],0.556 [0.433-0.592]
q=10,physics,3.18 [1.81-4.66],3.1 [1.72-4.83],2.69 [1.58-4.49],1.52 [0.995-1.69],0.477 [0.391-0.721],0.0822 [0.0743-0.11]
q=10,twin,0.719 [0.413-0.885],0.473 [0.357-0.535],0.51 [0.353-0.748],0.414 [0.371-0.642],0.444 [0.378-0.597],0.407 [0.335-0.456]
q=12,physics,1.93 [1.3-4.56],1.92 [1.45-4.58],1.84 [1.37-4.6],1.28 [0.843-1.64],0.468 [0.386-0.65],0.0971 [0.0915-0.0993]
q=12,twin,0.625 [0.48-0.773],0.49 [0.339-0.63],0.472 [0.378-0.594],0.449 [0.368-0.461],0.445 [0.362-0.569],0.381 [0.343-0.506]
q=14,physics,1.84 [1.19-2.81],1.98 [1.07-2.78],1.92 [1.02-2.5],1.41 [1.03-1.55],0.49 [0.356-0.538],0.099 [0.0761-0.117]
q=14,twin,0.566 [0.488-0.848],0.511 [0.379-0.59],0.437 [0.424-0.509],0.451 [0.418-0.487],0.432 [0.375-0.564],0.421 [0.36-0.586]
q=16,physics,3.15 [1.52-5.56],3.26 [1.59-5.3],2.65 [1.46-4.47],1.18 [0.872-1.6],0.578 [0.49-0.821],0.0994 [0.0772-0.122]
q=16,twin,0.646 [0.488-0.882],0.472 [0.391-0.76],0.499 [0.389-0.584],0.494 [0.382-0.591],0.454 [0.339-0.59],0.576 [0.376-0.65]
q=18,physics,2.37 [1.89-3.9],2.45 [1.77-3.69],2.26 [1.56-3.28],1.28 [0.92-1.49],0.634 [0.4-0.734],0.0973 [0.0691-0.114]
q=18,twin,0.508 [0.405-0.93],0.431 [0.397-0.462],0.414 [0.362-0.463],0.428 [0.392-0.462],0.459 [0.371-0.598],0.385 [0.371-0.61]
q=20,physics,2.64 [1.22-3.77],2.89 [1.14-3.78],2.62 [1.12-3.42],1.09 [0.968-1.38],0.551 [0.394-0.809],0.101 [0.0951-0.114]
q=20,twin,0.701 [0.426-0.882],0.491 [0.349-0.667],0.402 [0.364-0.44],0.447 [0.373-0.547],0.428 [0.367-0.478],0.393 [0.346-0.453]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
