row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,4.34 [2.91-6.01],4.38 [2.75-6.24],3.86 [2.68-5.61],2.03 [1.46-3.46],0.678 [0.455-0.972],0.225 [0.198-0.24]
q=2,twin,0.546 [0.414-0.624],0.431 [0.322-0.721],0.431 [0.341-0.525],0.441 [0.33-0.54],0.423 [0.341-0.495],0.413 [0.327-0.501]
q=4,physics,3.12 [2.27-3.6],2.96 [2.38-3.87],2.71 [1.95-3.69],2.18 [1.47-2.47],0.516 [0.39-0.727],0.139 [0.123-0.148]
q=4,twin,0.48 [0.385-0.804],0.361 [0.321-0.417],0.399 [0.334-0.423],0.409 [0.378-0.518],0.388 [0.333-0.423],0.369 [0.333-0.446]
q=6,physics,2.56 [1.73-4.04],2.55 [1.68-3.79],2.51 [1.65-3.49],2.13 [1.24-2.38],0.63 [0.567-0.868],0.138 [0.115-0.158]
q=6,twin,0.508 [0.393-1.2],0.484 [0.368-0.646],0.408 [0.367-0.47],0.404 [0.351-0.544],0.428 [0.34-0.555],0.417 [0.338-0.602]
q=8,physics,1.83 [1.35-3.98],1.79 [1.3-4.02],1.92 [1.22-3.49],1.72 [0.887-4.19],0.661 [0.549-0.797],0.146 [0.107-0.182]
q=8,twin,0.55 [0.451-0.704],0.4 [0.372-0.579],0.4 [0.319-0.445],0.419 [0.327-0.445],0.39 [0.334-0.469],0.389 [0.329-0.444]
q=10,physics,2.83 [1.77-3.92],2.9 [1.59-4.21],2.69 [1.51-4.4],2.12 [1.08-2.99],0.842 [0.579-1.05],0.154 [0.106-0.164]
q=10,twin,0.448 [0.411-0.479],0.406 [0.358-0.451],0.368 [0.345-0.444],0.41 [0.372-0.449],0.393 [0.345-0.444],0.383 [0.343-0.437]
q=12,physics,2.45 [1.47-5.2],2.41 [1.23-5.3],2.52 [1.12-4.77],1.59 [1.19-2.52],0.658 [0.591-1.13],0.133 [0.11-0.165]
q=12,twin,0.453 [0.427-0.592],0.381 [0.34-0.431],0.365 [0.341-0.413],0.38 [0.353-0.408],0.369 [0.342-0.409],0.364 [0.33-0.407]
q=14,physics,1.63 [1.25-3.37],1.55 [1.16-3.09],1.54 [1.14-2.95],1.22 [0.745-1.72],0.725 [0.515-1.07],0.143 [0.114-0.164]
q=14,twin,0.446 [0.426-0.571],0.362 [0.337-0.393],0.376 [0.34-0.397],0.369 [0.35-0.411],0.386 [0.331-0.437],0.373 [0.332-0.411]
q=16,physics,1.95 [1.43-2.24],1.79 [1.24-2.69],1.75 [1.13-2.4],1.46 [0.8-1.59],0.702 [0.493-0.962],0.134 [0.105-0.168]
q=16,twin,0.486 [0.43-0.554],0.376 [0.316-0.409],0.391 [0.343-0.495],0.386 [0.346-0.5],0.392 [0.356-0.472],0.376 [0.354-0.511]
q=18,physics,1.66 [0.994-3.01],1.55 [0.882-2.92],1.56 [0.809-2.89],1.2 [0.952-1.89],0.808 [0.639-1.18],0.148 [0.136-0.169]
q=18,twin,0.456 [0.39-0.573],0.387 [0.343-0.477],0.393 [0.346-0.456],0.401 [0.344-0.55],0.403 [0.346-0.483],0.372 [0.332-0.399]
q=20,physics,1.62 [1.25-4.64],1.6 [1.17-4.37],1.48 [1.11-3.8],1.07 [0.926-1.62],0.784 [0.411-0.993],0.153 [0.107-0.158]
q=20,twin,0.509 [0.385-0.82],0.431 [0.352-0.804],0.406 [0.372-0.498],0.395 [0.372-0.605],0.408 [0.36-0.523],0.399 [0.346-0.45]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
