row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,1.94e-05 [9.07e-06-2.86e-05],0.00204 [0.000958-0.003],0.194 [0.095-0.288],10.6 [7.03-19.3],239 [184-246],8.39e+03 [8.21e+03-8.59e+03]
q=2,twin,1.56e-06 [1.26e-06-2.91e-06],0.000209 [9.63e-05-0.000266],0.0267 [0.00967-0.028],2.81 [1.95-3.28],731 [321-981],6.18e+03 [3.34e+03-7.32e+03]
q=4,physics,1.04e-05 [2.95e-06-2.08e-05],0.00116 [0.000309-0.00217],0.112 [0.0333-0.216],9 [3.23-11.7],237 [195-247],3.46e+03 [3.39e+03-3.58e+03]
q=4,twin,2.3e-06 [1.93e-06-2.37e-06],0.000172 [0.000146-0.000182],0.0181 [0.0166-0.0211],2.08 [2.08-3.54],378 [373-738],4.65e+03 [4.33e+03-4.89e+03]
q=6,physics,5.79e-06 [5.66e-06-3.13e-05],0.000675 [0.000523-0.0032],0.068 [0.0606-0.315],8.61 [5.43-13.7],242 [239-270],767 [735-832]
q=6,twin,1.98e-06 [1.8e-06-2.93e-06],0.000192 [0.000158-0.000199],0.0193 [0.0167-0.0226],2.82 [2.76-3.79],559 [552-611],5.62e+03 [5.14e+03-5.66e+03]
q=8,physics,8.69e-06 [4.71e-06-1.21e-05],0.000941 [0.000551-0.00125],0.0952 [0.0503-0.119],9.22 [5.46-9.95],242 [205-346],836 [663-892]
q=8,twin,2.2e-06 [1.75e-06-2.63e-06],0.000203 [0.000183-0.000277],0.0247 [0.0193-0.0292],3.14 [2.61-3.14],949 [540-995],7.26e+03 [5.22e+03-8.83e+03]
q=10,physics,1.45e-05 [1.1e-05-1.79e-05],0.00146 [0.00115-0.00194],0.153 [0.112-0.186],14.9 [9.44-17.7],275 [232-324],791 [710-908]
q=10,twin,2.67e-06 [1.77e-06-3.34e-06],0.000204 [0.000134-0.000269],0.0227 [0.0182-0.0236],2.51 [2.46-2.89],579 [448-817],4.96e+03 [3.91e+03-7.43e+03]
q=12,physics,1.17e-05 [9.79e-06-1.8e-05],0.00129 [0.00103-0.00185],0.124 [0.112-0.18],11.7 [11.1-11.8],280 [252-296],745 [731-848]
q=12,twin,1.33e-06 [1.18e-06-2.4e-06],0.000162 [9.42e-05-0.000173],0.0159 [0.0107-0.022],2.57 [1.57-2.6],404 [378-589],4.83e+03 [4.76e+03-6.02e+03]
q=14,physics,8.32e-06 [7.2e-06-1.27e-05],0.000911 [0.00071-0.00139],0.0864 [0.0809-0.14],8.22 [6.65-13.3],241 [222-312],822 [734-916]
q=14,twin,3.03e-06 [2.52e-06-3.95e-06],0.000195 [0.000157-0.000269],0.0232 [0.022-0.0304],3.13 [2.77-3.25],698 [549-744],6.11e+03 [5.92e+03-6.16e+03]
q=16,physics,1.07e-05 [8.8e-06-1.26e-05],0.00119 [0.00093-0.00129],0.115 [0.0959-0.121],8.17 [6.85-11.1],289 [263-311],781 [638-844]
q=16,twin,2.7e-06 [1.18e-06-2.72e-06],0.000165 [0.000138-0.000261],0.0195 [0.0136-0.0307],2.27 [1.69-3.18],542 [390-987],5.52e+03 [3.8e+03-7.98e+03]
q=18,physics,1.04e-05 [1.04e-05-1.32e-05],0.00106 [0.00106-0.00129],0.12 [0.109-0.156],8.47 [8.17-16.4],246 [230-248],743 [712-793]
q=18,twin,2.85e-06 [1.91e-06-3.79e-06],0.00022 [0.00013-0.000251],0.023 [0.0157-0.0281],2.79 [2.37-3.38],620 [536-1.01e+03],6.59e+03 [5.99e+03-8.6e+03]
q=20,physics,1.8e-05 [6.59e-06-2.29e-05],0.00186 [0.000683-0.00227],0.205 [0.0706-0.238],11.8 [6.97-12.8],243 [222-244],820 [801-822]
q=20,twin,2.62e-06 [2.41e-06-3.3e-06],0.000263 [0.000197-0.000273],0.024 [0.0222-0.0278],3.21 [2.73-3.41],815 [710-991],6.81e+03 [6.25e+03-8.59e+03]
