row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,4.56e-05 [4.1e-05-4.6e-05],0.000475 [0.000425-0.00048],0.00465 [0.00419-0.0047],0.0416 [0.0413-0.0418],0.131 [0.13-0.135],0.156 [0.137-0.159]
q=2,twin,1.72e-05 [1.42e-05-2.26e-05],0.000174 [0.000154-0.000208],0.00187 [0.00186-0.00231],0.0181 [0.018-0.0276],0.179 [0.147-0.24],0.534 [0.454-0.705]
q=4,physics,4.12e-05 [4.04e-05-4.18e-05],0.000435 [0.000435-0.000465],0.00431 [0.0043-0.00432],0.0405 [0.0378-0.0416],0.149 [0.138-0.156],0.125 [0.113-0.125]
q=4,twin,1.64e-05 [1.48e-05-2.19e-05],0.000185 [0.000158-0.000187],0.00178 [0.0015-0.00197],0.0171 [0.0158-0.0217],0.163 [0.155-0.172],0.466 [0.453-0.524]
q=6,physics,4.48e-05 [4.13e-05-5.81e-05],0.000462 [0.000427-0.000594],0.00455 [0.00414-0.00602],0.0395 [0.038-0.0457],0.142 [0.114-0.144],0.0898 [0.0866-0.0972]
q=6,twin,2.12e-05 [1.64e-05-2.33e-05],0.000183 [0.000182-0.00021],0.0016 [0.00142-0.00183],0.0164 [0.0135-0.0242],0.131 [0.104-0.214],0.581 [0.379-0.686]
q=8,physics,3.49e-05 [3.13e-05-4.42e-05],0.000351 [0.000322-0.000432],0.00358 [0.00313-0.00447],0.0366 [0.0322-0.0423],0.14 [0.129-0.167],0.0894 [0.081-0.097]
q=8,twin,1.72e-05 [1.22e-05-1.84e-05],0.000141 [0.000141-0.000171],0.00157 [0.00131-0.00167],0.0171 [0.0145-0.0177],0.129 [0.128-0.158],0.518 [0.491-0.521]
q=10,physics,4.3e-05 [3.92e-05-4.46e-05],0.000442 [0.000363-0.000445],0.00428 [0.00397-0.0044],0.0408 [0.0391-0.0426],0.144 [0.129-0.148],0.0794 [0.0759-0.0963]
q=10,twin,1.58e-05 [1.13e-05-1.64e-05],0.000149 [0.000131-0.00016],0.00149 [0.00126-0.00164],0.0149 [0.0133-0.0149],0.117 [0.103-0.13],0.408 [0.376-0.42]
q=12,physics,3.79e-05 [2.77e-05-4.28e-05],0.00043 [0.000264-0.000433],0.00409 [0.00268-0.00421],0.0412 [0.0292-0.0418],0.152 [0.132-0.165],0.0938 [0.086-0.0943]
q=12,twin,1.41e-05 [1.16e-05-1.49e-05],0.000146 [0.000133-0.000146],0.00152 [0.00125-0.00161],0.0132 [0.0129-0.015],0.0991 [0.0957-0.126],0.378 [0.364-0.415]
q=14,physics,3.43e-05 [3.11e-05-3.84e-05],0.000331 [0.000319-0.000368],0.00342 [0.00315-0.00373],0.0335 [0.0317-0.0347],0.135 [0.132-0.155],0.091 [0.0886-0.106]
q=14,twin,1.32e-05 [1.32e-05-1.52e-05],0.000143 [0.000127-0.000155],0.00132 [0.00131-0.00151],0.0143 [0.014-0.015],0.108 [0.103-0.122],0.417 [0.397-0.49]
q=16,physics,3.51e-05 [3.12e-05-3.98e-05],0.000317 [0.0003-0.000401],0.00354 [0.0032-0.00371],0.0345 [0.0306-0.039],0.166 [0.125-0.169],0.0938 [0.0813-0.0984]
q=16,twin,1.47e-05 [1.37e-05-1.8e-05],0.000146 [0.000134-0.000198],0.00155 [0.00135-0.00162],0.0157 [0.0151-0.016],0.137 [0.111-0.143],0.533 [0.483-0.541]
q=18,physics,3.66e-05 [2.71e-05-5.34e-05],0.000374 [0.000289-0.000521],0.00364 [0.00296-0.00566],0.0333 [0.0286-0.0383],0.161 [0.15-0.164],0.0948 [0.0855-0.0972]
q=18,twin,1.17e-05 [1.14e-05-1.27e-05],0.00014 [0.000138-0.000141],0.00126 [0.00126-0.00133],0.0132 [0.013-0.0139],0.12 [0.101-0.123],0.4 [0.371-0.463]
q=20,physics,3.2e-05 [2.98e-05-3.52e-05],0.000319 [0.000315-0.000331],0.00324 [0.00298-0.00341],0.0338 [0.0303-0.0339],0.162 [0.146-0.176],0.101 [0.0956-0.107]
q=20,twin,1.49e-05 [1.25e-05-2.01e-05],0.00016 [0.000136-0.000165],0.00128 [0.00124-0.00135],0.0141 [0.0131-0.0142],0.103 [0.0975-0.112],0.392 [0.358-0.408]
