row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,2.14e-05 [2.07e-05-4.31e-05],0.00228 [0.00225-0.00444],0.218 [0.203-0.445],6.98 [5.1-13.6],227 [193-243],8.45e+03 [8.25e+03-9.09e+03]
q=2,twin,2.87e-06 [1.85e-06-3.15e-06],0.00025 [0.000184-0.000273],0.027 [0.0213-0.0272],3.05 [2.43-3.15],901 [717-982],6.68e+03 [4.53e+03-8.36e+03]
q=4,physics,3.1e-05 [2.1e-05-3.13e-05],0.00332 [0.00231-0.0035],0.309 [0.233-0.335],16.1 [8.27-17.3],204 [194-213],3.5e+03 [3.45e+03-3.65e+03]
q=4,twin,2.92e-06 [2.53e-06-3.83e-06],0.000231 [0.000217-0.000339],0.0305 [0.0293-0.0352],3.6 [3.13-3.62],957 [765-980],6.95e+03 [4.51e+03-7.83e+03]
q=6,physics,2.49e-05 [1.6e-05-3.19e-05],0.00237 [0.00162-0.0033],0.234 [0.172-0.328],7.53 [6.28-13.7],198 [178-219],788 [690-810]
q=6,twin,2.85e-06 [2.66e-06-4.68e-06],0.000277 [0.000247-0.000284],0.0282 [0.0256-0.0289],3.2 [3.13-3.25],999 [980-1.01e+03],7.94e+03 [7.53e+03-9.06e+03]
q=8,physics,1.59e-05 [9.51e-06-2.26e-05],0.00166 [0.00103-0.00227],0.183 [0.0884-0.201],8.81 [7.7-10.2],208 [163-209],679 [599-711]
q=8,twin,2.62e-06 [1.87e-06-2.65e-06],0.000238 [0.000132-0.000306],0.0269 [0.0155-0.0307],3.14 [1.65-3.15],976 [377-1.01e+03],8.59e+03 [3.45e+03-8.75e+03]
q=10,physics,2.35e-05 [1.41e-05-2.39e-05],0.00241 [0.0015-0.00248],0.215 [0.168-0.232],9.44 [9.23-9.76],224 [208-233],694 [583-719]
q=10,twin,3.12e-06 [2.95e-06-3.73e-06],0.000302 [0.000267-0.000335],0.0286 [0.0278-0.0293],3.1 [3.02-3.12],979 [975-1.01e+03],8.68e+03 [7.58e+03-9.35e+03]
q=12,physics,3.01e-05 [2.5e-05-3.09e-05],0.00318 [0.0026-0.00321],0.301 [0.223-0.318],15 [6.29-18.9],185 [178-210],795 [652-833]
q=12,twin,3.25e-06 [2.74e-06-4.22e-06],0.000276 [0.000232-0.00032],0.0288 [0.0255-0.0337],3.1 [3.03-3.57],957 [955-991],7.13e+03 [4.98e+03-8.7e+03]
q=14,physics,1.72e-05 [8.54e-06-1.79e-05],0.00189 [0.000861-0.00192],0.172 [0.0823-0.221],7.96 [6.89-9.69],191 [188-196],677 [619-766]
q=14,twin,3.26e-06 [3.21e-06-4.92e-06],0.000292 [0.000289-0.000335],0.0283 [0.0254-0.0283],3.09 [3.03-3.81],994 [984-1e+03],9.37e+03 [8.68e+03-1.12e+04]
q=16,physics,3.18e-05 [1.13e-05-3.84e-05],0.0034 [0.00123-0.00394],0.308 [0.139-0.365],8.14 [6.32-11.3],208 [186-231],625 [625-694]
q=16,twin,3.15e-06 [3.09e-06-4.65e-06],0.000299 [0.000285-0.000315],0.0285 [0.0278-0.0313],3.21 [3.14-3.33],997 [971-1.02e+03],7.86e+03 [7.42e+03-8.34e+03]
q=18,physics,1.47e-05 [4.13e-06-1.85e-05],0.00148 [0.000435-0.00183],0.161 [0.0521-0.176],7.22 [5.24-10.7],196 [191-200],684 [600-733]
q=18,twin,3.15e-06 [3.13e-06-4.18e-06],0.000316 [0.000278-0.000334],0.0313 [0.0301-0.0318],3.09 [3.02-3.28],997 [987-1e+03],8.56e+03 [7.75e+03-9.26e+03]
q=20,physics,1.73e-05 [9.07e-06-2.17e-05],0.00199 [0.00094-0.00238],0.19 [0.106-0.219],10.1 [5.5-22],236 [179-236],682 [646-698]
q=20,twin,2.61e-06 [1.93e-06-4.34e-06],0.000269 [0.000173-0.000328],0.0274 [0.0173-0.0317],3.14 [1.88-3.22],976 [365-985],8.28e+03 [4.9e+03-8.29e+03]
