row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,5.45e-06 [4.05e-06-1.38e-05],0.000568 [0.000414-0.00145],0.0585 [0.0438-0.151],5.16 [3.72-10.9],157 [149-186],619 [578-631]
q=2,twin,6.19e-07 [4.84e-07-7e-07],5.86e-05 [4.83e-05-6.42e-05],0.00642 [0.0057-0.00743],1.07 [0.812-1.14],114 [112-157],1.34e+03 [1.29e+03-1.78e+03]
q=4,physics,5.25e-06 [2.46e-06-7.07e-06],0.00054 [0.000244-0.000719],0.0552 [0.0262-0.0814],6.64 [2.83-7.74],150 [136-166],322 [321-331]
q=4,twin,5.32e-07 [4.94e-07-5.49e-07],5.84e-05 [5.32e-05-6.17e-05],0.00663 [0.00653-0.00736],0.977 [0.91-1.12],127 [119-131],1.29e+03 [1.27e+03-1.53e+03]
q=6,physics,3.41e-06 [3.08e-06-4e-06],0.00038 [0.000338-0.000421],0.0388 [0.0341-0.0415],3.42 [3.28-4.16],154 [134-161],278 [265-321]
q=6,twin,5.28e-07 [4.37e-07-6.84e-07],5.72e-05 [4.64e-05-7.46e-05],0.0072 [0.0054-0.00815],1.13 [0.645-1.37],119 [107-119],1.56e+03 [1.08e+03-1.73e+03]
q=8,physics,3.9e-06 [3.27e-06-9.02e-06],0.000416 [0.000332-0.000982],0.0427 [0.0369-0.0987],4.95 [4.92-8.56],173 [142-180],331 [269-361]
q=8,twin,5.73e-07 [4.89e-07-6.22e-07],6e-05 [5.5e-05-7.15e-05],0.0066 [0.00609-0.00895],1.02 [0.877-1.23],110 [109-121],1.66e+03 [1.26e+03-1.81e+03]
q=10,physics,4.26e-06 [4.15e-06-5.01e-06],0.000466 [0.000435-0.000556],0.0466 [0.0433-0.057],4.76 [2.9-5.22],165 [153-175],274 [262-301]
q=10,twin,5.58e-07 [5.35e-07-6.99e-07],6e-05 [5.6e-05-7.16e-05],0.00705 [0.00595-0.00962],1.14 [0.87-1.61],126 [110-130],1.54e+03 [1.5e+03-1.63e+03]
q=12,physics,5.07e-06 [3.77e-06-5.47e-06],0.000541 [0.000407-0.00055],0.0561 [0.0395-0.0578],5.6 [4.91-5.78],167 [159-167],277 [265-288]
q=12,twin,6.98e-07 [5.33e-07-7.97e-07],7.45e-05 [6.12e-05-7.92e-05],0.00756 [0.00568-0.0078],1.12 [0.691-1.23],116 [59.6-128],1.49e+03 [1.3e+03-1.81e+03]
q=14,physics,4.28e-06 [2.45e-06-4.54e-06],0.000407 [0.000246-0.000481],0.0463 [0.0253-0.0494],4.06 [3.08-5.48],163 [158-168],301 [288-333]
q=14,twin,5.65e-07 [5.52e-07-6.3e-07],6.63e-05 [5.67e-05-7.09e-05],0.00763 [0.00671-0.00776],0.79 [0.694-1.03],90.3 [90.1-153],1.72e+03 [1.5e+03-2.08e+03]
q=16,physics,4.52e-06 [3.06e-06-4.58e-06],0.000458 [0.000331-0.000463],0.0462 [0.0327-0.0463],4.63 [3.71-5],149 [131-153],304 [280-309]
q=16,twin,6.56e-07 [4.68e-07-8.3e-07],6.71e-05 [4.91e-05-8.8e-05],0.00737 [0.00627-0.00918],1.16 [0.928-1.21],110 [94-127],1.96e+03 [1.38e+03-2.54e+03]
q=18,physics,4.2e-06 [2.1e-06-9.02e-06],0.000419 [0.000203-0.000975],0.0448 [0.0238-0.0906],4.33 [2.59-6.92],185 [181-187],335 [279-349]
q=18,twin,6.57e-07 [6.14e-07-8.05e-07],6.7e-05 [6.4e-05-8.57e-05],0.00891 [0.00689-0.0107],0.848 [0.789-0.857],104 [78.1-145],1.6e+03 [1.47e+03-1.83e+03]
q=20,physics,4.96e-06 [3.61e-06-1.22e-05],0.000519 [0.000377-0.00127],0.0538 [0.0371-0.127],4.96 [3.73-8.44],157 [151-181],297 [278-300]
q=20,twin,8e-07 [5.9e-07-9.48e-07],7.8e-05 [6.79e-05-9.52e-05],0.00914 [0.00697-0.00942],0.852 [0.726-1],109 [102-134],2.11e+03 [1.44e+03-2.75e+03]
