arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
2x256,data,0.1 mm,ty,mrad,2.23826,47.6924,0.0833659,0.873531,21.977,30
2x256,data,0.1 mm,x,um,355170,2.52933e+06,0.0939963,0.261646,6.73834,30
2x256,data,0.1 mm,y,um,4763.94,114672,0.0841319,0.896815,22.5159,30
2x256,data,1 mm,max_xy,um,222747,2.43528e+06,nan,nan,9.87481,30
2x256,data,1 mm,tx,mrad,90.7753,919.695,0.101026,0.511684,11.544,30
2x256,data,1 mm,ty,mrad,1.738,50.544,0.0839755,1.17102,26.9768,30
2x256,data,1 mm,x,um,221752,2.43528e+06,0.0729989,0.365032,9.90203,30
2x256,data,1 mm,y,um,3854.93,118692,0.0681857,1.02353,29.0619,30
2x256,data,10 mm,max_xy,um,44436.6,865716,nan,nan,21.9795,30
2x256,data,10 mm,tx,mrad,15.3994,350.252,0.0489436,0.751236,26.0888,30
2x256,data,10 mm,ty,mrad,0.675294,23.4624,0.0541226,0.892898,36.8711,30
2x256,data,10 mm,x,um,43606.4,865716,0.0394702,0.816194,22.3639,30
2x256,data,10 mm,y,um,1865.06,62065.7,0.029787,0.68227,35.8486,30
2x256,data,100 mm,max_xy,um,30692.1,261815,nan,nan,8.19049,30
2x256,data,100 mm,tx,mrad,10.9768,99.3441,0.0730739,0.320924,8.51839,30
2x256,data,100 mm,ty,mrad,1.24249,18.4537,0.0405334,0.330266,14.0564,30
2x256,data,100 mm,x,um,28172.3,255404,0.0731674,0.298807,8.46701,30
2x256,data,100 mm,y,um,3370.17,47302.7,0.0640435,0.478272,15.5008,30
2x256,data,1000 mm,max_xy,um,8674.19,104269,nan,nan,11.5513,30
2x256,data,1000 mm,tx,mrad,3.57966,45.5606,0.0594752,0.359846,12.4112,30
2x256,data,1000 mm,ty,mrad,0.795513,14.8421,0.0369304,0.363942,18.3369,30
2x256,data,1000 mm,x,um,7762.77,97429.8,0.0516462,0.274392,13.0886,30
2x256,data,1000 mm,y,um,1809.2,35110.2,0.053772,0.495357,18.3311,30
2x256,data,full crossing,max_xy,um,1894.63,28785.7,nan,nan,15.0896,30
2x256,data,full crossing,tx,mrad,0.724591,15.6888,0.031161,0.517222,21.6095,30
2x256,data,full crossing,ty,mrad,0.330379,5.51764,0.0522736,0.432002,16.4458,30
2x256,data,full crossing,x,um,1424.07,26788.6,0.0556094,0.638041,19.3488,30
2x256,data,full crossing,y,um,753.962,11725.6,0.0281452,0.242839,15.8488,30
2x256,physics,0.1 mm,max_xy,um,386451,991734,nan,nan,2.51485,30
2x256,physics,0.1 mm,tx,mrad,131.534,358.919,0.0227004,0.0321155,2.69046,30
2x256,physics,0.1 mm,ty,mrad,1.84832,20.0204,0.15242,0.746855,9.85508,30
2x256,physics,0.1 mm,x,um,386451,991734,0.112873,0.158749,2.51485,30
2x256,physics,0.1 mm,y,um,4846.64,66085.4,0.093893,0.499114,12.4675,30
2x256,physics,1 mm,max_xy,um,377018,1e+06,nan,nan,2.62316,30
2x256,physics,1 mm,tx,mrad,130.787,360.198,0.0236097,0.0355783,2.76595,30
2x256,physics,1 mm,ty,mrad,1.79903,19.602,0.13239,0.70011,9.59944,30
2x256,physics,1 mm,x,um,377018,1e+06,0.14615,0.208801,2.62316,30
2x256,physics,1 mm,y,um,4775.49,64293.4,0.131095,0.686135,13.0337,30
2x256,physics,10 mm,max_xy,um,341914,915374,nan,nan,2.65443,30
2x256,physics,10 mm,tx,mrad,117.202,327.35,0.0262292,0.0400683,2.81999,30
2x256,physics,10 mm,ty,mrad,1.78022,18.8372,0.112509,0.667983,10.1884,30
2x256,physics,10 mm,x,um,341914,915374,0.150575,0.214924,2.65443,30
2x256,physics,10 mm,y,um,4583.73,61659,0.112765,0.630689,13.4341,30
2x256,physics,100 mm,max_xy,um,51379,200288,nan,nan,4.1614,30
2x256,physics,100 mm,tx,mrad,18.8036,73.0643,0.0815394,0.18017,4.16113,30
2x256,physics,100 mm,ty,mrad,1.07919,12.3268,0.0667401,0.336591,10.3222,30
2x256,physics,100 mm,x,um,50909.4,200288,0.112586,0.244904,4.21279,30
2x256,physics,100 mm,y,um,3427.97,40408.8,0.0456879,0.25136,11.8376,30
2x256,physics,1000 mm,max_xy,um,4070.05,36445.3,nan,nan,8.59941,30
2x256,physics,1000 mm,tx,mrad,1.70976,17.4524,0.0621641,0.286774,9.19012,30
2x256,physics,1000 mm,ty,mrad,0.389997,6.2245,0.0222939,0.222715,15.7727,30
2x256,physics,1000 mm,x,um,3720.76,34369.9,0.0694593,0.352334,8.88737,30
2x256,physics,1000 mm,y,um,1052.38,14996.1,0.0535947,0.474579,14.2996,30
2x256,physics,full crossing,max_xy,um,1040.06,10933.2,nan,nan,10.4206,30
2x256,physics,full crossing,tx,mrad,0.22351,3.26286,0.0237198,0.159454,13.8879,30
2x256,physics,full crossing,ty,mrad,0.0698961,1.61908,0.0288852,0.481049,23.0634,30
2x256,physics,full crossing,x,um,940.572,10118.5,0.0390614,0.224144,10.4884,30
2x256,physics,full crossing,y,um,286.577,4546.88,0.0248914,0.25274,16.4732,30
2x32,data,0.1 mm,max_xy,um,19387.4,528936,nan,nan,22.8875,30
2x32,data,0.1 mm,tx,mrad,8.06246,201.928,0.0789783,1.31187,25.9147,30
