row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
single step (grid C4) q=10,"physics, single step",,,,,,980 [980-994]
single step (grid C4) q=10,"twin, single step",,,,,,8.67e+03 [8.19e+03-9.78e+03]
single step (grid C4) q=12,"physics, single step",,,,,,949 [899-964]
single step (grid C4) q=12,"twin, single step",,,,,,9.54e+03 [9.29e+03-1.17e+04]
single step (grid C4) q=14,"physics, single step",,,,,,1.03e+03 [906-1.16e+03]
single step (grid C4) q=14,"twin, single step",,,,,,8.86e+03 [8.81e+03-9.79e+03]
single step (grid C4) q=16,"physics, single step",,,,,,1.08e+03 [986-1.09e+03]
single step (grid C4) q=16,"twin, single step",,,,,,1.09e+04 [8.13e+03-1.11e+04]
single step (grid C4) q=18,"physics, single step",,,,,,1.07e+03 [1.06e+03-1.15e+03]
single step (grid C4) q=18,"twin, single step",,,,,,9.67e+03 [9.13e+03-9.7e+03]
single step (grid C4) q=20,"physics, single step",,,,,,1.05e+03 [982-1.22e+03]
single step (grid C4) q=20,"twin, single step",,,,,,1.02e+04 [8.89e+03-1.05e+04]
straight line,straight line,4.895e+05,4.797e+05,4.797e+05,4.797e+05,4.797e+05,4.797e+05
reference floor,reference floor,,,,,,
