example,evt,mckey,N,q,plane,z_mm,dx_um,dy_um,dtx_mrad,dty_mrad
p25,0,7004,128,7,120,7502.3875,2405.822619892447,586.3632308029594,1.6065186906808817,0.24180415089966947
p25,0,7004,128,7,121,7542.8390625,2465.3719941053114,596.4876890035953,1.6010251882524265,0.24766121578401537
p25,0,7004,128,7,122,7583.290625,2524.8094006402794,606.8420379595807,1.5959827538400209,0.25320751608176595
p25,0,7004,128,7,123,7623.7421875,2584.2084074467093,617.5467359016409,1.5919030388065538,0.25870007734654643
p25,0,7004,128,7,124,7664.19375,2643.6905948745703,628.573567897746,1.5988503051021994,0.2617676388376941
p25,0,7004,128,7,125,7704.6453125,2703.542344167744,639.7311421992526,1.5958398371275286,0.2661084002571167
p25,0,7004,128,7,126,7745.096875,2763.1645066502983,651.0293089348238,1.5886979054684225,0.2702049243984255
p25,0,7004,128,7,127,7785.5484375,2822.659649183471,662.4131167859275,1.5817971891055118,0.2738423974756876
p25,0,7004,128,7,128,7826.0,2881.9853887791282,673.9378358692818,1.5746696740173982,0.2777621809487846
p50,49,1974,1,16,0,2648.2,0.0,0.0,0.0,0.0
p50,49,1974,1,16,1,7826.0,165.62727226025407,-11.337835966457988,-0.025083571148630524,-0.046266050605509035
p50,49,1974,4,5,0,2648.2,0.0,0.0,0.0,0.0
p50,49,1974,4,5,1,3942.6499999999996,12.4808165179644,44.74033624532581,0.00022940217354883163,0.004326098742707396
p50,49,1974,4,5,2,5237.1,-44.757705927267466,78.18359440295808,0.0019314888007795211,-0.013913890219457992
p50,49,1974,4,5,3,6531.55,8.284559410299153,49.95568220255109,0.038508040184459524,-0.013628731970589947
p50,49,1974,4,5,4,7826.0,-137.36211437155708,10.867501998404805,0.04324300198044889,0.0041946558788086286
p50,49,1974,16,15,0,2648.2,0.0,0.0,0.0,0.0
p50,49,1974,16,15,1,2971.8125,32.64763982633667,5.136281712282198,-0.016304758767526212,0.0032246415597528277
p50,49,1974,16,15,2,3295.4249999999997,67.14671135304684,25.60752847665526,-0.027504091882644965,0.007166072511728683
