N,q,p_lo,p_hi,n,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad,x_sets_position_error,field_bend_x_med_mm,field_bend_y_med_mm,field_dtx_med_mrad,field_dty_med_mrad,dx_over_bend_x,dy_over_bend_y,dtx_over_field_dtx,dty_over_field_dty
1,16,1,2,5,2789.682374945187,191.95060143385945,1.3571280507611583,0.6318062012138359,0.8,1743.7323205164735,43.27728561343508,687.8722858800295,25.428088760194505,0.0015998340697836668,0.004435366005816916,0.001972936079296924,0.024846782908941014
1,16,2,5,500,272.55745422263544,274.33790890192887,0.13987337770424157,0.12422428395564462,0.486,910.5774010937961,5.387075963087355,353.10585194674877,2.5758297310489455,0.00029932376302688413,0.050925197784793194,0.00039612308018428317,0.04822690042678296
1,16,5,10,430,118.14258417931711,111.21938697269229,0.07315894209831975,0.05433411722530722,0.5093023255813953,456.0768129651299,1.0295581607144726,173.65472072666358,0.3426668982559645,0.00025904097910881934,0.10802632742526214,0.00042128968214733166,0.15856249174298956
1,16,10,25,383,130.45106887432212,67.30039768271467,0.050796740106773264,0.03144521045519988,0.6370757180156658,205.26837018952156,0.16228069115504695,77.80486440258314,0.046567859896630426,0.0006355147105902306,0.41471599118600144,0.0006528735766948629,0.6752556489604797
1,16,25,200,134,216.698295735398,84.6871301008747,0.11751067577518703,0.024490694782012146,0.8283582089552238,90.70661535591883,0.03704792847334204,34.32028916633373,0.006036017089808797,0.002389002112857008,2.285880306690065,0.0034239418906312244,4.0574263488024584
1,16,1,200,1452,158.41769469685119,115.39372946467097,0.08730693904879239,0.05403107216963156,0.5654269972451791,450.541208973166,0.893211049591855,171.8266523561743,0.3084377832926598,0.00035161643716876176,0.1291897693354769,0.000508110574533085,0.17517656751658217
4,5,1,2,5,3377.3262152448638,1538.2828313492637,1.6164050876202873,0.6930922077377846,1.0,1743.7323205164735,43.27728561343508,687.8722858800295,25.428088760194505,0.0019368375383697302,0.03554480854205228,0.0023498622066919577,0.027256952509256655
4,5,2,5,500,345.5380411753986,191.37958433762492,0.17757578611157787,0.07701806090077995,0.642,910.5774010937961,5.387075963087355,353.10585194674877,2.5758297310489455,0.00037947135604324717,0.03552568882432178,0.0005028967521567945,0.02990029192240753
4,5,5,10,430,170.01947840503817,104.52245316506037,0.08870983090694673,0.03242020711946656,0.6232558139534884,456.0768129651299,1.0295581607144726,173.65472072666358,0.3426668982559645,0.00037278693757675707,0.10152165963361012,0.0005108403073394014,0.09461143543328014
4,5,10,25,383,113.4580798371303,64.70753754405223,0.13222262045266275,0.020481552529951624,0.6892950391644909,205.26837018952156,0.16228069115504695,77.80486440258314,0.046567859896630426,0.0005527304559020757,0.398738365504181,0.0016994132882040334,0.43982164040640476
4,5,25,200,134,170.53517403675755,35.77193508829879,0.2870499579819812,0.02640053447560374,0.8582089552238806,90.70661535591883,0.03704792847334204,34.32028916633373,0.006036017089808797,0.0018800742742698946,0.9655583068305318,0.008363856044183946,4.373833619553259
4,5,1,200,1452,182.0230167669905,104.63511712366014,0.1396839610465217,0.034586324103507565,0.6701101928374655,450.541208973166,0.893211049591855,171.8266523561743,0.3084377832926598,0.000404009695765325,0.11714489780603614,0.0008129353574146054,0.11213387586400363
16,15,1,2,5,8267.05771832485,3894.041116306198,1.8107895892064407,0.8845575208619753,0.8,1743.7323205164735,43.27728561343508,687.8722858800295,25.428088760194505,0.004741013067806326,0.08997886676832904,0.00263245027656523,0.03478663021841713
16,15,2,5,500,922.2798685623488,397.2622211499299,0.38896074057093166,0.1362485773253111,0.718,910.5774010937961,5.387075963087355,353.10585194674877,2.5758297310489455,0.0010128516998714173,0.07374357144246715,0.0011015414738286186,0.05289502473046893
16,15,5,10,430,490.6791646372426,227.78105052223907,0.21388664107055422,0.05915847372241906,0.7325581395348837,456.0768129651299,1.0295581607144726,173.65472072666358,0.3426668982559645,0.0010758695699681587,0.2212415570230321,0.0012316776657469426,0.1726413436007729
16,15,10,25,383,618.4652460430016,138.50134534837366,0.13894297311516784,0.027149569046893557,0.9503916449086162,205.26837018952156,0.16228069115504695,77.80486440258314,0.046567859896630426,0.0030129593052840085,0.8534678054584207,0.0017857877419622482,0.5830108814783231
16,15,25,200,134,1835.7834703131743,41.12380888974698,0.8235143214389353,0.027747492434682282,0.9925373134328358,90.70661535591883,0.03704792847334204,34.32028916633373,0.006036017089808797,0.020238694422780985,1.1100164188488368,0.023994970364257785,4.596987056503056
16,15,1,200,1452,672.735352316721,198.74190754946142,0.2457416621691605,0.0537205560365555,0.809228650137741,450.541208973166,0.893211049591855,171.8266523561743,0.3084377832926598,0.0014931716320688187,0.22250274181031995,0.0014301719715738277,0.17416982920533763
64,7,1,2,5,10498.837708441699,5194.12059098147,7.6144430517428585,1.0052610093609569,0.8,1743.7323205164735,43.27728561343508,687.8722858800295,25.428088760194505,0.00602089987374442,0.12001955569433859,0.011069559288903928,0.03953348672176286
64,7,2,5,500,2251.456834927254,843.0614737550286,1.2776945674517344,0.21938605367579017,0.776,910.5774010937961,5.387075963087355,353.10585194674877,2.5758297310489455,0.0024725595344478987,0.15649704580587845,0.003618446311233667,0.08517102315860389
64,7,5,10,430,2043.3561729379335,289.5519577799348,0.7211784746114225,0.10482317983269429,0.8465116279069768,456.0768129651299,1.0295581607144726,173.65472072666358,0.3426668982559645,0.00448028953643421,0.28123904877699885,0.004152944829795751,0.3059040145581664
64,7,10,25,383,1078.295038652584,254.44408420258924,0.7865515164883902,0.07797693461547572,0.8668407310704961,205.26837018952156,0.16228069115504695,77.80486440258314,0.046567859896630426,0.005253098846437026,1.5679258104680311,0.010109284586868023,1.6744796687794108
64,7,25,200,134,8044.473866583644,486.32466861992896,3.331314814296067,0.10369232750757733,1.0,90.70661535591883,0.03704792847334204,34.32028916633373,0.006036017089808797,0.08868673839298671,13.126905839549584,0.09706546463378575,17.178932061450144
64,7,1,200,1452,1864.7771157596367,401.32643076455565,1.013677092450288,0.11428387379639957,0.8415977961432507,450.541208973166,0.893211049591855,171.8266523561743,0.3084377832926598,0.00413897126083022,0.44930750794892005,0.005899417107592059,0.3705248837427995
128,7,1,2,5,19301.33287270513,5701.705797838357,10.973465893615364,0.9723647832098727,1.0,1743.7323205164735,43.27728561343508,687.8722858800295,25.428088760194505,0.011068976955699427,0.1317482304405041,0.015952766405723788,0.03823979035074105
128,7,2,5,500,2647.0679653979514,1138.2694873281948,1.5389203524709543,0.31983424924706716,0.762,910.5774010937961,5.387075963087355,353.10585194674877,2.5758297310489455,0.0029070213715146707,0.21129634984316203,0.0043582408617318415,0.12416746549346733
128,7,5,10,430,2150.249357976946,477.86716478148605,0.8349324839987682,0.1555301021231338,0.8302325581395349,456.0768129651299,1.0295581607144726,173.65472072666358,0.3426668982559645,0.004714664935490477,0.4641478092406796,0.004808003378802299,0.4538813142288296
128,7,10,25,383,1837.7580864714673,343.74406246516287,0.8255656173441206,0.07661998764187106,0.9216710182767625,205.26837018952156,0.16228069115504695,77.80486440258314,0.046567859896630426,0.008952953076865616,2.1182067935410833,0.010610719826878995,1.6453405377002337
128,7,25,200,134,10739.998874760473,229.4913470235258,4.462766582872854,0.08813790369633506,1.0,90.70661535591883,0.03704792847334204,34.32028916633373,0.006036017089808797,0.11840370002362416,6.194444776815445,0.13003289573826135,14.601997042908804
128,7,1,200,1452,2435.5110291458145,518.8802918351456,1.1381240984994558,0.1472721808390108,0.8471074380165289,450.541208973166,0.893211049591855,171.8266523561743,0.3084377832926598,0.005405745313945017,0.5809156660928494,0.00662367614623762,0.4774777566705317
