N,q,n,mean_um,p10_um,p25_um,p50_um,p75_um,p90_um,p95_um,p99_um,max_um,worst5pct_share_of_sum,worst10pct_share_of_sum,rank_corr_with_N1,median | all tracks,n | all tracks,median | without p < 5 GeV,n | without p < 5 GeV,"median | without the beam-line region, r1 < 150 mm","n | without the beam-line region, r1 < 150 mm","median | without the outer region, r1 > 1500 mm","n | without the outer region, r1 > 1500 mm","median | without steep tracks, a start slope above 0.2","n | without steep tracks, a start slope above 0.2",median | without protons and kaons,n | without protons and kaons,"median | clean core: p >= 5 GeV, 150 <= r1 <= 1500 mm, slopes <= 0.2","n | clean core: p >= 5 GeV, 150 <= r1 <= 1500 mm, slopes <= 0.2"
1,16,1452,534.6700896267664,70.66747357022862,118.02332346042022,211.42911627640615,457.1313392404406,995.1911297150734,1776.6594072051353,5532.850119089988,33190.29641279622,0.441548166867886,0.5657986581291793,1.0,211.42911627640615,1452,164.56246808257902,947,210.23735706324942,1431,192.28599597744278,1286,202.69187914914255,1403,203.34629814556138,1120,155.1398068284584,884
4,5,1452,567.1416728539484,75.69987126843785,127.41104880810016,211.98930568031216,482.3916670864463,1133.5450408096467,2253.177426895313,6771.158204335887,14591.364732008515,0.4249920105446343,0.5623653296643834,0.564277882290219,211.98930568031216,1452,163.9527250540027,947,212.87350251151338,1431,188.9208773275044,1286,203.80169564680273,1403,209.13919418458704,1120,160.14097885815914,884
16,15,1452,1316.0312578643754,214.6071432767485,421.91028288139876,717.9271777965255,1285.5400938101411,2649.4561281701867,5289.965880066383,9874.073452781488,31370.629075266606,0.3155065489038526,0.4611798157637943,0.49079550145267237,717.9271777965255,1452,631.7100952084331,947,714.9964356686951,1431,652.7483608573448,1286,698.8605751317039,1403,698.7975256856771,1120,605.914571576534,884
64,7,1452,3072.532207949943,547.5707814821021,1092.0991386615312,1982.5968187053604,3536.1799656995886,6511.187427194142,9771.847652330602,17348.91890084704,64829.57819307194,0.24982839508711416,0.38028330389299775,0.2670999471303275,1982.5968187053604,1452,1725.3773859819148,947,1974.152990660059,1431,1785.615942977884,1286,1876.959062073638,1403,1964.868523416726,1120,1691.6332816494587,884
128,7,1452,3756.3528113376256,746.2819638456324,1427.7167557656157,2539.3699197086335,4361.205170786235,7814.500776622531,12477.587892408086,19269.90950281289,70015.36458710507,0.24066731159425572,0.37271547561020657,0.2989668048521716,2539.3699197086335,1452,2343.0701655669354,947,2532.1042127103083,1431,2411.001135230265,1286,2470.6111357385225,1403,2517.4677770591243,1120,2276.9473215283965,884
