N,legs,converged,at_restart_cap,confirm_is_optimiser_quit,stall_is_optimiser_quit,legs_with_any_quit_restart,final_loss_median,last_stall_gain_median,confirm_wall_ratio_median,own_over_straight_median,own_over_straight_p90,legs_ratio_ge_0p5,legs_ratio_ge_0p8,legs_ratio_ge_1
1,20,20,0,2,0,3,3.2933941803066295e-06,0.0004252128829053311,0.8858630867911677,0.0006068506099641161,0.013407757638646496,0,0,0
4,80,80,0,0,0,0,3.172551465411783e-07,0.0017525760845056053,0.8390317553087863,0.0023092916460698337,0.006364956095179906,0,0,0
16,320,320,0,0,0,0,9.114061591676412e-08,0.005963854871571414,0.8753612716763006,0.03700115871518431,0.08827988623024337,0,0,0
64,1280,1280,0,33,2,66,1.8815994320329556e-08,0.008339514859639033,0.906145134228188,0.15094502190741999,0.20829253567509368,5,0,0
128,2560,2560,0,674,10,1091,6.67014813041932e-09,0.009058814551934819,0.8353496455834243,0.3539212036549752,0.7741370399948807,837,210,33
