N,q,leg,z0,z1,converged,confirmed,confirm_attempts,restarts,n_stall,n_confirm,final_loss,last_stall_gain,stall_wall_s,confirm_wall_s,confirm_wall_ratio,confirm_gain,first_wall_s,n_quit_restarts,confirm_quit,stall_quit,own_test_um,straight_test_um,own_over_straight_test,own_train_um,own_over_straight_train,rho_median_test
1,1,0,2648.2,7826.0,True,True,1,35,33,2,0.0002710799780227189,0.008357132645872836,7.5,7.0,0.9333333333333333,0.008310210360503223,7.7,0,False,False,171524.13228666605,450541.20897315204,0.3807068673642398,179425.73076539618,0.3834780426736936,0.06895901225929718
1,2,0,2648.2,7826.0,True,True,1,61,59,2,1.963898261615807e-06,0.0005002214384072245,7.4,6.25,0.8445945945945945,0.0001296650959368639,7.1,0,False,False,4767.9404061237565,450541.20897172944,0.010582695458658777,4950.970128857591,0.010581471934137646,5.9470940102376444e-05
1,3,0,2648.2,7826.0,True,True,1,50,48,2,2.4374893188583412e-06,0.00042530351012761824,8.1,7.15,0.8827160493827161,0.00013734612758915023,7.6,0,False,False,17496.009705826054,450541.2089661341,0.03883331725853557,18597.85900242474,0.03974831557245879,0.0007230419009021276
1,4,0,2648.2,7826.0,True,True,1,86,84,2,3.0879869761255765e-06,0.00039985941237416034,7.9,7.0,0.8860759493670886,0.00011992141487405124,7.9,0,False,False,4642.326611231624,450541.20897312724,0.010303889008981902,4908.671033874612,0.010491068099149048,5.517874086243148e-05
1,5,0,2648.2,7826.0,True,True,1,61,59,2,2.483642971813637e-06,0.0003469891896535939,8.4,7.5,0.8928571428571428,0.00014830851818577846,8.5,0,False,False,456.4144713000786,450541.20896898804,0.0010130360158275662,448.91367753929853,0.0009594417570961008,7.03310202561278e-07
1,6,0,2648.2,7826.0,True,True,1,79,77,2,2.429164278353752e-06,0.00033701951277856194,9.3,7.949999999999999,0.8548387096774193,0.00013832813026479185,8.3,0,False,False,324.01394355855473,450541.2089698804,0.0007191660543091758,320.72191020759533,0.0006854636168692675,4.1464960536331553e-07
1,7,0,2648.2,7826.0,True,True,1,37,35,2,1.157495417648162e-05,0.0003526313338322564,9.3,0.4,0.04301075268817204,4.7506044643383926e-07,9.0,2,True,False,326.1960352447488,450541.2089709268,0.000724009322010316,330.67707188445536,0.0007067403083326349,5.001512367945962e-07
1,8,0,2648.2,7826.0,True,True,1,55,53,2,2.7777034077958204e-06,0.0006666845544516016,9.2,8.8,0.9565217391304349,0.00018674452083377528,9.3,0,False,False,225.6342858685514,450541.2089674688,0.0005008072100344615,225.42649846135276,0.00048179328588528344,1.7308559349588353e-07
1,9,0,2648.2,7826.0,True,True,1,72,70,2,3.856747862971521e-06,0.0005259191891772149,9.5,9.0,0.9473684210526315,0.00013222958435076437,10.0,0,False,False,222.437327079831,450541.2089685728,0.0004937113912155968,217.2086084551097,0.0004642295821662001,2.0070171517865647e-07
1,10,0,2648.2,7826.0,True,True,1,90,88,2,2.7699396692257984e-06,0.0003380850157726958,10.5,9.4,0.8952380952380953,0.00013248779345376025,10.0,0,False,False,226.10210048168256,450541.20897677704,0.0005018455492565984,221.61496296149608,0.00047364707313977256,2.0440004638527207e-07
1,11,0,2648.2,7826.0,True,True,1,67,65,2,2.548660578504107e-06,0.0004114435485616547,13.3,11.8,0.8872180451127819,0.00013626916970138508,11.9,0,False,False,220.5174850818139,450541.20897180226,0.0004894502005378498,220.32087597399652,0.00047088128284890763,2.1926047472933745e-07
1,12,0,2648.2,7826.0,True,True,1,52,50,2,6.0951943414082955e-06,0.0005217615708267033,12.4,0.8,0.06451612903225806,2.4298566367031966e-06,12.3,1,False,False,280.86483848301214,450541.208971935,0.0006233943374988984,280.9847424791201,0.0006005352666404416,2.9818154755509197e-07
1,13,0,2648.2,7826.0,True,True,1,63,61,2,3.341904742347768e-06,0.0004251222556830439,12.2,11.55,0.9467213114754099,7.813219555847259e-05,12.2,0,False,False,264.0531995183153,450541.20897541894,0.0005860800172281728,247.67065116049025,0.000529334650772272,2.8045587334486493e-07
1,14,0,2648.2,7826.0,True,True,1,65,63,2,3.2458351929367385e-06,0.0008950173691194167,22.3,19.75,0.8856502242152466,0.00012505059006131925,21.9,0,False,False,229.54104420863786,450541.20897375594,0.0005094784664237198,224.93037830525964,0.0004807329519701237,2.0108821577768847e-07
1,15,0,2648.2,7826.0,True,True,1,63,61,2,3.35400967125772e-06,0.00021120867274719639,24.9,0.85,0.03413654618473896,3.6969174902020064e-07,22.8,2,True,False,232.77115090228762,450541.2089736719,0.000516647858766433,222.64525343953778,0.00047584906376176684,1.9588279186622766e-07
1,16,0,2648.2,7826.0,True,True,1,71,69,2,3.34095316767652e-06,0.00034455878905698833,10.9,9.45,0.8669724770642201,0.00013732118772334081,13.9,0,False,False,211.42911661090125,450541.208970816,0.00046927808688993123,214.31053533355282,0.00045803566893052976,2.003629274112201e-07
1,17,0,2648.2,7826.0,True,True,1,84,82,2,2.472457259678606e-06,0.0005496641820453615,14.8,13.75,0.9290540540540541,0.0001340791698900804,14.4,0,False,False,217.3116559282846,450541.20897237596,0.00048233469347663745,214.65061908534722,0.0004587625136849002,2.1387139167278118e-07
1,18,0,2648.2,7826.0,True,True,1,61,59,2,4.351478833591414e-06,0.0005609711081623592,13.0,13.05,1.0038461538461538,1.0872965847755607e-05,13.0,0,False,False,284.8557420455293,450541.2089721814,0.0006322523586585343,279.1910837134708,0.0005967017654486019,3.537249073203217e-07
1,19,0,2648.2,7826.0,True,True,1,47,45,2,4.24098280574159e-06,0.0008844129016601711,16.8,14.25,0.8482142857142857,0.00014531895192900263,15.3,0,False,False,282.0865796301746,450541.20896842243,0.0006261060564827167,274.5137198995309,0.0005867050592252695,2.67183145346075e-07
1,20,0,2648.2,7826.0,True,True,1,58,56,2,4.8029736408113895e-06,0.0001259534879780345,13.9,10.350000000000001,0.7446043165467626,2.7488119902691456e-05,13.1,0,False,False,265.95757647574914,450541.2089746169,0.0005903068824293339,256.9240668298711,0.000549111534020641,2.6359507981093166e-07
4,1,0,2648.2,3942.6499999999996,True,True,1,12,10,2,1.4661142245191895e-07,0.005017972883103686,8.2,6.5,0.7926829268292683,0.001946186488228066,7.6,0,False,False,3963.22149435187,14767.829268416543,0.26836858839016225,4173.035198252819,0.26909913569061283,0.0002481459130248706
4,1,1,3942.6499999999996,5237.099999999999,True,True,1,31,29,2,6.484609219555113e-07,0.0014355716910865546,7.7,6.1,0.7922077922077921,0.00026408505443390606,7.5,0,False,False,2054.7016544001053,37942.3467734045,0.054153256957746705,2133.137944388778,0.054165417140448334,3.473664629564105e-05
4,1,2,5237.1,6531.55,True,True,1,19,17,2,5.786456259131738e-07,0.0009312138018102995,7.7,6.2,0.8051948051948052,0.00021672609547595232,7.2,0,False,False,1372.301764990617,35668.9771272724,0.038473258150746314,1405.025457701214,0.037953278271037054,7.1029494238687174e-06
4,1,3,6531.55,7826.0,True,True,1,12,10,2,2.436418651464686e-07,0.005263797348719876,8.3,6.7,0.8072289156626505,0.000420623891463887,7.3,0,False,False,2848.2701485766456,21856.92124259252,0.13031433462029546,2982.4012369012107,0.13211827055616607,1.9673001321598002e-05
4,2,0,2648.2,3942.6499999999996,True,True,1,12,10,2,1.660206408268483e-07,0.004936500733342665,8.6,7.05,0.8197674418604651,0.001724549758035144,8.1,0,False,False,100.5209284793338,14767.82926869216,0.0068067504472331935,104.59562874147288,0.006744873204683388,2.135445643898714e-07
4,2,1,3942.6499999999996,5237.099999999999,True,True,1,31,29,2,5.899160606483854e-07,0.0019827962469402783,8.6,6.9,0.8023255813953489,0.0003948614084809081,8.0,0,False,False,98.96358997603016,37944.47944718796,0.0026081156315181523,99.76535687027743,0.0025328884476291296,1.2696938546754503e-07
4,2,2,5237.1,6531.55,True,True,1,16,14,2,3.9179224271014355e-07,0.0017481859031106778,8.4,7.300000000000001,0.8690476190476191,0.00023819516668922546,8.2,0,False,False,81.02825868719776,35655.32797301944,0.0022725427949649556,78.0594658111795,0.0021094011580370282,3.217450186107912e-08
4,2,3,6531.55,7826.0,True,True,1,12,10,2,2.597032921082722e-07,0.002542448740307765,9.0,7.199999999999999,0.7999999999999999,0.00031364520970424673,7.9,0,False,False,156.3144736078499,21839.94026574662,0.007157275693331944,154.937627804145,0.006868065146709634,7.66666728910483e-08
4,3,0,2648.2,3942.6499999999996,True,True,1,12,10,2,1.2558067827688206e-07,0.005353315278051277,8.7,7.300000000000001,0.8390804597701151,0.0012942659165349206,8.1,0,False,False,27.97568067611067,14767.82926839904,0.0018943664751037222,28.15191898204006,0.001815382978145696,2.1378876296841256e-08
4,3,1,3942.6499999999996,5237.099999999999,True,True,1,29,27,2,7.636650493159246e-07,0.0012498259832255415,8.8,7.4,0.8409090909090908,0.0002608063957906571,8.4,0,False,False,59.09230393504572,37943.80276813943,0.0015573637754796737,60.093924800675325,0.0015257015201751941,5.1920864469876554e-08
4,3,2,5237.1,6531.55,True,True,1,14,12,2,5.394988510849644e-07,0.0017759153798552877,9.0,7.449999999999999,0.8277777777777777,0.0006533541650142467,8.7,0,False,False,69.71095996911458,35654.69806097656,0.0019551689892281544,68.18478332030509,0.001842488079258682,3.135455298870157e-08
