N,q,evt,mckey,pid,p_gev,charge,eta,x0_mm,y0_mm,tx0,ty0,x1_mm,y1_mm,tx1,ty1,r1_mm,max_slope0,bend_x_mm,bend_y_mm,dtx_field_mrad,dty_field_mrad,dx_um,dy_um,dtx_mrad,dty_mrad,pos_um
1,16,0,953,211,16.077775955200195,1.0,4.033977508544922,85.54353115186828,41.19284352636667,0.029580014233949306,0.015388759723098167,53.52755208770247,120.77143029557654,-0.04047525981345163,0.015327599881846978,132.10199547372858,0.029580014233949306,-185.17537676470852,-0.10133332504783255,-70.05527404740094,-0.06115984125118837,11.883946640075749,62.34111470119785,-0.080114909193095,0.013473881417282868,62.34111470119785
1,16,0,1826,211,23.209224700927734,1.0,4.476411819458008,-55.96032083327765,-21.112875208184196,-0.02275371388296239,-0.008194330502908046,-302.3213664012597,-63.55046421160337,-0.07140966680529766,-0.008198244462199031,308.9285841165155,0.02275371388296239,-128.5468658247794,-0.008984525461883663,-48.65595292233527,-0.003913959290984675,178.81488108884014,-61.65702584033994,0.026955887425628156,0.0015059037837827915,178.81488108884014
1,16,0,4940,-211,9.94866943359375,-1.0,3.749986171722412,118.08807809628537,-38.84543920999206,0.048541310192618904,-0.015939490647166238,672.4267201344064,-122.06423856378227,0.1636453996447575,-0.015990450689419757,683.4159584666364,0.048541310192618904,303.0014461227789,-0.6873046808928649,115.1040894521386,-0.05096004225351933,48.621566755400636,116.92628198755983,-0.06189546639895349,0.06724126340420036,116.92628198755983
1,16,0,5211,211,15.589386940002441,1.0,4.452993392944336,26.19733170651675,52.67355861259494,0.007889826522760754,0.02003647549966792,-124.12044123670667,156.4382645273642,-0.06448615315411263,0.019980238850269103,199.696806537131,0.02003647549966792,-191.16971671277406,0.01984307258871354,-72.37597967687338,-0.056236649398817146,-89.79210304524088,28.734743480612224,-0.11163612971117065,0.0101155835299932,89.79210304524088
1,16,0,5216,-211,10.874028205871582,-1.0,4.6090006828308105,-24.548767915698892,-41.831992662203035,-0.007433754484931548,-0.016534428992824722,211.39741141454635,-127.51868679905664,0.09655109748771111,-0.01646175163730197,246.88029697755726,0.016534428992824722,274.4366733023238,-0.07472769780575561,103.98485197264266,0.07267735552275376,76.32944735689762,21.506012930331053,-0.031433562509675106,0.013331431025574714,76.32944735689762
1,16,0,5519,211,5.211465358734131,1.0,2.9754583835601807,77.02990602991214,-255.70603292798646,0.023171712234408122,-0.09614697992304654,-393.1486301116679,-751.1985686942803,-0.20289740837694792,-0.093451037456777,847.8591480706075,0.09614697992304654,-590.1570277488984,2.3372968792565416,-226.06912061135603,2.6959424662695297,-220.1648137941561,2.9163586940512687,-0.26411324544786674,-0.05066218059036898,220.1648137941561
1,16,0,6007,-211,16.172731399536133,-1.0,3.7974936962127686,-19.462046823765224,-108.16448363885155,-0.002866892295771669,-0.0350445529906226,150.56732400427893,-289.6811823664292,0.06715924642684012,-0.03496578870208333,326.47466436926146,0.0350445529906226,184.87356575709072,-0.06301225273193722,70.02613872261179,0.07876428853927087,-27.320864680234536,46.38889467287299,0.09019263492557328,0.05419816162648139,46.38889467287299
1,16,0,6346,-211,4.338569164276123,-1.0,2.9612557888031006,56.80357962174726,-278.68601654117,0.025950529908448084,-0.10271988207689915,917.8843989703166,-816.0794343884634,0.3070441365376645,-0.09989640080816518,1228.2090266338598,0.10271988207689915,726.7141655886069,-5.5304124295248585,281.0936066292164,2.8234812687339685,417.40119656310526,-458.3909833403368,0.22515637960879298,-0.2553812067721678,458.3909833403368
1,16,0,6737,-321,7.438870906829834,-1.0,2.5261075496673584,423.8741823102301,-135.34187319297908,0.15992578981038882,-0.05015672849562644,1681.1616088505255,-403.82516393296254,0.3243404213696637,-0.05162153542342818,1728.9821046206266,0.15992578981038882,429.223672060064,-8.781781935328866,164.41463155927485,-1.4648069278017373,526.4366822152624,-893.722867417921,-0.031969626582029065,-0.48188715418477635,893.722867417921
1,16,0,6767,-2212,4.967919826507568,-1.0,2.541707754135132,571.7016328453523,-55.31443860943395,0.16242233701156375,-0.018096675498427226,2061.4743211833243,-155.69100237629735,0.4124470692911475,-0.019500496401128064,2067.3451731917394,0.16242233701156375,648.7823117594971,-6.675597371106903,250.02473227958376,-1.4038209027008377,-243.1214191951767,-851.3986657047781,-1.0262673640706321,-1.4178813159988861,851.3986657047781
1,16,0,7004,-211,13.817862510681152,-1.0,3.7964422702789307,-97.81854284775673,-70.56021571164494,-0.034581637069833415,-0.025858608515692015,-61.09197065824497,-204.14483021238473,0.047076718931800536,-0.025711226880651125,213.08998235804341,0.034581637069833415,215.78337260969522,0.30608867181032906,81.65835600163396,0.1473816350408899,116.06125678923007,-56.702761198835105,0.09409704568152238,-0.005405072114886972,116.06125678923007
1,16,1,879,211,7.064129829406738,1.0,3.9486777782440186,-42.42566664516838,93.24505353071272,-0.020062828975935105,0.03610554524221489,-573.7352100077279,281.1925010527896,-0.1828540491206669,0.03582940156827542,638.9376447282901,0.03610554524221489,-427.42822749096274,1.0001553669366103,-162.7912201447318,-0.2761436739394732,21.281902721057122,-84.24527834682749,-0.062284921532096416,-0.03575272460305118,84.24527834682749
1,16,1,1239,211,4.807967662811279,1.0,2.4571292400360107,29.50213746612374,-59.396846410697215,0.12316635851267271,-0.11569548349281829,33.63420414042596,-650.128360704905,-0.11764514301566754,-0.11266811934062149,650.9978072781865,0.12316635851267271,-633.5987044326146,8.316560134906695,-240.81150152834024,3.0273641521968013,2952.8226970413484,-2496.7053794572394,2.502133821415245,-1.6836956873412245,2952.8226970413484
1,16,1,1255,211,7.674248218536377,1.0,2.820183515548706,-28.079988129809884,-52.931524643998166,-0.07643357201982502,-0.09370040626024287,-826.9385417817036,-542.2046190146766,-0.23073662712614207,-0.09404827178623949,988.8443764136504,0.09370040626024287,-403.1008044476438,-4.111130836392931,-154.30305510631703,-0.347865525996624,-1384.8027113997432,256.91089670294787,-0.821423641944985,0.4762037740553421,1384.8027113997432
1,16,1,1345,13,3.6496336460113525,-1.0,3.045449733734131,211.02120647423064,143.46236522366465,0.08861969069959177,0.05374905115822205,1551.3609671308416,431.746585679007,0.43276795241350446,0.053090867800324223,1610.3185910193736,0.08861969069959177,881.4847261522647,9.982383368300248,344.1482617139127,-0.6581833578978291,30.51053687545391,-44.87115519083318,-0.03341077217017263,0.1828215672693423,44.87115519083318
1,16,1,1549,211,25.73867416381836,1.0,3.408958911895752,-68.14643235154371,-159.05731918212672,-0.0280955692144872,-0.06053860144196175,-330.64848102959036,-472.9089446628548,-0.07248371775681986,-0.060563743840048596,577.0366435065545,0.06053860144196175,-117.02881039927485,-0.39485493453855725,-44.38814854233266,-0.02514239808684704,29.281217483799082,-18.930860229318114,0.03273580567909884,0.0014090481367592944,29.281217483799082
1,16,1,3103,211,18.5888614654541,1.0,4.902202129364014,-37.210208993917824,14.502678806895322,-0.015939425953092744,0.005174089464951942,-280.18781992652845,41.38135819484277,-0.07668217860758764,0.00516822955972846,283.22717249803316,0.015939425953092744,-160.44645123268702,0.08827895631927873,-60.74275265449489,-0.00585990522348253,26.16719264386802,-15.601746837994313,-0.08072101412479049,0.0021741153465619154,26.16719264386802
1,16,1,3757,211,2.2290139198303223,1.0,2.6354196071624756,342.5484487060496,156.82184360344328,0.11030076943122209,0.05720301297219332,-476.1547810217333,436.76348275290815,-0.43473794486156897,0.04639777109856045,646.1313452822922,0.11030076943122209,-1389.8185536887647,-16.24412141795773,-545.038714292791,-10.805241873632875,-145.6167654803835,-76.00843899211895,-0.20111403965750174,-0.19742577406954565,145.6167654803835
1,16,2,3174,211,29.59638786315918,1.0,4.617217063903809,-54.151361984459726,-3.826525153535932,-0.02110637439750538,-0.0016558575837869126,-264.1337950061713,-12.37301412477392,-0.05920936405448533,-0.0016581692846255086,264.4234353133133,0.02110637439750538,-100.69784766630818,0.02721042609388924,-38.10298965697995,-0.002311700838595991,92.54289073913924,-60.22467647536267,0.1056722733624102,0.019809212817021575,92.54289073913924
1,16,2,3196,211,2.1332292556762695,1.0,3.0193769931793213,253.22813630493445,-58.83902409879053,0.08124563094510433,-0.022183208497222072,-790.7636113979586,-168.18896484671848,-0.49871975426241405,-0.017955273416155937,808.4519880656812,0.08124563094510433,-1464.6653756104542,5.5102762089885005,-579.9653852075184,4.227935081066135,-148.27190019627778,-484.95066895051764,-0.11333972740779075,0.07614911742943181,484.95066895051764
1,16,2,3229,-211,6.736057281494141,-1.0,3.0623018741607666,232.71203550186868,-130.80957852189854,0.08898045281285605,-0.04705561677476544,1153.305459832827,-379.4098385599479,0.26497413638830164,-0.04742143486941289,1214.1109130867303,0.08898045281285605,459.8704357565522,-4.9556875016688196,175.9936835754456,-0.3658180946474465,253.90076968324138,-95.79866453680097,-0.01531080147837427,-0.05617602877339839,253.90076968324138
1,16,3,1384,211,3.8114125728607178,1.0,3.0163767337799072,-71.64835821886467,-258.52958276406537,-0.03443916239134188,-0.09947951100667275,-1084.51440077536,-780.3835877564129,-0.35911688297646266,-0.09598919015681859,1336.1025520253709,0.09947951100667275,-834.5469475266053,-6.768992901997308,-324.67772058512077,3.4903208498541645,155.60595259057663,203.17776063734527,-0.07082238051586698,0.12533571775630303,203.17776063734527
1,16,3,1450,-211,2.447686195373535,-1.0,2.320751905441284,-498.5517208461673,-118.11261320657019,-0.1765083899781401,-0.04244048805327541,-173.9262863968177,-318.77210836204216,0.298687828894568,-0.034388717709239625,363.133598238127,0.1765083899781401,1238.5505760781637,19.08886388677746,475.19621887270813,8.051770344035786,655.9332688998722,655.5353593528253,-0.08618195517068328,0.1098527089696058,655.9332688998722
1,16,3,3986,2212,11.09936809539795,1.0,4.901289463043213,-36.73276050416156,-20.799594487727735,-0.01667089895720578,-0.007842091709173507,-392.5566012601619,-61.39699722982913,-0.11886301216948952,-0.007827840544421004,397.32892729043704,0.01667089895720578,-269.50526013538024,0.0073797096571937,-102.19211321228374,0.014251164752503154,-119.88713951433283,7.171270846249911,0.0018665165361780867,0.05610482729622498,119.88713951433283
1,16,3,5720,-211,13.734856605529785,-1.0,4.080848693847656,-35.16509541425934,-82.63454810622788,-0.01115363876827131,-0.030311740762734372,124.49569466620648,-239.55528364590512,0.07118621943862356,-0.030206274824998568,269.9739096896057,0.030311740762734372,217.412100894821,0.02739578160881706,82.33985820689487,0.1054659377358047,120.2095838437458,37.23525269472816,0.08768078136640878,0.038625553403559554,120.2095838437458
1,16,3,5891,-211,2.4697020053863525,-1.0,2.3232691287994385,-290.9869069438887,70.9946141913594,-0.17272928230784543,0.06298619338861024,47.80946047454453,381.914798573738,0.3004021051881756,0.056322782255872464,384.8956454423535,0.17272928230784543,1233.1540453519954,-15.209727745167527,473.13138749602103,-6.663411132737773,-917.785997709906,-70.78059936407044,-1.0344314459559967,0.6612645139641299,917.785997709906
1,16,3,6054,-211,4.009232997894287,-1.0,2.406106472015381,-174.50117980866202,448.9712975219678,-0.06066235536431994,0.16725520798042692,317.285115963316,1299.0043342024208,0.25086525073526605,0.15628698715524003,1337.1918729518698,0.16725520798042692,805.8838393773538,-15.980979200601496,311.527606099586,-10.968220825186892,-2434.4647738889194,1568.651980053346,-1.3384603750681567,0.7163165793879211,2434.4647738889194
1,16,3,6057,211,10.741875648498535,1.0,2.970820665359497,-179.6608817291737,181.3517871517337,-0.0697102664455132,0.06563684257683491,-825.6209896667583,524.2951642315413,-0.1782808153801828,0.06581209028664725,978.0262970978318,0.0697102664455132,-285.0142903360063,3.08893358547175,-108.5705489346696,0.17524770981233728,-32.406282543888665,324.0616271026511,-0.10012649890778214,0.0638188805630463,324.0616271026511
1,16,3,8877,-211,7.516274452209473,-1.0,3.673908233642578,0.25051798286940974,132.3026449794769,0.0032136717659940034,0.050388597381835994,417.9700666624973,393.5436785297277,0.1558396944585961,0.0499561223956011,574.0867561062196,0.050388597381835994,401.0797990096641,0.33895402658038165,152.6260226926021,-0.4324749862348945,0.6662260934149344,-93.5421768526794,0.07658558039813634,-0.10450008475598738,93.5421768526794
1,16,4,1258,2212,3.454404354095459,1.0,2.4284894466400146,409.383935295685,-229.29339904832088,0.14380139038271056,-0.08512751233835777,271.1399701794774,-646.8777336658671,-0.1927784905483637,-0.07641125949349588,701.40408164026,0.14380139038271056,-882.8188042398062,23.188898768002673,-336.5798809310743,8.716252844861897,-93.75427468700082,640.5242271717952,-0.01671750615056533,-0.0064182413791330495,640.5242271717952
1,16,4,1691,13,2.1758673191070557,-1.0,2.0413808822631836,-414.7938717062249,-383.7982145950471,-0.12919777136148333,-0.2260092726414536,472.29690762827136,-1481.5419955817556,0.49035941071615863,-0.17550424853511137,1555.0019465028327,0.2260092726414536,1556.0509998899845,72.48703089620994,619.557182077642,50.50502410634222,6395.8386087613235,-720.5693992639226,1.878646836309894,-2.2450885375447927,6395.8386087613235
1,16,4,1889,211,4.903110027313232,1.0,3.669269561767578,-52.33920389592536,121.91928117007346,-0.025324459643303866,0.04518624111136978,-807.615550707646,358.1243461641049,-0.264742650454064,0.04436823267586039,883.4568042979135,0.04518624111136978,-624.1513596706219,2.2397457675809846,-239.4181908107601,-0.8180084355093944,-233.15575281844758,84.65630413758163,-0.24842003537628443,0.021281227673572434,233.15575281844758
1,16,4,2095,211,11.358445167541504,1.0,4.2399396896362305,45.421086881272345,52.68655410732362,0.017580158555101005,0.018222833754122505,-126.0124103906768,146.9803142008283,-0.08183132383771773,0.018110869051235136,193.60356488206142,0.018222833754122505,-262.4600422385511,-0.06042851859083953,-99.41148239281873,-0.11196470288736896,-228.67430998950056,20.251857498692516,-0.049447133349422856,0.04824861659070631,228.67430998950056
