leg,q,n,converged_frac,median_err_mm,worst_err_mm,median_nev
A,2,32,1.0,1.0278614161696176e-05,1031.0970877332275,16
A,4,32,1.0,2.452075408471144e-06,279.39407933953044,25
A,8,32,1.0,7.444257531519227e-07,11.27795645575452,41
A,16,32,1.0,1.2770475994738906e-07,1.436248881092979,73
A,32,32,1.0,8.330609840845327e-08,0.35418112945490066,141
B,2,32,1.0,14.103612359560678,1629.8567468924286,20
B,4,32,1.0,4.297006151756264,269.9701442065164,28
B,8,32,1.0,0.02906626263219181,9.45704384206897,44
B,16,32,1.0,0.03749899945103152,14.606540010786375,76
B,32,32,1.0,0.026752282739607836,1.2649672705174453,140
C,2,32,1.0,3.0108594728517346e-08,6.502805692444753,15
C,4,32,1.0,8.20717716010222e-09,6.841815763987398,23
C,8,32,1.0,1.9820198815523327e-09,0.11712732010781224,39
C,16,32,1.0,6.817288955573986e-10,0.036147900831423385,71
C,32,32,1.0,3.489901700959308e-10,0.04593422782451739,136
D,2,32,1.0,28.04750390558621,855.7390525278165,22
D,4,32,1.0,52.93498443196266,601.0842942560796,29
D,8,32,1.0,0.7392128162414369,327.9483910450844,45
D,16,32,1.0,0.09249623357486225,22.530998866770574,77
D,32,32,1.0,0.04859652278033,62.63267744221942,142
