mode,width,depth,n_params,n_runs,n_converged,test_endpoint_med_um_median_allruns,test_endpoint_med_um_min_allruns,test_endpoint_med_um_max_allruns,test_endpoint_med_um_median,test_endpoint_med_um_min,test_endpoint_med_um_max,test_endpoint_spread_ratio,val_endpoint_med_um_median,test_endpoint_p95_um_median,restarts_median,wall_s_median,final_loss_median
data,200,4,129036,10,10,128.45057619210732,105.43942033110909,158.98783761974755,128.45057619210732,105.43942033110909,158.98783761974755,1.5078595568951494,130.5566131220779,2873.880609428896,50.5,1128.5,1.3414114216856037e-06
physics,32,2,2436,10,5,916.0518295497511,638.1760898726867,1599.7384005011384,1058.9797198515712,852.8371853905696,1599.7384005011384,1.8757840627792444,1116.6031188442817,10506.387048419208,81.0,295.9,0.0001831593873694418
physics,32,4,4548,10,3,468.5783580515377,387.1358276683381,592.3813868565162,410.5238852834532,387.1358276683381,449.8183546446626,1.1619135262004865,447.4867742251121,6498.771482026235,97.0,515.6,5.368292799705715e-05
physics,50,2,4686,10,9,449.0627997341079,339.9142041181378,592.9087698585818,469.46489087214616,339.9142041181378,592.9087698585818,1.7442894785665246,490.5636859804474,6084.308584511807,74.0,288.3,4.5414740584597055e-05
physics,32,6,6660,10,4,661.5848030146907,390.9714614942743,2724.5789052482223,426.56579636199154,390.9714614942743,2724.5789052482223,6.968741132242776,433.55123535309303,6888.835605671919,137.5,843.5,6.510317095519111e-05
physics,50,4,9786,10,10,221.5538419852976,164.66117008508263,243.84973322001002,221.5538419852976,164.66117008508263,243.84973322001002,1.4809182583483986,233.94267559122818,4242.6467362736985,152.0,785.05,1.062589357041714e-05
physics,100,2,14336,10,10,223.0559095108049,201.41297887557386,298.9481356028705,223.0559095108049,201.41297887557386,298.9481356028705,1.4842545762036048,236.98685988842527,5125.821856031147,92.5,600.0,1.075811770729034e-05
physics,50,6,14886,10,6,316.02295112502077,248.1591570896171,525.1967349080644,326.3988082241092,248.1591570896171,525.1967349080644,2.1163705626159963,344.1299778398594,5153.478880410882,149.0,998.25,2.7382876607261965e-05
physics,100,4,34536,10,10,133.31690232656968,127.96978925392466,155.82064379104565,133.31690232656968,127.96978925392466,155.82064379104565,1.2176361678759806,144.74259530165057,3995.9218833729437,120.5,1484.5,3.0356342505071505e-06
physics,200,2,48636,10,10,153.03695640431414,127.5001581712032,241.4412209900405,153.03695640431414,127.5001581712032,241.4412209900405,1.893654286027166,161.18277379536394,4455.641210324493,99.5,1385.5,4.186107497399661e-06
physics,100,6,54736,10,10,190.98056361967508,152.1886537036039,242.18528616506774,190.98056361967508,152.1886537036039,242.18528616506774,1.5913491595552018,202.94169385861773,4360.277146887326,147.5,2489.45,9.332264638820323e-06
physics,200,4,129036,10,10,114.65304600815296,100.25969052961159,133.4918172523345,114.65304600815296,100.25969052961159,133.4918172523345,1.3314604957104654,120.56242044829446,3917.2491172208493,95.5,2649.75,2.06387968701991e-06
physics,200,6,209436,10,9,156.3883917752591,136.34516899489313,208.37325737564072,158.98917610714136,149.50308919479482,208.37325737564072,1.3937722524525302,169.82613983795147,4403.485063167012,107.0,4049.3,6.047637420370969e-06
