run,block,p_lo,p_hi,n,rad_med,rad_p95,x_med,y_med
N064_q02,Block F,1.0,2.0,5,2509.611802942331,6692.864246773467,1181.0256954935312,1024.9256538915006
N064_q02,Block F,2.0,5.0,500,369.91275657077995,2348.9693167522987,168.2394319736602,258.1845241704528
N064_q02,Block F,5.0,10.0,430,84.2342291400719,606.0580058538019,36.84659703525739,61.92720999631263
N064_q02,Block F,10.0,20.0,317,28.582130161443384,176.14170786539387,12.501847708961122,19.428412225494185
N064_q02,Block F,20.0,50.0,170,16.151446542923043,63.67427510431963,10.369534247146817,6.194718036070412
N064_q02,Block F,50.0,100.0,24,19.754186316648767,75.22200809310263,13.920430131967976,9.621776640877044
N064_q02,Block F,100.0,200.0,6,51.45035482268811,317.97531693063365,48.783059695537645,13.398546317020532
N064_q02,Block E,1.0,2.0,5,680.962105518668,1386.9146348750492,680.3575565939468,194.84543839564594
N064_q02,Block E,2.0,5.0,500,240.8820902023594,1388.9100152476958,164.7422064273485,104.77155908660052
N064_q02,Block E,5.0,10.0,430,122.11816149373799,581.908304013797,90.54379888277353,46.04284263492886
N064_q02,Block E,10.0,20.0,317,84.834595525918,338.3439049076713,64.86582342000702,40.87422011053832
N064_q02,Block E,20.0,50.0,170,145.4577514624636,372.6151050913033,134.0659144894718,37.52888969004431
N064_q02,Block E,50.0,100.0,24,136.17914477626925,367.9918998827896,100.87312670763993,32.76168518108413
N064_q02,Block E,100.0,200.0,6,315.48473617556994,1326.7844939115544,315.2859867346436,8.643264445197474
N128_q08,Block F,1.0,2.0,5,2466.171534878837,3247.900297107158,2419.1232238889597,598.1788747592418
N128_q08,Block F,2.0,5.0,500,443.9448004055129,3110.2208025217687,216.90444082584136,297.2988887871395
N128_q08,Block F,5.0,10.0,430,110.32267663951583,810.2485352786343,61.11693476879054,67.43717333016619
N128_q08,Block F,10.0,20.0,317,35.17080649252863,217.88078125652092,15.235281071596773,20.303386956442182
N128_q08,Block F,20.0,50.0,170,21.192683998155815,66.52925699782622,11.486756794965913,12.227246171391926
N128_q08,Block F,50.0,100.0,24,30.62635623505494,66.05222281858495,23.294391553438487,13.975031994959863
N128_q08,Block F,100.0,200.0,6,55.64716667823187,77.03143285935984,54.6958306113936,9.495903253821325
N128_q08,Block E,1.0,2.0,5,1228.9191572096454,1525.0393002189562,1143.082082104911,193.2918053427528
N128_q08,Block E,2.0,5.0,500,240.0187203500959,1404.1276493305052,153.49714093429156,121.56896503513792
N128_q08,Block E,5.0,10.0,430,111.94339820516012,968.1380077716585,72.08585406108625,63.925980529347726
N128_q08,Block E,10.0,20.0,317,71.31712305019573,273.4970055004358,52.403971020453355,40.79055342697302
N128_q08,Block E,20.0,50.0,170,70.2079608740385,308.32640673998236,54.66140670912978,23.650557111508874
N128_q08,Block E,50.0,100.0,24,152.63237700123028,379.1776070872236,144.80887107276175,20.655395262522802
N128_q08,Block E,100.0,200.0,6,337.3456966922969,651.1569419035729,336.4762278738098,7.809411646086062
N256_q16,Block F,1.0,2.0,5,1637.5645912810123,3621.703015458432,1577.0809808882404,493.72649061558604
N256_q16,Block F,2.0,5.0,500,356.6300952720537,2286.850768496455,175.23144201459218,215.74881607995167
N256_q16,Block F,5.0,10.0,430,89.32767845060144,454.8705246463589,36.050673405654265,62.50737444747756
N256_q16,Block F,10.0,20.0,317,44.05400515523487,176.46125218772372,14.373771611033703,36.38217586077985
N256_q16,Block F,20.0,50.0,170,20.225008259277963,75.73073391586477,8.719058252388834,13.509121370404387
N256_q16,Block F,50.0,100.0,24,46.60999228518882,89.72250120363395,37.3227180403255,14.708643591532677
N256_q16,Block F,100.0,200.0,6,55.13825792239582,110.67919114888234,54.803993020897224,7.509064936868981
N256_q16,Block E,1.0,2.0,5,790.396975787201,3156.9415721207015,409.9726262885497,433.0189894561727
N256_q16,Block E,2.0,5.0,500,283.7433691262539,1667.938301748172,183.6383723095878,136.12053380197153
N256_q16,Block E,5.0,10.0,430,135.0589631959736,920.3713977123105,95.02020361646046,72.52189461411263
N256_q16,Block E,10.0,20.0,317,95.63207889625994,436.57494455993185,68.97373139830165,51.07560723564575
N256_q16,Block E,20.0,50.0,170,78.63822814761272,300.7536833407258,66.2936162841703,29.798084946520476
N256_q16,Block E,50.0,100.0,24,236.52851824591696,712.6153556632522,236.44720628453086,9.15265695234524
N256_q16,Block E,100.0,200.0,6,139.5795944748358,624.7572037305547,136.84869470152705,21.05271256222352
