network,N,q,restarts,band,n,nn_vs_rk6_pos_med_um,nn_vs_rk6_pos_p95_um,nn_vs_rk6_slope_med_1e-3,nn_vs_true_pos_med_um,nn_vs_true_pos_p95_um,nn_vs_true_slope_med_1e-3,rk6_vs_true_pos_med_um,rk6_vs_true_pos_p95_um,rk6_vs_true_slope_med_1e-3
"N = 64, q = 2, dz = 81 mm",64,2,1000,all,1452,80.60804977050395,1245.9848375278864,0.06016815487859539,1698.2630399615175,12261.11880920169,0.5020524660578445,1693.957184269278,12200.180162940076,0.48930773841057706
"N = 64, q = 2, dz = 81 mm",64,2,1000,1-2 GeV,5,2214.3463387761813,6229.159231270137,1.4081976975713548,13750.020853150887,21782.78893356411,5.725728101146688,17033.803590953128,20923.374261338085,6.6397330909458985
"N = 64, q = 2, dz = 81 mm",64,2,1000,2-5 GeV,500,335.3012259386361,2199.60379337553,0.27650550422512327,5217.196206675397,20251.38234520802,1.8320216333782835,5219.285262555715,19561.855376511492,1.7640321875132814
"N = 64, q = 2, dz = 81 mm",64,2,1000,5-10 GeV,430,76.89185853141822,540.5491163891952,0.05840443609123579,1685.8814561662427,6292.423247652979,0.48642734146505523,1629.8731971007498,5935.887066438122,0.4626625986511937
"N = 64, q = 2, dz = 81 mm",64,2,1000,10-25 GeV,383,24.155317823464806,150.04750166370957,0.019739668555215917,622.9269730870683,3852.3237180985443,0.17682971823444488,613.4686171761246,3874.1374756860373,0.16872891362717038
"N = 64, q = 2, dz = 81 mm",64,2,1000,25-200 GeV,134,17.068166304980537,64.10285057892578,0.011203316115045159,275.8066667905439,2042.640480242024,0.08773373632677689,254.5188989893461,2041.96771517119,0.08344190326558654
"N = 128, q = 8, dz = 40 mm",128,8,1000,all,1452,95.54362855938336,1479.428343204285,0.0637117224815166,1649.4861879106252,12604.226581240428,0.4937794798806757,1693.957184269278,12200.180162940076,0.48930773841057706
"N = 128, q = 8, dz = 40 mm",128,8,1000,1-2 GeV,5,2419.1232238889597,2921.0939993800594,1.6003696233977127,15091.186826574245,21378.00035870355,6.015408251091314,17033.803590953128,20923.374261338085,6.6397330909458985
"N = 128, q = 8, dz = 40 mm",128,8,1000,2-5 GeV,500,382.9270605534525,2728.6967788105003,0.26301593239591536,5250.8425169434,19997.297107345177,1.7682713940531947,5219.285262555715,19561.855376511492,1.7640321875132814
"N = 128, q = 8, dz = 40 mm",128,8,1000,5-10 GeV,430,97.33150736227003,787.8853620735333,0.06514708707542477,1675.25849611593,6220.829656838,0.49255130944407444,1629.8731971007498,5935.887066438122,0.4626625986511937
"N = 128, q = 8, dz = 40 mm",128,8,1000,10-25 GeV,383,27.670024622153733,185.22746851774056,0.019257466224739325,627.8632841656417,3831.380768840323,0.16884540085019412,613.4686171761246,3874.1374756860373,0.16872891362717038
"N = 128, q = 8, dz = 40 mm",128,8,1000,25-200 GeV,134,20.01761427084925,63.782372745909456,0.011950789020871364,270.31755114617795,2035.5466207042443,0.08831263964382066,254.5188989893461,2041.96771517119,0.08344190326558654
"N = 256, q = 16, dz = 20 mm",256,16,1807,all,1452,84.35302863300365,1115.0249149872482,0.0559025097773766,1698.8172956724698,12201.241152179382,0.5029568658764987,1693.957184269278,12200.180162940076,0.48930773841057706
"N = 256, q = 16, dz = 20 mm",256,16,1807,1-2 GeV,5,1577.0809808882404,3455.8963455151115,0.7925681419312806,17097.730390096258,19954.10917505727,7.424801106158507,17033.803590953128,20923.374261338085,6.6397330909458985
"N = 256, q = 16, dz = 20 mm",256,16,1807,2-5 GeV,500,316.11424621667794,2028.8284023862016,0.27898908413564494,5129.847555522588,19749.872891743344,1.8482457663311913,5219.285262555715,19561.855376511492,1.7640321875132814
"N = 256, q = 16, dz = 20 mm",256,16,1807,5-10 GeV,430,79.2773808173024,443.57298248063984,0.05146143075060797,1687.7031724573044,6062.551247628743,0.49246181164143465,1629.8731971007498,5935.887066438122,0.4626625986511937
"N = 256, q = 16, dz = 20 mm",256,16,1807,10-25 GeV,383,35.821710162110776,153.67429536806824,0.01789053781010158,610.3231756557363,3885.1547255280557,0.1760813301082166,613.4686171761246,3874.1374756860373,0.16872891362717038
"N = 256, q = 16, dz = 20 mm",256,16,1807,25-200 GeV,134,22.607478604797393,68.35637550628775,0.015033507966158086,274.0867170121106,2037.2938350728934,0.08853173497522411,254.5188989893461,2041.96771517119,0.08344190326558654
