N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs
64,2,0,3,5,x,um,341,138.43968452579247,764.8981995612439,759.5834444527854,-90.01248027509735,2.526217284014365,212.6877793598851,1252.8493431791503
64,2,0,3,5,y,um,341,207.24393483083503,850.1846011140359,847.8708814862566,62.68033422972704,38.113680220689616,337.1885913529354,1258.4705218414456
64,2,0,3,5,tx,mrad,341,0.11961216299838373,0.4252860992123433,0.42051779448719895,-0.06350630443407186,-0.062436867190984735,0.19083784075778487,0.9883469438600745
64,2,0,3,5,ty,mrad,341,0.15504931990097115,0.692801904294902,0.6848700201543428,0.10453484628788878,0.05041134867884295,0.2598560976999453,1.2438773658456637
64,2,0,4,6,x,um,286,92.8344969607906,618.0997527089003,616.6253316825857,-42.66737191513814,-26.486997991444383,146.15421146047532,919.9486131418766
64,2,0,4,6,y,um,286,130.04709203717013,425.44975082032005,424.53797003166585,27.838866256813596,28.061326773126893,223.31462019754437,655.4989401724924
64,2,0,4,6,tx,mrad,286,0.07763276173188005,0.2836629192649154,0.281624709625707,-0.03394369888698192,-0.053634762031656846,0.10269045062794024,0.5197562629872948
64,2,0,4,6,ty,mrad,286,0.09548697821765151,0.3285614649875354,0.3277332760005053,0.023313860185136176,0.0348590578527104,0.16111587203312944,0.5164555102788321
64,2,0,5,7,x,um,233,57.389298317986004,519.8525887853127,519.8504350959034,-1.4963947979371126,-15.166738908988009,91.43809074992191,529.8355519212906
64,2,0,5,7,y,um,233,88.04846238882647,617.2107814253086,615.9816914553911,38.93204977130772,7.964891661686124,147.5388950234105,543.1859808506032
64,2,0,5,7,tx,mrad,233,0.050146856205052215,0.1840478337770666,0.1826551602806607,-0.022598618118745407,-0.03369156687643704,0.07316320255420977,0.33974358710530117
64,2,0,5,7,ty,mrad,233,0.0642418367711381,0.24092925299400259,0.2403481202273125,0.016723816892248475,0.01927500455315735,0.0921217875194709,0.36630213536536493
64,2,0,10,20,x,um,317,12.501847708961122,94.44755061442562,94.31977583150629,-4.911181544077604,-5.0152830537228965,19.05977096430263,87.46682590236786
64,2,0,10,20,y,um,317,19.428412225494185,119.10752084017972,118.3390443538186,13.50822349973521,3.8345897695535314,34.18601836177146,118.73211541438583
64,2,0,10,20,tx,mrad,317,0.013316644886712803,0.058985996055620354,0.05862096318492146,-0.00655212987857713,-0.008440482628671586,0.015308772173273364,0.06714068875067826
64,2,0,10,20,ty,mrad,317,0.01612575923630455,0.06823923288393013,0.06820238082205368,0.0022423547424118896,0.007350029051562956,0.02169774972970394,0.08440777077858536
128,8,0,3,5,x,um,341,159.38256670324336,838.1304474119754,838.073272624528,-9.789616509940801,-21.454545752817467,279.61825073119826,1049.3521890959983
128,8,0,3,5,y,um,341,221.25749953517015,1181.293713697621,1180.150371035012,-51.96094463576789,-24.66716534695479,370.0618496050197,1474.3083059343007
128,8,0,3,5,tx,mrad,341,0.12038745935827322,0.6297385288388118,0.6297071997548508,-0.006281503082500476,0.00766011507169484,0.22331087906648503,1.1818997097005068
128,8,0,3,5,ty,mrad,341,0.13668023838121768,0.7991362216661835,0.7981173064305265,0.0403418635536899,-0.015589513468998104,0.22234646040688516,1.2505189636383973
128,8,0,4,6,x,um,286,87.1316040822272,550.1844786513171,548.2748586158427,-45.79999954802652,-13.33758502744331,146.58207251902127,755.5330064538879
128,8,0,4,6,y,um,286,133.28772533932386,620.2027980329137,620.1340240318586,9.235958310289238,-25.057669410017525,237.9275203694931,922.6176230817487
128,8,0,4,6,tx,mrad,286,0.08356326737180009,0.3067563200407716,0.3054267013678036,-0.02853015906963683,0.0018969589763717654,0.135301703460379,0.6166058244539835
128,8,0,4,6,ty,mrad,286,0.08740621189647947,0.4130056346945906,0.41287231581632644,-0.010493098777066025,-0.014953208186418033,0.13490932235001096,0.611568635471172
128,8,0,5,7,x,um,233,82.81224299139467,433.82631045312263,433.3622850491793,20.059848910772025,20.44787527376002,121.0753974448653,658.9142767556033
128,8,0,5,7,y,um,233,93.95943230174453,626.6504274699248,625.1068374359857,43.956797415411266,-21.086001185551595,151.76197481401488,909.7471646053683
128,8,0,5,7,tx,mrad,233,0.06205366799172385,0.24623999883923867,0.2458439481962176,0.013960306717395165,-0.0009068274893497819,0.09182239077594245,0.3460564563162121
128,8,0,5,7,ty,mrad,233,0.05485356947793757,0.33468879473336227,0.33409244119610915,0.019970729974015403,-0.0021549070737154896,0.0908999420345169,0.5796988983518209
128,8,0,10,20,x,um,317,15.235281071596773,114.4662613720409,114.43845141841095,-2.5230595411883545,-2.6271966903266275,29.118385038343035,136.0379421600555
128,8,0,10,20,y,um,317,20.303386956442182,86.56264688910633,86.1357108987847,8.586684133534366,6.829827093220331,34.062085250548364,135.4155484703824
128,8,0,10,20,tx,mrad,317,0.013935341093535003,0.0628824713789336,0.06247813582534393,0.0071195330262790995,0.0019389249615031634,0.023458723806437654,0.07005433892610231
128,8,0,10,20,ty,mrad,317,0.013640573085019203,0.046190568239397434,0.045855267792906315,0.005555448669484716,0.004952232483299013,0.01996908008199627,0.06574460819231824
256,16,0,3,5,x,um,341,129.44384619402172,908.0442146399638,908.0409530683376,-2.4337813899378262,-30.22197038012564,217.33193863005337,1080.8676587630544
256,16,0,3,5,y,um,341,175.4892476438954,868.1608095567702,864.5637462984555,-78.94757650901342,-19.85587809400613,299.27195750184114,1150.343706037802
256,16,0,3,5,tx,mrad,341,0.15305356024314376,0.5166069055554173,0.5163916642517312,0.01491120246228511,0.029677160480912068,0.22766751983740452,1.1308994779077874
256,16,0,3,5,ty,mrad,341,0.12510354223396747,0.6435471074609023,0.642097656919817,0.04316802635487211,-0.03844874918915338,0.20452509320952297,0.987951040424706
256,16,0,4,6,x,um,286,80.70756579115823,475.69123288339955,475.6535835237113,-5.984774279822845,-25.39115631077493,128.60120423823668,552.1390319097463
256,16,0,4,6,y,um,286,100.01101594694461,428.3660295007599,428.2409641986863,10.35044986584586,-10.17512814465249,171.01205582214334,718.1630463760769
256,16,0,4,6,tx,mrad,286,0.08517059732723875,0.3013649135689636,0.30102084702974063,0.014396554585261588,0.02002600594640247,0.15631875858808097,0.554648226689769
256,16,0,4,6,ty,mrad,286,0.0673537889880789,0.2570724122251797,0.25681944764622067,0.011401598044258198,-0.01317885734820716,0.11274809650621291,0.6013901598244699
