field,leg,q,p_GeV,dz_mm,converged,n_evals,residual,err_x_mm,err_y_mm,err_xy_mm,err_endpoint_um,err_tx,err_ty,wall_s
up,B,8,11.596858024597168,-5181.017822265625,1,43,1.1368683772161603e-13,0.178724886518296,0.005439535164668996,0.178724886518296,178.80764414248475,7.942402398439241e-05,4.671984277310193e-06,0.01676321029663086
up,B,8,6.154842376708984,-5162.508544921875,1,44,1.1368683772161603e-13,0.05442954457507909,0.010665118129367102,0.05442954457507909,55.464583901476054,1.8014119122078745e-05,2.8302024670696924e-06,0.016832590103149414
up,B,8,1.924249529838562,-5162.781005859375,1,47,3.3306690738754696e-13,0.2729497136364216,0.12201791434955567,0.2729497136364216,298.98146697817253,8.016658932880061e-05,3.745794492848037e-05,0.017998456954956055
up,B,8,7.284196376800537,5175.369873046875,1,44,5.684341886080802e-14,0.053322264445341716,0.002874392149351479,0.053322264445341716,53.39968179499956,1.7886932820593282e-05,1.0221565261980814e-06,0.016930580139160156
up,B,8,3.6219680309295654,5167.281494140625,1,45,1.1102230246251565e-12,0.048354108390753936,0.02159835622387618,0.048354108390753936,52.95855728622364,4.4596657433559894e-05,1.7740187087347814e-05,0.01729893684387207
up,B,8,178.5806427001953,5168.567138671875,1,77,1.4210854715202004e-14,0.0009824409941074919,0.00011127574691727204,0.0009824409941074919,0.9887227107510547,5.835910665760724e-07,5.0672630258485896e-08,0.02942681312561035
up,B,8,10.500882148742676,5168.004638671875,1,43,1.1368683772161603e-13,0.0114217871442861,0.00015469313410676477,0.0114217871442861,11.422834654109241,8.121814565859031e-06,1.06484947522828e-06,0.01646137237548828
up,B,8,1.0115560293197632,5162.210693359375,1,52,1.1102230246251565e-12,0.4008840625249235,0.22301292194751454,0.4008840625249235,458.74044397900536,0.00021597358945635303,5.595524167276156e-05,0.019950151443481445
up,B,8,5.263733863830566,5183.870361328125,1,44,2.220446049250313e-13,0.012285888950827939,0.0024846606319215425,0.012285888950827939,12.534616299189091,1.588576853947532e-05,1.0402081325119883e-06,0.01688528060913086
up,B,8,4.862977981567383,5179.125732421875,1,45,2.842170943040401e-14,0.04044978592440884,0.0034816394021390806,0.04044978592440884,40.59934721466629,9.467822416203697e-06,1.777058291553557e-06,0.017656326293945312
up,B,8,32.48214340209961,5171.111572265625,1,42,2.842170943040401e-14,0.007351151234800568,0.0006359400022120099,0.007351151234800568,7.378607196708829,1.644935934214109e-06,2.5983839510579365e-07,0.01710057258605957
up,B,8,6.661489486694336,5185.174560546875,1,44,5.684341886080802e-14,0.01620370978361052,0.00269602767411925,0.01620370978361052,16.42646571758795,6.305285051411147e-06,1.251494072977699e-06,0.017705202102661133
up,B,8,7.917908668518066,5169.718505859375,1,44,2.1316282072803006e-14,0.02588746341536563,0.001881760862943338,0.02588746341536563,25.95576594953806,1.4844360248636446e-05,3.833066274973318e-07,0.016872406005859375
up,B,8,3.375544786453247,5165.141357421875,1,46,2.2737367544323206e-13,0.3423636767242897,0.0572080931765413,0.3423636767242897,347.1104335295466,0.00012017400987296423,2.4760574116461376e-05,0.017650127410888672
up,B,8,8.706896781921387,-5163.844482421875,1,43,1.249000902703301e-13,0.020915107254953824,0.002347858710180617,0.020915107254953824,21.04647599977709,7.4020363564162445e-06,8.036214071208136e-07,0.016544342041015625
up,B,8,5.69457483291626,5178.983154296875,1,44,8.326672684688674e-14,0.010631973328059985,0.005479429505157896,0.010631973328059985,11.960894805597691,6.211305518963317e-06,2.3748798077191657e-06,0.0169374942779541
up,B,8,12.924304962158203,5170.461181640625,1,43,2.842170943040401e-14,0.003410745068919141,0.001686617694360848,0.003410745068919141,3.804978471961088,5.241193061639171e-07,1.1007816501582002e-06,0.016439199447631836
up,B,8,25.864168167114258,-5177.158935546875,1,42,2.842170943040401e-14,0.0051115679247306645,0.0006248555956887003,0.0051115679247306645,5.149618545542848,1.0252369311673781e-06,2.0817310364060204e-07,0.016091585159301758
up,B,8,3.899890422821045,5162.761474609375,1,45,2.220446049250313e-13,0.07337108757207034,0.001146724265183252,0.07337108757207034,73.3800481605782,3.3044277283095225e-05,1.838337714679672e-06,0.017262935638427734
up,B,8,21.588720321655273,5183.191650390625,1,42,2.842170943040401e-14,0.004215290035421759,0.000108157542626941,0.004215290035421759,4.216677381156054,2.1063784506128447e-06,2.292741527187836e-08,0.016051054000854492
up,B,8,4.1891188621521,5457.221435546875,1,47,4.996003610813204e-13,37.836670550429744,13.299671291715185,37.836670550429744,40106.04561421421,0.0027058101788874148,0.0037436186191645293,0.01804518699645996
up,B,8,18.659486770629883,5162.722412109375,1,42,5.684341886080802e-14,0.01370939760400347,0.0009728870756333663,0.01370939760400347,13.743874705722202,6.028692021251003e-06,3.034029198642485e-07,0.016156673431396484
up,B,8,2.495840311050415,-5160.240966796875,1,47,2.2737367544323206e-13,0.04734349431566898,0.04846944061381464,0.04846944061381464,67.75465391715822,5.626632249039476e-06,2.774188141249634e-06,0.01814723014831543
up,B,8,2.72102427482605,-5161.023193359375,1,46,1.7208456881689926e-12,0.004976480249524684,0.02522848384708709,0.02522848384708709,25.714621383497825,5.587558342401433e-07,1.4645818436950786e-05,0.017660856246948242
up,B,8,3.1492838859558105,-5164.019287109375,1,46,2.1649348980190553e-12,0.47824175142098113,0.14409123974360227,0.47824175142098113,499.47718483736145,0.0008110866612171751,7.383255751633455e-05,0.01781916618347168
up,B,8,9.590502738952637,-5165.543212890625,1,43,2.2737367544323206e-13,0.08514280401669794,0.03248129900470076,0.08514280401669794,91.12810686532782,5.657434614582402e-05,6.139215085271266e-06,0.016955137252807617
