eta_bin_centre,coverage
-7.875,0.0
-7.625,0.0
-7.375,0.0
-7.125,0.0
-6.875,0.0
-6.625,0.001519756838905775
-6.375,0.0012903225806451613
-6.125,0.0
-5.875,0.0
-5.625,0.0005494505494505495
-5.375,0.0011057869517139699
-5.125,0.0005970149253731343
-4.875,0.006921302230197385
-4.625,0.021608985689035864
-4.375,0.03613697333122929
-4.125,0.04492230247318888
-3.875,0.05302047492808393
-3.625,0.062400306259171825
-3.375,0.08112874779541446
-3.125,0.13935207241543593
-2.875,0.20409822735404132
-2.625,0.2240225431489961
-2.375,0.24536376604850213
-2.125,0.24187604690117254
-1.875,0.23588039867109634
-1.625,0.2723711961434167
-1.375,0.2664430508968937
-1.125,0.26304973284011507
-0.875,0.17208317768646494
-0.625,0.035897435897435895
-0.375,0.019825197186101044
-0.125,0.015628033391574453
0.125,0.016321692349776602
0.375,0.02929960003720584
0.625,0.05169235924932976
0.875,0.2131326352530541
1.125,0.30494844023607237
1.375,0.4001009809578765
1.625,0.4501124678663239
1.875,0.5497259201252936
2.125,0.6475946119307249
2.375,0.6643273107361505
2.625,0.6731311122161445
2.875,0.6615384615384615
3.125,0.6633505769996021
3.375,0.6437346437346437
3.625,0.6595330739299611
3.875,0.6553921568627451
4.125,0.642772088592522
4.375,0.6186563557274045
4.625,0.5181793697818475
4.875,0.46238130021913804
5.125,0.4517864829961257
5.375,0.41122484998235087
5.625,0.39052069425901204
5.875,0.24604743083003952
6.125,0.19551681195516812
6.375,0.14532374100719425
6.625,0.09982174688057041
6.875,0.06540084388185655
7.125,0.03991596638655462
7.375,0.03414634146341464
7.625,0.01891891891891892
7.875,0.006521739130434782
