leg,rows,median_abs_dz_mm,median_p_GeV
A vertex fetch,25961,478.6728210449219,3.81341552734375
B cross-magnet,22092,5176.921875,5.794958591461182
C plane-to-plane,100660,69.7900390625,3.867269515991211
D downstream->PV,18089,7828.9716796875,4.760173797607422
