N,q,leg,z0,z1,converged,restarts,final_loss,wall_s,own_step_test_endpoint_med_um,own_step_test_straight_med_um,own_step_val_endpoint_med_um,chain_val_pos_med_um,chain_val_pos_p95_um,chain_val_slope_med_mrad,chain_test_pos_med_um,chain_test_pos_p95_um,chain_test_slope_med_mrad,leg_wall_s_this_run
1,1,0,2648.2,7826.0,True,35,0.0002710799780227189,264.1,171524.13228666605,450541.20897315204,173574.98429943074,173574.98429940257,720728.7084450353,69.48889276694476,171524.1322932768,694265.9185733411,68.12580992578228,1132.4
1,2,0,2648.2,7826.0,True,61,1.963898261615807e-06,447.2,4767.9404061237565,450541.20897172944,4833.093522755917,4833.093521710424,17763.613241971543,3.9706793822760766,4767.940404871127,15448.79439631279,4.121726849533464,1271.1
1,3,0,2648.2,7826.0,True,50,2.4374893188583412e-06,387.1,17496.009705826054,450541.2089661341,18121.013612323735,18121.01361694772,86334.52132086027,4.293391455988949,17496.009713703643,76954.716537054,4.055743029985681,1240.0
1,4,0,2648.2,7826.0,True,86,3.0879869761255765e-06,695.1,4642.326611231624,450541.20897312724,4946.233027751305,4946.233027704579,40076.47979362115,1.5281160309333075,4642.326611306629,34124.45555902608,1.4460751968634127,1545.5
1,5,0,2648.2,7826.0,True,61,2.483642971813637e-06,517.3,456.4144713000786,450541.20896898804,471.03330587168557,471.0333094000134,5490.825730593698,0.2945750803251823,456.41447320812745,4764.182284716607,0.2959086009364613,1369.5
1,6,0,2648.2,7826.0,True,79,2.429164278353752e-06,688.5,324.01394355855473,450541.2089698804,337.97635141223736,337.976352295982,5785.589647999412,0.11103143337920507,324.0139473637669,4920.318483920422,0.10856270820591186,1517.5
1,7,0,2648.2,7826.0,True,37,1.157495417648162e-05,324.5,326.1960352447488,450541.2089709268,330.2592808809095,330.2592790091694,6438.500035582034,0.1338523655152954,326.1960330927707,4568.529071235561,0.12746379728206803,1158.8
1,8,0,2648.2,7826.0,True,55,2.7777034077958204e-06,514.4,225.6342858685514,450541.2089674688,229.9887928391513,229.98879728660881,3039.0954237235687,0.11295742574227857,225.63428206032654,2988.328883129086,0.10970167091164246,1363.3
1,9,0,2648.2,7826.0,True,72,3.856747862971521e-06,707.1,222.437327079831,450541.2089685728,225.55412659494323,225.5541188590655,2838.8397410676967,0.11027173460691903,222.43732509502934,2432.587257456875,0.10179842479061951,1562.5
1,10,0,2648.2,7826.0,True,90,2.7699396692257984e-06,907.7,226.10210048168256,450541.20897677704,230.6890171441296,230.68901764042948,2812.271985588752,0.09792068371786838,226.10210290355326,2503.5155447461443,0.09442729573998915,1740.4
