mode,seed,outer,loss,wall_s
physics,1,0,0.0063050152521544325,115.4
physics,1,1,0.0036837571262565046,74.6
physics,1,2,0.002922518194154213,113.2
physics,1,3,0.0023591450677106305,141.4
physics,1,4,0.001876284790339587,181.0
physics,1,5,0.001477640634520903,168.3
physics,1,6,0.001226596970010222,159.7
physics,1,7,0.0009633311096897053,153.9
physics,1,8,0.0008243545661074278,161.8
physics,1,9,0.0007322873269611952,168.7
physics,1,10,0.0006443514573832005,167.1
physics,1,11,0.0005812801527926391,170.5
physics,1,12,0.0005156127051819875,154.9
physics,1,13,0.0004360643745523596,235.1
physics,1,14,0.00039403047523318946,149.9
physics,1,15,0.00036217745967121254,174.6
physics,1,16,0.0003342320513479419,173.3
physics,1,17,0.0003143288931573862,148.0
physics,1,18,0.00029636916504737263,161.6
physics,1,19,0.00028014547325445725,162.1
physics,1,20,0.00026661184396608076,165.3
physics,1,21,0.00025667582361545203,115.3
physics,1,22,0.00024865387742813616,101.5
physics,1,23,0.00023970081045220014,111.2
physics,1,24,0.00023111062607119483,101.4
physics,1,25,0.00022293933996243146,101.4
physics,1,26,0.00021574519606738785,108.8
physics,1,27,0.00020889245051342126,144.4
physics,1,28,0.00020216759484822263,177.5
physics,1,29,0.00019533431267171762,132.0
physics,1,30,0.0001899173035338904,79.0
physics,1,31,0.00018440902262294772,116.9
physics,1,32,0.0001793956903317009,140.7
physics,1,33,0.00017434331145383942,59.4
physics,1,34,0.00016997481394231064,53.5
physics,1,35,0.00016638324416313083,68.4
physics,1,36,0.00016410229231404003,118.7
physics,1,37,0.00016191726771255322,78.6
physics,1,38,0.0001597873678121457,62.9
physics,1,39,0.0001575473832353802,42.9
physics,1,40,0.0001552084340989222,28.5
physics,1,41,0.0001530773426577505,17.5
physics,1,42,0.00014944541039722933,15.6
physics,1,43,0.0001453802918509126,15.5
physics,1,44,0.00014145576846182653,15.3
physics,1,45,0.00013820529510967825,17.4
physics,1,46,0.00013517010507916943,11.8
physics,1,47,0.00013231817644949543,11.9
physics,1,48,0.00012962386323771616,14.1
physics,1,49,0.0001273081316693172,14.6
physics,1,50,0.0001251084023373824,14.2
physics,1,51,0.00012294676712786362,17.0
physics,1,52,0.00012114296509642353,13.9
physics,1,53,0.0001197886603140276,11.2
physics,1,54,0.00011829736980729538,10.9
physics,1,55,0.0001168268300424127,10.5
physics,1,56,0.00011573390679290983,14.7
physics,1,57,0.00011462543734964877,10.4
physics,1,58,0.0001141087282091046,30.8
physics,1,59,0.0001135141762790293,19.1
