row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,4.17e-06 [2.7e-06-6.31e-06],0.000443 [0.000288-0.00066],0.0456 [0.0286-0.0698],3.22 [2.99-4.35],102 [93.8-104],659 [629-705]
q=2,twin,8.27e-07 [6.72e-07-8.52e-07],7.87e-05 [6.07e-05-8.36e-05],0.00913 [0.00792-0.0111],0.947 [0.917-1.4],106 [102-121],1.74e+03 [1.35e+03-1.87e+03]
q=4,physics,2.69e-06 [1.13e-06-3.54e-06],0.000259 [0.000132-0.000357],0.0281 [0.014-0.0368],3.7 [1.49-3.86],93.6 [79.8-93.9],313 [292-319]
q=4,twin,7.81e-07 [7.16e-07-1.37e-06],9.07e-05 [6.22e-05-0.000107],0.00829 [0.00742-0.00904],0.946 [0.716-0.974],95.2 [94.1-107],1.57e+03 [1.38e+03-2.39e+03]
q=6,physics,2.51e-06 [1.87e-06-3.17e-06],0.000281 [0.000202-0.000351],0.0278 [0.021-0.0337],2.29 [2.22-2.46],99.4 [94.8-106],261 [243-262]
q=6,twin,8.25e-07 [4.51e-07-1.01e-06],9.26e-05 [4.55e-05-0.000113],0.00893 [0.00539-0.00902],0.825 [0.794-0.969],93.2 [81-110],2.4e+03 [1.09e+03-2.43e+03]
q=8,physics,3.95e-06 [2.11e-06-5.39e-06],0.000411 [0.000219-0.00059],0.0414 [0.0218-0.0563],4.05 [2.13-4.19],95.4 [86.8-103],241 [206-253]
q=8,twin,7.65e-07 [7.41e-07-8.82e-07],7.45e-05 [6.95e-05-8.76e-05],0.0072 [0.00684-0.00827],0.988 [0.668-1.01],88.9 [74.8-100],1.93e+03 [1.68e+03-2.05e+03]
q=10,physics,1.94e-06 [1.92e-06-1.23e-05],0.0002 [0.000198-0.00127],0.0202 [0.02-0.132],1.74 [1.54-11.4],88.5 [85.2-107],235 [232-258]
q=10,twin,1.09e-06 [9.24e-07-1.16e-06],8.81e-05 [6.55e-05-0.000121],0.0103 [0.00681-0.0105],0.787 [0.697-0.963],107 [80.4-110],2.29e+03 [1.99e+03-3.04e+03]
q=12,physics,2.73e-06 [2.35e-06-7.75e-06],0.000275 [0.000245-0.000857],0.0293 [0.029-0.0838],3.72 [2.96-5.89],86.5 [83.6-89.5],268 [235-316]
q=12,twin,1.02e-06 [8.46e-07-1.03e-06],7.25e-05 [6.37e-05-8.5e-05],0.00701 [0.00626-0.00759],0.697 [0.691-0.827],74.1 [59.3-105],1.77e+03 [1.59e+03-3.27e+03]
q=14,physics,4.23e-06 [1.45e-06-5.19e-06],0.000447 [0.000157-0.000548],0.0428 [0.0185-0.0621],4.18 [2.05-4.65],83.2 [74.8-110],262 [250-264]
q=14,twin,8.71e-07 [5.99e-07-1.01e-06],8.88e-05 [6.9e-05-9.86e-05],0.00819 [0.0066-0.00891],0.751 [0.709-1.33],94.2 [60.2-115],2.35e+03 [1.81e+03-2.36e+03]
q=16,physics,1.79e-06 [1.43e-06-8.19e-06],0.000179 [0.000145-0.000859],0.0194 [0.0145-0.0834],2.45 [1.79-6.04],98.8 [89.3-111],258 [256-262]
q=16,twin,6.84e-07 [6.42e-07-8.37e-07],6.82e-05 [6.1e-05-8.8e-05],0.00795 [0.00686-0.00804],0.739 [0.623-0.871],92.1 [78.5-104],2.02e+03 [1.29e+03-2.88e+03]
q=18,physics,2.36e-06 [1.88e-06-5.83e-06],0.00026 [0.000203-0.000668],0.0263 [0.0205-0.0651],2.31 [2.21-4.35],95.7 [87.2-107],244 [223-272]
q=18,twin,7.39e-07 [5.76e-07-8.7e-07],7.7e-05 [6.04e-05-8.11e-05],0.007 [0.00628-0.00805],0.704 [0.626-0.791],84.2 [69.7-107],2.12e+03 [2.06e+03-2.8e+03]
q=20,physics,3.69e-06 [2.87e-06-5.27e-06],0.000375 [0.000298-0.000591],0.0359 [0.0311-0.0585],4.32 [2.96-4.37],111 [105-116],274 [225-300]
q=20,twin,7.03e-07 [6.78e-07-8.01e-07],6.55e-05 [6.26e-05-7.73e-05],0.00671 [0.00614-0.00791],0.713 [0.649-0.847],75.3 [69.9-114],1.69e+03 [1.64e+03-2.54e+03]
