tag,width,depth,q,mode,seed,column,direction,component,unit,exponent,n_checkpoints
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,forward,y,um,1.25971,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,forward,tx,mrad,0.674879,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,forward,ty,mrad,0.693253,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,forward,max_xy,um,1.18691,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,backward,x,um,1.51562,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,backward,y,um,1.56945,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,backward,tx,mrad,0.686261,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,backward,ty,mrad,0.617303,50
w128_d2_q02_physics_s1,128,2,2,physics,1,1000 mm,backward,max_xy,um,1.44643,50
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,forward,x,um,2.40518,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,forward,y,um,2.30415,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,forward,tx,mrad,1.29733,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,forward,ty,mrad,1.16421,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,forward,max_xy,um,2.40518,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,backward,x,um,2.28668,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,backward,y,um,2.0002,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,backward,tx,mrad,1.24014,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,backward,ty,mrad,1.06652,46
w128_d2_q02_physics_s2,128,2,2,physics,2,0.1 mm,backward,max_xy,um,2.28668,46
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,forward,x,um,2.42923,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,forward,y,um,2.20622,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,forward,tx,mrad,1.30133,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,forward,ty,mrad,1.07386,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,forward,max_xy,um,2.42923,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,backward,x,um,2.31807,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,backward,y,um,1.97493,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,backward,tx,mrad,1.26628,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,backward,ty,mrad,1.01499,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1 mm,backward,max_xy,um,2.31807,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,forward,x,um,2.44861,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,forward,y,um,2.20635,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,forward,tx,mrad,1.34715,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,forward,ty,mrad,1.07047,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,forward,max_xy,um,2.44861,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,backward,x,um,2.30585,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,backward,y,um,2.00465,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,backward,tx,mrad,1.26322,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,backward,ty,mrad,0.984448,45
w128_d2_q02_physics_s2,128,2,2,physics,2,10 mm,backward,max_xy,um,2.30585,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,forward,x,um,2.36566,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,forward,y,um,1.99993,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,forward,tx,mrad,1.26459,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,forward,ty,mrad,0.816865,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,forward,max_xy,um,2.36087,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,backward,x,um,1.9482,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,backward,y,um,2.14475,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,backward,tx,mrad,0.906218,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,backward,ty,mrad,0.750888,45
w128_d2_q02_physics_s2,128,2,2,physics,2,100 mm,backward,max_xy,um,1.94817,45
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,forward,x,um,1.33856,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,forward,y,um,1.37798,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,forward,tx,mrad,0.826807,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,forward,ty,mrad,0.755243,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,forward,max_xy,um,1.37426,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,backward,x,um,1.26727,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,backward,y,um,1.03301,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,backward,tx,mrad,0.508518,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,backward,ty,mrad,0.791029,50
w128_d2_q02_physics_s2,128,2,2,physics,2,1000 mm,backward,max_xy,um,1.17124,50
