row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,1.75 [1.4-3.09],1.82 [1.37-2.91],1.82 [1.17-2.36],0.916 [0.878-1.17],0.439 [0.408-0.495],0.167 [0.156-0.203]
q=2,twin,0.721 [0.642-0.931],0.318 [0.249-0.418],0.237 [0.198-0.435],0.343 [0.266-0.403],0.5 [0.28-0.602],0.312 [0.211-0.456]
q=4,physics,1.7 [1.29-2.19],1.64 [1.13-2.06],1.66 [0.968-1.85],1.2 [0.633-1.34],0.404 [0.322-0.493],0.0876 [0.0694-0.139]
q=4,twin,0.663 [0.518-0.842],0.193 [0.162-0.309],0.208 [0.171-0.281],0.255 [0.204-0.356],0.431 [0.265-0.623],0.282 [0.199-0.391]
q=6,physics,1.82 [1.29-3.88],1.66 [1.22-3.56],1.5 [1.1-2.97],0.941 [0.828-1.1],0.426 [0.39-0.542],0.0686 [0.0591-0.0774]
q=6,twin,0.658 [0.469-0.867],0.307 [0.222-0.541],0.304 [0.281-0.676],0.338 [0.274-0.408],0.442 [0.293-0.745],0.28 [0.213-0.731]
q=8,physics,2.66 [1.64-4.8],2.51 [1.73-5.52],2.3 [1.62-4.66],0.993 [0.663-1.4],0.408 [0.298-0.476],0.0773 [0.0644-0.0936]
q=8,twin,0.857 [0.66-1.08],0.574 [0.324-1.21],0.588 [0.228-0.997],0.401 [0.327-0.646],0.667 [0.312-0.861],0.49 [0.307-0.619]
q=10,physics,1.69 [0.898-2.52],1.66 [0.885-2.41],1.67 [0.785-2.6],1.16 [0.752-2.05],0.472 [0.344-0.571],0.0823 [0.0637-0.115]
q=10,twin,0.822 [0.505-1.51],0.432 [0.289-0.539],0.455 [0.226-0.69],0.353 [0.326-0.559],0.558 [0.491-0.703],0.414 [0.316-0.494]
q=12,physics,1.7 [0.762-3.35],1.59 [0.722-3.31],1.34 [0.668-3.04],0.928 [0.586-1.3],0.415 [0.335-0.434],0.077 [0.0611-0.0839]
q=12,twin,0.748 [0.491-1.1],0.484 [0.383-0.781],0.509 [0.31-0.968],0.506 [0.366-0.585],0.474 [0.396-1.37],0.713 [0.5-0.834]
q=14,physics,1.69 [0.729-1.97],1.73 [0.719-1.81],1.57 [0.678-1.82],0.986 [0.624-1.27],0.463 [0.311-0.562],0.0737 [0.0575-0.103]
q=14,twin,0.772 [0.687-1.7],0.321 [0.271-0.551],0.31 [0.185-0.39],0.402 [0.26-0.442],0.474 [0.416-0.526],0.379 [0.315-0.584]
q=16,physics,1.86 [1.06-3.36],1.88 [1.2-3.13],1.84 [1.07-2.73],0.862 [0.736-1.29],0.385 [0.336-0.489],0.0695 [0.0541-0.0974]
q=16,twin,0.794 [0.487-1.6],0.36 [0.22-0.444],0.306 [0.241-0.409],0.414 [0.342-0.563],0.509 [0.397-0.769],0.455 [0.321-0.725]
q=18,physics,1.87 [1.15-3.89],1.73 [1.2-3.4],1.62 [1.14-2.47],0.871 [0.747-1.15],0.426 [0.364-0.553],0.0699 [0.0492-0.0796]
q=18,twin,0.693 [0.483-0.903],0.409 [0.338-0.499],0.469 [0.37-0.63],0.546 [0.368-0.652],0.425 [0.409-0.617],0.452 [0.363-0.598]
q=20,physics,1.62 [0.943-3.9],1.59 [0.926-3.74],1.54 [1-3.26],1.04 [0.801-1.42],0.406 [0.309-0.478],0.0666 [0.0542-0.0884]
q=20,twin,0.791 [0.691-2.72],0.465 [0.401-0.595],0.435 [0.216-0.551],0.421 [0.283-0.546],0.597 [0.473-0.843],0.555 [0.339-0.81]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
