tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,x,um,7.49217e-05,0.00214005,-5.89388e-05,0.00145309,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,y,um,4.57539e-05,0.00125858,6.89302e-05,0.00101079,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,tx,mrad,0.0171405,0.357778,-0.0108838,0.189637,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,ty,mrad,0.000214861,0.00499418,0.000209429,0.00424148,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,max_xy,um,0.000100708,0.00262332,0.000541625,0.00164174,1000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,x,um,0.00815095,0.17504,-0.000571559,0.108839,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,y,um,0.0056969,0.10933,-0.00123928,0.066525,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,tx,mrad,0.043346,0.496469,-0.00823833,0.523226,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,ty,mrad,0.00176428,0.0342121,-0.000475651,0.0239598,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,max_xy,um,0.0120947,0.206446,0.0461696,0.118221,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,x,um,0.00860756,0.176558,-0.00263599,0.0982226,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,y,um,0.00575191,0.112539,-0.00249912,0.064207,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,tx,mrad,0.0452644,0.497951,0.0229443,0.436789,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,ty,mrad,0.00177354,0.0383091,-0.00159172,0.0209602,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,max_xy,um,0.0123158,0.2129,0.0450508,0.107948,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,x,um,0.00774312,0.172655,0.00146824,0.118397,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,y,um,0.00567061,0.104052,5.52817e-06,0.0687386,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,tx,mrad,0.0410288,0.495801,-0.039049,0.596453,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,ty,mrad,0.00174815,0.0285436,0.0006271,0.0265935,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,max_xy,um,0.0118865,0.201257,0.0472751,0.127562,1006
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,all,x,um,1.42856,30.8526,-0.302701,22.1005,2000
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,all,y,um,0.811882,15.9052,0.422282,10.1249,2000
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,all,tx,mrad,0.204519,2.69482,-0.0535192,1.56125,2000
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,all,ty,mrad,0.0272172,0.436835,-0.00511379,0.258036,2000
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,all,max_xy,um,1.91614,34.6237,8.09058,22.7886,2000
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,forward,x,um,1.36669,30.8473,0.502998,21.5203,968
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,forward,y,um,0.879745,17.2975,0.144303,8.27923,968
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,forward,tx,mrad,0.20835,2.7431,0.0804397,1.45042,968
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,forward,ty,mrad,0.0266337,0.494078,-0.0149986,0.279703,968
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,forward,max_xy,um,1.87923,35.2547,8.06796,22.0359,968
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,backward,x,um,1.50056,30.5781,-1.05843,22.6313,1032
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,backward,y,um,0.752611,14.7469,0.683021,11.5921,1032
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,backward,tx,mrad,0.199327,2.56201,-0.179171,1.65849,1032
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,backward,ty,mrad,0.0276358,0.384609,0.00415804,0.235911,1032
w128_d2_q02_data_s0,128,2,2,data,0,50-200 mm,backward,max_xy,um,1.93891,33.765,8.11181,23.4727,1032
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,all,x,um,259.303,4627.61,-114.636,3146.49,2000
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,all,y,um,112.207,1970.6,6.7172,1221.87,2000
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,all,tx,mrad,0.696585,11.2773,-0.331453,8.4659,2000
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,all,ty,mrad,0.214755,3.53624,0.00930406,1.90578,2000
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,all,max_xy,um,322.814,4823.23,1229.11,3257.78,2000
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,forward,x,um,311.329,5445.72,-130,3844.56,988
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,forward,y,um,119.517,2325.74,-64.0579,1054.99,988
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,forward,tx,mrad,0.60662,8.63017,0.208757,5.21649,988
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,forward,ty,mrad,0.191178,3.3863,0.118157,1.56677,988
