row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,3.14 [2.11-6.32],2.99 [2.1-6.31],2.72 [1.96-5.73],1.15 [0.913-1.54],0.406 [0.238-0.462],0.16 [0.144-0.184]
q=2,twin,1.5 [0.992-4.5],1.18 [0.685-2.32],0.807 [0.563-1.51],0.931 [0.634-1.19],0.727 [0.557-1.2],0.563 [0.49-0.774]
q=4,physics,2.82 [1.34-4.69],2.83 [1.22-4.7],2.64 [1.05-4.41],1.01 [0.637-2.19],0.37 [0.3-0.483],0.0879 [0.0738-0.095]
q=4,twin,1.06 [0.808-2.95],0.864 [0.734-1.67],0.697 [0.499-0.862],0.81 [0.577-1],0.751 [0.537-0.987],0.449 [0.389-0.549]
q=6,physics,3.44 [1.58-7.6],3.91 [1.45-7.19],3.44 [1.28-6.5],1.12 [0.831-1.45],0.413 [0.366-0.466],0.0732 [0.0617-0.0846]
q=6,twin,1.5 [0.906-2.77],0.838 [0.662-2.33],0.717 [0.556-0.856],0.754 [0.586-1.24],0.723 [0.623-1.11],0.601 [0.475-0.701]
q=8,physics,2.05 [1.17-5.43],2.02 [1.13-5.49],1.88 [1-5.03],1.14 [0.729-1.64],0.413 [0.385-0.484],0.0773 [0.0632-0.092]
q=8,twin,1.01 [0.886-3.24],0.794 [0.485-1.05],0.596 [0.463-0.786],0.791 [0.479-0.986],0.736 [0.473-0.976],0.507 [0.441-0.702]
q=10,physics,2.59 [1.72-4.38],2.6 [1.67-4.59],2.52 [1.61-4.33],1.1 [0.884-1.38],0.442 [0.343-0.569],0.0782 [0.0726-0.0873]
q=10,twin,1.4 [0.889-1.73],0.986 [0.781-1.19],0.725 [0.544-0.962],1.02 [0.666-1.21],0.897 [0.838-1.16],0.599 [0.41-0.838]
q=12,physics,2.84 [1.92-4.46],2.41 [1.79-3.66],2.21 [1.73-3.15],1.11 [0.909-1.37],0.373 [0.279-0.558],0.0844 [0.0692-0.103]
q=12,twin,0.817 [0.697-1.05],0.637 [0.593-1.08],0.578 [0.429-0.649],0.696 [0.569-1.05],0.599 [0.468-0.67],0.459 [0.436-0.531]
q=14,physics,1.94 [1.77-7.27],1.79 [1.5-6.68],1.68 [1.36-6.03],1.15 [0.981-1.35],0.428 [0.34-0.561],0.0818 [0.0617-0.109]
q=14,twin,1.04 [0.495-2.46],0.932 [0.687-1.49],0.583 [0.394-1.28],0.708 [0.522-0.891],0.976 [0.561-1.65],0.559 [0.41-0.758]
q=16,physics,1.81 [1.12-4.31],1.74 [0.944-4.36],1.75 [0.933-4.11],1.38 [0.826-1.84],0.484 [0.416-0.672],0.0794 [0.0725-0.102]
q=16,twin,1.2 [0.599-2.56],0.972 [0.726-1.43],0.654 [0.476-0.869],0.849 [0.479-1.49],0.775 [0.519-1.33],0.593 [0.46-0.969]
q=18,physics,2.94 [1.32-5.8],2.86 [1.3-5.65],2.6 [1.3-5.49],1.51 [1.11-1.96],0.487 [0.391-0.658],0.0841 [0.0731-0.112]
q=18,twin,1.17 [0.544-3.09],0.828 [0.519-1.63],0.588 [0.513-1.11],0.562 [0.423-0.671],0.649 [0.495-0.981],0.48 [0.408-0.84]
q=20,physics,2.45 [1.65-4.25],2.53 [1.53-4.98],2.37 [1.53-4.45],1.24 [0.722-1.74],0.488 [0.361-0.678],0.0803 [0.0626-0.0874]
q=20,twin,1.04 [0.462-1.31],0.698 [0.562-1.34],0.67 [0.523-1.47],0.733 [0.564-1.49],0.579 [0.428-0.781],0.606 [0.405-0.883]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
