predictor,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n
straight line,0.1 mm,all,x,fine,um,489113,1.26336e+06,83819,670119,500
straight line,0.1 mm,all,y,fine,um,1492.76,39244.7,617.324,18773,500
straight line,0.1 mm,all,tx,fine,mrad,187.869,493.041,3.02644,258.643,500
straight line,0.1 mm,all,ty,fine,mrad,0.411274,10.7926,-0.122397,5.19737,500
straight line,0.1 mm,all,max_xy,fine,um,489113,1.26336e+06,555457,670119,500
straight line,0.1 mm,all,x,hit,um,489459,1.26511e+06,84469.8,673379,500
straight line,0.1 mm,all,y,hit,um,2322.14,41172.8,467.143,19573.8,500
straight line,0.1 mm,all,tx,hit,mrad,188.205,496.482,3.10251,259.973,500
straight line,0.1 mm,all,ty,hit,mrad,0.653531,11.1643,-0.162883,5.45226,500
straight line,0.1 mm,all,max_xy,hit,um,489459,1.26511e+06,557602,673379,500
material floor,0.1 mm,all,x,fine,um,1135.28,10194.1,-650.819,4935.79,500
material floor,0.1 mm,all,y,fine,um,767.498,4357.77,150.181,4341.53,500
material floor,0.1 mm,all,tx,fine,mrad,0.418741,4.04192,-0.0760707,1.86831,500
material floor,0.1 mm,all,ty,fine,mrad,0.275415,1.40734,0.0404859,1.05736,500
material floor,0.1 mm,all,max_xy,fine,um,1678.33,11094.4,3318.17,6353.47,500
reference floor,0.1 mm,all,x,fine,um,5e-05,nan,nan,nan,500
reference floor,0.1 mm,all,y,fine,um,5e-05,nan,nan,nan,500
reference floor,0.1 mm,all,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,0.1 mm,all,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,0.1 mm,all,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,0.1 mm,forward,x,fine,um,491813,1.24644e+06,89053.9,664204,250
straight line,0.1 mm,forward,y,fine,um,1136.09,25590.7,-71.3475,11717.4,250
straight line,0.1 mm,forward,tx,fine,mrad,185.554,491.908,35.9973,258.205,250
straight line,0.1 mm,forward,ty,fine,mrad,0.403179,10.6056,-0.0959267,5.42449,250
straight line,0.1 mm,forward,max_xy,fine,um,491813,1.24644e+06,552711,664204,250
straight line,0.1 mm,forward,x,hit,um,494153,1.2554e+06,90026.3,668051,250
straight line,0.1 mm,forward,y,hit,um,1958.6,30320.8,-264.176,12980.2,250
straight line,0.1 mm,forward,tx,hit,mrad,186.331,494.874,36.3285,259.685,250
