row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,1.63e-05 [1.33e-05-2.5e-05],0.00172 [0.00141-0.00273],0.176 [0.132-0.271],12.4 [11-20.2],273 [264-279],8.61e+03 [8.59e+03-8.91e+03]
q=2,twin,9.73e-07 [9.29e-07-1.03e-06],8.9e-05 [8.44e-05-0.00011],0.0116 [0.0107-0.0128],1.66 [1.54-2.16],254 [250-324],2.2e+03 [1.89e+03-2.71e+03]
q=4,physics,1.13e-05 [7.92e-06-1.16e-05],0.00118 [0.000867-0.00121],0.121 [0.0923-0.126],9.05 [8.76-10.4],237 [219-254],3.52e+03 [3.46e+03-3.66e+03]
q=4,twin,1.12e-06 [7.91e-07-2.42e-06],8.89e-05 [8.65e-05-0.000141],0.0113 [0.00995-0.0164],1.59 [1.36-1.73],307 [209-426],2.98e+03 [2.1e+03-4.71e+03]
q=6,physics,7.13e-06 [5.55e-06-2.42e-05],0.000757 [0.000546-0.00258],0.0778 [0.0568-0.254],7.34 [7.23-16.1],260 [222-264],684 [670-703]
q=6,twin,1.81e-06 [8.15e-07-2.36e-06],0.000173 [7.78e-05-0.000191],0.0171 [0.00805-0.0205],2.03 [1.22-2.83],428 [228-512],4.39e+03 [2.8e+03-6.28e+03]
q=8,physics,2.31e-05 [1.39e-05-2.47e-05],0.00244 [0.00151-0.00266],0.243 [0.152-0.268],14.2 [12.7-16.1],247 [243-282],684 [649-725]
q=8,twin,1.22e-06 [9.24e-07-3.27e-06],0.000125 [0.000105-0.000286],0.0152 [0.0108-0.026],2.09 [1.43-3.04],323 [289-877],3.6e+03 [3.31e+03-7.07e+03]
q=10,physics,1.83e-05 [7.79e-06-2.91e-05],0.00193 [0.000774-0.00318],0.198 [0.0894-0.315],15.6 [10.7-24.1],262 [229-266],662 [645-684]
q=10,twin,1.44e-06 [1.07e-06-1.44e-06],0.000149 [0.00011-0.00017],0.0138 [0.0123-0.0193],1.9 [1.64-1.95],346 [288-524],4.21e+03 [2.68e+03-4.68e+03]
q=12,physics,1.87e-05 [3.13e-06-2.2e-05],0.0019 [0.00033-0.00238],0.187 [0.0363-0.238],14.3 [6.13-21.1],268 [242-315],641 [636-801]
q=12,twin,2.59e-06 [1.93e-06-2.92e-06],0.000224 [0.000136-0.000234],0.0212 [0.0161-0.0227],2.38 [2.24-3.29],612 [356-642],4.7e+03 [3.83e+03-5.43e+03]
q=14,physics,1.98e-05 [1.01e-05-2.95e-05],0.00206 [0.00106-0.00315],0.209 [0.1-0.317],14.5 [12.5-24.9],297 [252-298],723 [690-729]
q=14,twin,2.53e-06 [1.78e-06-2.61e-06],0.00015 [0.000118-0.000211],0.0159 [0.0113-0.0236],1.69 [1.55-2.62],351 [291-433],5.01e+03 [3.55e+03-6.12e+03]
q=16,physics,9.47e-06 [3.83e-06-9.91e-06],0.00101 [0.000367-0.00102],0.103 [0.0402-0.107],8.89 [6.18-10.3],248 [244-252],665 [587-671]
q=16,twin,1.33e-06 [1.27e-06-2.24e-06],0.000143 [9.09e-05-0.000187],0.0151 [0.0117-0.0184],1.74 [1.43-2.2],353 [251-619],3.36e+03 [2.61e+03-5.23e+03]
q=18,physics,1.77e-05 [9.26e-06-3.12e-05],0.00183 [0.0009-0.00331],0.192 [0.0945-0.334],15.6 [9.88-26.8],242 [242-272],667 [597-672]
q=18,twin,1.44e-06 [1.05e-06-2.26e-06],0.000159 [0.000101-0.000177],0.0143 [0.00983-0.0219],1.66 [1.54-2.12],313 [286-335],3.02e+03 [2.78e+03-3.75e+03]
q=20,physics,9.84e-06 [6.66e-06-1.68e-05],0.00105 [0.000668-0.00172],0.0996 [0.0784-0.187],10.3 [8.72-14.3],256 [219-322],653 [643-749]
q=20,twin,2.46e-06 [1.93e-06-2.71e-06],0.00014 [0.000116-0.000164],0.0152 [0.013-0.019],1.99 [1.92-2],389 [299-432],4.07e+03 [2.6e+03-4.58e+03]
