row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,0.00192 [0.00167-0.00194],0.0179 [0.0156-0.0187],0.0939 [0.0771-0.108],0.0894 [0.0806-0.103],0.224 [0.219-0.234],3.87 [3.86-3.89]
q=2,twin,4.52e-05 [3.22e-05-6.75e-05],0.000277 [0.000141-0.000386],0.00282 [0.00166-0.00463],0.0341 [0.0196-0.0495],0.767 [0.274-1.08],1.54 [0.747-2.5]
q=4,physics,0.00208 [0.00204-0.00211],0.0204 [0.0202-0.0216],0.129 [0.112-0.131],0.0851 [0.0758-0.0924],0.231 [0.229-0.257],1.46 [1.46-1.52]
q=4,twin,0.000185 [0.000146-0.000269],0.000497 [0.000396-0.000533],0.00401 [0.00366-0.00549],0.0615 [0.0437-0.0779],0.834 [0.639-0.858],2.3 [2.15-3.45]
q=6,physics,0.00205 [0.00193-0.00222],0.0191 [0.0181-0.0213],0.112 [0.0953-0.115],0.0828 [0.0817-0.0902],0.265 [0.25-0.269],0.171 [0.166-0.188]
q=6,twin,0.000263 [9.8e-05-0.000347],0.000903 [0.00032-0.00127],0.00576 [0.00269-0.00684],0.0624 [0.0364-0.0798],0.767 [0.767-1.09],2.58 [1.71-3.45]
q=8,physics,0.00217 [0.0019-0.00232],0.02 [0.0181-0.0239],0.124 [0.0939-0.142],0.0822 [0.0776-0.0999],0.237 [0.228-0.243],0.169 [0.155-0.169]
q=8,twin,0.000123 [7.97e-05-0.000272],0.000409 [0.000267-0.00091],0.00373 [0.00292-0.00674],0.0515 [0.0309-0.0634],0.884 [0.63-1.12],2.68 [2.1-2.81]
q=10,physics,0.00221 [0.00204-0.00227],0.0202 [0.0201-0.0211],0.13 [0.121-0.157],0.0922 [0.0844-0.112],0.26 [0.255-0.261],0.169 [0.159-0.198]
q=10,twin,0.000163 [5.62e-05-0.000258],0.00079 [0.000285-0.000843],0.00487 [0.00262-0.00575],0.0678 [0.0347-0.0695],0.84 [0.692-0.98],3.49 [1.76-3.99]
q=12,physics,0.00199 [0.00195-0.00202],0.0204 [0.0183-0.0216],0.109 [0.105-0.112],0.0837 [0.0651-0.106],0.233 [0.22-0.248],0.162 [0.137-0.184]
q=12,twin,0.000384 [0.000298-0.000661],0.000865 [0.000855-0.0014],0.00589 [0.00405-0.0063],0.0579 [0.0516-0.0689],0.707 [0.632-0.726],3.05 [2.47-3.39]
q=14,physics,0.00213 [0.00203-0.00218],0.0198 [0.019-0.0209],0.117 [0.115-0.129],0.105 [0.0909-0.126],0.27 [0.226-0.285],0.178 [0.177-0.181]
q=14,twin,0.00021 [9.83e-05-0.000397],0.000427 [0.000348-0.000577],0.00388 [0.0029-0.00513],0.0492 [0.039-0.0653],1.01 [0.97-1.18],1.98 [1.87-2.31]
q=16,physics,0.00222 [0.00183-0.00225],0.0221 [0.0178-0.0223],0.144 [0.101-0.144],0.105 [0.0813-0.122],0.267 [0.233-0.299],0.187 [0.173-0.19]
q=16,twin,0.000232 [0.000151-0.000326],0.000769 [0.0004-0.00108],0.00526 [0.00398-0.00672],0.054 [0.0426-0.0662],0.76 [0.665-1.08],3.25 [1.76-4.09]
q=18,physics,0.00223 [0.00207-0.00238],0.0206 [0.0201-0.0236],0.135 [0.13-0.164],0.0946 [0.092-0.106],0.227 [0.213-0.251],0.159 [0.138-0.197]
q=18,twin,0.000253 [0.000207-0.000551],0.000811 [0.000808-0.000811],0.00575 [0.00497-0.0063],0.0677 [0.0598-0.0698],0.722 [0.638-0.929],3.5 [3.15-3.54]
q=20,physics,0.00201 [0.00194-0.00205],0.021 [0.0206-0.0212],0.117 [0.116-0.13],0.0965 [0.0879-0.117],0.24 [0.225-0.274],0.171 [0.166-0.172]
q=20,twin,0.000184 [0.0001-0.000388],0.000671 [0.000512-0.000919],0.00533 [0.00393-0.00588],0.0624 [0.0467-0.0634],0.594 [0.555-1.16],2.31 [1.54-4.18]
