row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,4.26e-05 [2.92e-05-4.47e-05],0.000449 [0.000297-0.000469],0.00431 [0.00297-0.00441],0.0301 [0.0267-0.0315],0.121 [0.12-0.14],0.146 [0.14-0.156]
q=2,twin,1.3e-05 [1.19e-05-1.37e-05],7.17e-05 [6.61e-05-9.05e-05],0.000707 [0.000627-0.000873],0.00955 [0.00919-0.00993],0.124 [0.111-0.15],0.276 [0.243-0.417]
q=4,physics,3.54e-05 [2.44e-05-4.52e-05],0.000362 [0.000264-0.000489],0.00394 [0.00251-0.00466],0.0324 [0.0211-0.0354],0.115 [0.115-0.125],0.084 [0.0769-0.089]
q=4,twin,1.04e-05 [9.93e-06-1.27e-05],5.84e-05 [4.87e-05-6.79e-05],0.000566 [0.000548-0.000696],0.00793 [0.00687-0.00962],0.0976 [0.0868-0.124],0.266 [0.2-0.283]
q=6,physics,2.9e-05 [2.44e-05-3.54e-05],0.000319 [0.000231-0.00034],0.00323 [0.00237-0.00356],0.031 [0.0252-0.0316],0.12 [0.118-0.138],0.0622 [0.0609-0.0741]
q=6,twin,1.15e-05 [9.8e-06-1.41e-05],8.39e-05 [6.69e-05-0.000175],0.000766 [0.000717-0.00173],0.00939 [0.00859-0.0151],0.138 [0.106-0.176],0.256 [0.247-0.636]
q=8,physics,2.91e-05 [2.86e-05-8.04e-05],0.0003 [0.000296-0.000836],0.00296 [0.00291-0.00756],0.0283 [0.0274-0.0305],0.123 [0.117-0.133],0.0736 [0.07-0.0787]
q=8,twin,1.65e-05 [1.58e-05-1.75e-05],0.000124 [8.64e-05-0.000187],0.00158 [0.000699-0.00217],0.0132 [0.00847-0.0174],0.189 [0.127-0.232],0.406 [0.345-0.564]
q=10,physics,3.93e-05 [3.78e-05-4.9e-05],0.000378 [0.000376-0.000512],0.00392 [0.00384-0.00513],0.034 [0.028-0.0425],0.131 [0.114-0.133],0.0769 [0.0669-0.0954]
q=10,twin,1.76e-05 [1.25e-05-1.82e-05],0.000103 [8.39e-05-0.000133],0.00113 [0.000807-0.00158],0.012 [0.0109-0.0127],0.161 [0.127-0.178],0.355 [0.346-0.442]
q=12,physics,3.43e-05 [2.9e-05-3.61e-05],0.000355 [0.000298-0.00038],0.00349 [0.00296-0.00369],0.0263 [0.024-0.0303],0.112 [0.107-0.12],0.0725 [0.0639-0.0774]
q=12,twin,1.78e-05 [1.53e-05-2.14e-05],0.000152 [9.21e-05-0.000172],0.00167 [0.0011-0.00173],0.0135 [0.0135-0.0141],0.181 [0.149-0.217],0.659 [0.447-0.729]
q=14,physics,3.71e-05 [2.52e-05-3.96e-05],0.000376 [0.000251-0.000385],0.00383 [0.00248-0.00395],0.0283 [0.0242-0.0363],0.121 [0.107-0.123],0.0709 [0.0689-0.0759]
q=14,twin,1.97e-05 [1.45e-05-2.03e-05],7.62e-05 [7.59e-05-0.000138],0.000849 [0.000761-0.00121],0.0111 [0.0103-0.0128],0.131 [0.124-0.138],0.315 [0.314-0.536]
q=16,physics,3.32e-05 [2.9e-05-3.67e-05],0.000351 [0.000319-0.000354],0.00351 [0.00293-0.00377],0.026 [0.022-0.0285],0.115 [0.0966-0.13],0.0687 [0.0571-0.0833]
q=16,twin,1.51e-05 [1.12e-05-1.9e-05],9.6e-05 [7.06e-05-0.000124],0.000966 [0.000897-0.00124],0.0135 [0.0109-0.0145],0.147 [0.14-0.178],0.363 [0.355-0.552]
q=18,physics,2.9e-05 [2.71e-05-3.27e-05],0.0003 [0.000272-0.000321],0.003 [0.00287-0.00346],0.0287 [0.0237-0.0293],0.122 [0.118-0.123],0.0613 [0.0564-0.0695]
q=18,twin,1.62e-05 [1.4e-05-2.06e-05],0.000132 [9.62e-05-0.000138],0.00133 [0.00112-0.00143],0.0134 [0.0121-0.0159],0.137 [0.109-0.173],0.458 [0.348-0.503]
q=20,physics,3.27e-05 [3.25e-05-4.3e-05],0.000316 [0.00031-0.00045],0.0033 [0.00312-0.00435],0.0271 [0.0258-0.0344],0.124 [0.106-0.138],0.0649 [0.0597-0.0776]
q=20,twin,1.68e-05 [1.54e-05-2.05e-05],0.000125 [0.000109-0.000149],0.00135 [0.000913-0.00151],0.013 [0.0114-0.0143],0.155 [0.15-0.17],0.541 [0.368-0.737]
