rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
277,w256_d4_q08_data_s1,4x256,256,4,8,data,1,full crossing,1201.34,1119.18,208676,207616,112427,3189.43,1571.91,1854.31,2259.56,1201.34
278,w64_d2_q18_physics_s2,2x64,64,2,18,physics,2,full crossing,1211.71,1071.78,9612,9408,384688,379831,327067,43364.9,4062.62,1211.71
279,w128_d4_q14_data_s0,4x128,128,4,14,data,0,10 mm,1211.75,1295.74,58300,57728,174706,2607.25,1211.75,2020.08,2648.75,1248.48
280,w64_d2_q06_physics_s1,2x64,64,2,6,physics,1,full crossing,1214.28,1040.17,6492,6336,438016,436876,372684,16126.5,4215.22,1214.28
281,w256_d2_q12_physics_s1,2x256,256,2,12,physics,1,full crossing,1222.13,987.873,81204,80640,359132,356897,323376,58830.2,4177.39,1222.13
282,w64_d2_q20_physics_s2,2x64,64,2,20,physics,2,full crossing,1241.41,1053.43,10132,9920,361777,357006,303816,41388,4297.03,1241.41
283,w32_d2_q10_physics_s1,2x32,32,2,10,physics,1,full crossing,1246.95,1563.27,2764,2656,428248,386748,322289,45642.1,5551.58,1246.95
284,w32_d2_q12_physics_s2,2x32,32,2,12,physics,2,full crossing,1268.32,1676.03,3028,2912,311975,296073,238489,16838.2,3624.78,1268.32
285,w256_d4_q18_data_s1,4x256,256,4,18,data,1,full crossing,1276.44,1303.52,218956,217856,217835,2053.47,1470.01,1579.7,2651.5,1276.44
286,w256_d2_q16_physics_s1,2x256,256,2,16,physics,1,full crossing,1282.47,1100.65,85316,84736,352140,346727,310595,43066.4,4067.14,1282.47
287,w256_d4_q16_data_s1,4x256,256,4,16,data,1,10 mm,1306.34,1239.86,216900,215808,123312,3638.2,1306.34,1678.34,2570.99,1386.84
288,w256_d4_q06_data_s1,4x256,256,4,6,data,1,full crossing,1314.93,918.843,206620,205568,177053,4834.64,1501.58,2096.89,2381.21,1314.93
289,w256_d4_q08_data_s0,4x256,256,4,8,data,0,full crossing,1327.07,1119.18,208676,207616,178985,4247.79,1361.17,1808.39,2432.42,1327.07
290,w256_d8_q12_data_s2,8x256,256,8,12,data,2,full crossing,1336.97,5286.83,475956,473856,326306,39985.7,1511.8,2092.94,2876.27,1336.97
291,w32_d2_q08_physics_s2,2x32,32,2,8,physics,2,full crossing,1337.39,1423.92,2500,2400,420181,413624,355274,30066.6,4992.71,1337.39
292,w128_d4_q04_data_s0,4x128,128,4,4,data,0,1 mm,1341.72,969.966,53140,52608,104200,1341.72,1387.3,2046.99,2168.94,1510.75
293,w128_d4_q10_data_s2,4x128,128,4,10,data,2,10 mm,1356.99,2517.68,56236,55680,112985,2237.52,1356.99,2504.57,2729.18,1421.16
294,w128_d4_q06_data_s2,4x128,128,4,6,data,2,full crossing,1358.36,1458.6,54172,53632,233678,2486.03,1840.72,1762.55,2308.63,1358.36
