rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
406,w32_d4_q04_physics_s1,4x32,32,4,4,physics,1,1000 mm,2833.62,3542.62,4084,3936,338818,333525,232650,12026.4,2833.62,3734.1
407,w64_d4_q02_physics_s0,4x64,64,4,2,physics,0,1000 mm,2835.98,9918.84,13772,13504,181276,172960,128695,14531.1,2835.98,10568.8
408,w64_d4_q04_physics_s0,4x64,64,4,4,physics,0,1000 mm,2859.09,3582.47,14292,14016,166642,160805,124452,20149.5,2859.09,4045.2
409,w32_d4_q04_physics_s0,4x32,32,4,4,physics,0,1000 mm,2914.18,3542.62,4084,3936,493155,477610,348269,10872.2,2914.18,3654.1
410,w256_d4_q04_physics_s0,4x256,256,4,4,physics,0,1000 mm,2924.68,3585.42,204564,203520,280350,270138,211815,12001.2,2924.68,3802.83
411,w128_d2_q04_physics_s2,2x128,128,2,4,physics,2,1000 mm,2954.21,3859.54,20116,19840,493309,479385,422268,23010.1,2954.21,3977.2
412,w32_d4_q04_physics_s2,4x32,32,4,4,physics,2,1000 mm,2985.11,3542.62,4084,3936,264854,244987,185971,17657,2985.11,3707
413,w32_d8_q04_physics_s2,8x32,32,8,4,physics,2,1000 mm,3029.26,3600.72,8308,8032,266492,287718,183758,12410.8,3029.26,3922.7
414,w128_d4_q02_physics_s2,4x128,128,4,2,physics,2,1000 mm,3033.04,9722.85,52108,51584,243928,237432,171230,14571.3,3033.04,10744.6
415,w32_d8_q04_physics_s0,8x32,32,8,4,physics,0,1000 mm,3054.76,3600.72,8308,8032,530769,544744,453762,11732.9,3054.76,3926.58
416,w128_d4_q04_physics_s2,4x128,128,4,4,physics,2,1000 mm,3063.49,3569.79,53140,52608,253156,253179,191697,15148,3063.49,3707.05
417,w64_d4_q02_data_s1,4x64,64,4,2,data,1,1 mm,3068.83,3565.46,13772,13504,76823.9,3068.83,3958.26,3899.24,4617.67,3173.29
418,w128_d4_q04_physics_s1,4x128,128,4,4,physics,1,1000 mm,3078.1,3569.79,53140,52608,200927,198951,154532,17145.7,3078.1,3684.62
419,w64_d2_q02_physics_s0,2x64,64,2,2,physics,0,1000 mm,3114.76,9934.39,5452,5312,415839,409041,341115,14852.1,3114.76,10604.5
420,w64_d4_q02_data_s2,4x64,64,4,2,data,2,1 mm,3122.82,3565.46,13772,13504,59643.4,3122.82,3179.29,3883.84,4742.29,4024.09
421,w32_d4_q02_physics_s0,4x32,32,4,2,physics,0,1000 mm,3147.49,9887.95,3820,3680,271658,257928,184104,10567.6,3147.49,10809.2
422,w256_d4_q02_physics_s1,4x256,256,4,2,physics,1,1000 mm,3160.73,9705.86,202508,201472,287610,275387,198278,11132.7,3160.73,10429.8
423,w64_d2_q02_physics_s1,2x64,64,2,2,physics,1,1000 mm,3170.08,9934.39,5452,5312,413123,403231,344337,24281.9,3170.08,10924.9
424,w64_d4_q04_data_s2,4x64,64,4,4,data,2,10 mm,3194.83,3856.71,14292,14016,28821.3,3538.25,3194.83,3655.49,3997.73,3591.37
425,w128_d2_q16_data_s2,2x128,128,2,16,data,2,full crossing,3237.82,4864.4,26308,25984,311841,196390,26782.3,15006,4878.55,3237.82
426,w128_d2_q04_data_s2,2x128,128,2,4,data,2,full crossing,3246.43,3317.95,20116,19840,250379,198433,20214.4,8791.47,4145.49,3246.43
427,w128_d2_q02_physics_s2,2x128,128,2,2,physics,2,1000 mm,3270.94,9855.8,19084,18816,404647,409658,360460,31929.6,3270.94,10559.7
428,w64_d4_q16_data_s1,4x64,64,4,16,data,1,1 mm,3277.56,4972.21,17412,17088,58073.3,3277.56,3539.2,3463.06,7912.55,3540.87
429,w128_d2_q04_physics_s1,2x128,128,2,4,physics,1,1000 mm,3277.68,3859.54,20116,19840,400617,379315,324994,25777.7,3277.68,3954.97
430,w256_d4_q02_physics_s2,4x256,256,4,2,physics,2,1000 mm,3293.38,9705.86,202508,201472,234832,227977,176399,10831.1,3293.38,10325.8
431,w128_d4_q18_data_s2,4x128,128,4,18,data,2,100 mm,3323.5,3990.99,60364,59776,117202,4949.05,3484.49,3323.5,10099.6,4695.91
432,w64_d4_q02_physics_s2,4x64,64,4,2,physics,2,1000 mm,3326.67,9918.84,13772,13504,199766,197310,146214,11532.5,3326.67,10833.3
433,w64_d8_q10_data_s2,8x64,64,8,10,data,2,10 mm,3328.89,7286.65,32492,31936,36127.2,5445.55,3328.89,4021.24,9147.07,4348.49
434,w32_d2_q04_physics_s1,2x32,32,2,4,physics,1,1000 mm,3398.13,3817.12,1972,1888,512181,483247,384641,20555.5,3398.13,3923.75
435,w64_d2_q04_physics_s0,2x64,64,2,4,physics,0,1000 mm,3420.09,3597.32,5972,5824,370000,355908,303124,27380.5,3420.09,3689.82
436,w256_d8_q14_data_s0,8x256,256,8,14,data,0,100 mm,3421.96,5110.95,478012,475904,168703,14092.4,4969.99,3421.96,9478.16,5644.32
437,w128_d2_q04_data_s1,2x128,128,2,4,data,1,full crossing,3424.74,3317.95,20116,19840,214650,98327.7,20319.6,8648.07,7177,3424.74
438,w64_d2_q04_physics_s1,2x64,64,2,4,physics,1,1000 mm,3430.03,3597.32,5972,5824,419722,400567,349202,27735.4,3430.03,3804.55
439,w32_d4_q02_data_s0,4x32,32,4,2,data,0,1 mm,3441.06,7655.54,3820,3680,8557.87,3441.06,3618.76,4885.09,9166.81,4756.87
440,w32_d4_q10_data_s1,4x32,32,4,10,data,1,1 mm,3451.14,6639.13,4876,4704,19051.7,3451.14,5177.4,6730.12,9565.91,5277.09
441,w128_d2_q06_data_s2,2x128,128,2,6,data,2,full crossing,3452.19,3553.68,21148,20864,453411,137833,19156.3,8973.18,5435.83,3452.19
442,w64_d4_q08_data_s1,4x64,64,4,8,data,1,100 mm,3460.96,4766.54,15332,15040,68657.6,4171.61,4104.05,3460.96,9085.9,5361.78
443,w128_d2_q02_data_s1,2x128,128,2,2,data,1,full crossing,3503.99,3464.24,19084,18816,391827,225573,55624,21220.7,7318.81,3503.99
444,w128_d4_q04_physics_s0,4x128,128,4,4,physics,0,1000 mm,3520.5,3569.79,53140,52608,419801,408361,295268,11487.5,3520.5,3797.13
445,w256_d4_q02_physics_s0,4x256,256,4,2,physics,0,1000 mm,3528.06,9705.86,202508,201472,314948,304470,236869,10120.8,3528.06,10299.6
446,w32_d2_q02_physics_s2,2x32,32,2,2,physics,2,1000 mm,3540.58,9831.02,1708,1632,444326,446240,357465,20935.1,3540.58,10625.8
447,w128_d4_q08_data_s2,4x128,128,4,8,data,2,100 mm,3544.71,2416.24,55204,54656,225751,5961.69,3970.91,3544.71,7055.84,5340.05
448,w32_d2_q04_physics_s2,2x32,32,2,4,physics,2,1000 mm,3560.76,3817.12,1972,1888,406318,399227,322933,12884,3560.76,3888.96
449,w32_d2_q04_physics_s0,2x32,32,2,4,physics,0,full crossing,3588.89,3817.12,1972,1888,403372,390014,316714,22355.3,3704.15,3588.89
450,w256_d4_q04_physics_s1,4x256,256,4,4,physics,1,1000 mm,3597.2,3585.42,204564,203520,162818,164168,127071,18433.2,3597.2,3841.26
451,w128_d2_q04_physics_s0,2x128,128,2,4,physics,0,1000 mm,3605.93,3859.54,20116,19840,403697,389561,348402,59373.4,3605.93,3963.31
452,w64_d4_q04_data_s1,4x64,64,4,4,data,1,10 mm,3606.7,3856.71,14292,14016,79762.4,3997.83,3606.7,4556.08,4354.99,3978.49
453,w128_d2_q06_data_s1,2x128,128,2,6,data,1,full crossing,3625.3,3553.68,21148,20864,268875,196553,36402.6,7474.09,6145.33,3625.3
454,w128_d2_q08_data_s0,2x128,128,2,8,data,0,full crossing,3625.69,3542.65,22180,21888,325701,121316,40950.4,8751.85,4785.52,3625.69
455,w32_d4_q12_data_s2,4x32,32,4,12,data,2,1 mm,3640.97,6455.29,5140,4960,5738.37,3640.97,3811.32,4589.58,13345.8,5948.51
456,w256_d4_q04_physics_s2,4x256,256,4,4,physics,2,1000 mm,3646.92,3585.42,204564,203520,194575,189890,144201,10679.7,3646.92,3721.17
457,w32_d4_q16_data_s1,4x32,32,4,16,data,1,10 mm,3659.63,6786.8,5668,5472,8186.32,4237.32,3659.63,4829.21,9788.32,7265.91
458,w64_d4_q20_data_s2,4x64,64,4,20,data,2,1 mm,3670.49,5659.84,18452,18112,117930,3670.49,3818.53,3846.54,8605.57,3980.28
459,w64_d4_q02_data_s0,4x64,64,4,2,data,0,1 mm,3683.56,3565.46,13772,13504,56536.5,3683.56,4064.77,5487.58,7344.9,4371.95
460,w64_d2_q02_physics_s2,2x64,64,2,2,physics,2,1000 mm,3701.16,9934.39,5452,5312,380495,382744,319581,17515,3701.16,10005.6
461,w128_d4_q18_data_s0,4x128,128,4,18,data,0,100 mm,3742.29,3990.99,60364,59776,159702,5613.7,5235.74,3742.29,8945.85,4479.94
462,w64_d2_q04_physics_s2,2x64,64,2,4,physics,2,full crossing,3751.53,3597.32,5972,5824,422285,407350,342047,18413.9,3824.49,3751.53
463,w128_d4_q06_data_s1,4x128,128,4,6,data,1,10 mm,3751.91,1458.6,54172,53632,138657,9759.2,3751.91,5329.35,7522.23,6507.83
464,w128_d2_q08_data_s1,2x128,128,2,8,data,1,full crossing,3775.18,3542.65,22180,21888,359227,142094,8435.5,7781.7,6832.6,3775.18
465,w256_d8_q16_data_s1,8x256,256,8,16,data,1,100 mm,3788,5959.82,480068,477952,231784,8596.31,3840.96,3788,5814.86,4524.54
466,w32_d8_q08_data_s2,8x32,32,8,8,data,2,100 mm,3793.85,9455.67,8836,8544,8485.26,3902.06,3857.37,3793.85,11751.7,5665.26
467,w128_d4_q02_physics_s0,4x128,128,4,2,physics,0,1000 mm,3817.23,9722.85,52108,51584,267067,256026,196052,15761.1,3817.23,9859.22
468,w256_d8_q18_data_s2,8x256,256,8,18,data,2,10 mm,3830.74,4112.78,482124,480000,157650,14321.9,3830.74,4582.81,9730.84,4479.33
469,w128_d2_q02_physics_s1,2x128,128,2,2,physics,1,1000 mm,3841.21,9855.8,19084,18816,417527,406356,352319,34099.7,3841.21,10273.2
470,w64_d8_q02_data_s2,8x64,64,8,2,data,2,1 mm,3846.07,4170.15,30412,29888,34271.2,3846.07,3916.7,4312.35,11540.2,4457.65
471,w256_d2_q04_physics_s2,2x256,256,2,4,physics,2,1000 mm,3859.96,4050.08,72980,72448,377019,356521,318731,54379.8,3859.96,3980.23
472,w32_d4_q18_data_s0,4x32,32,4,18,data,0,10 mm,3865.83,7750.19,5932,5728,8548.49,4591.08,3865.83,4669.08,12282.6,8559.36
473,w128_d2_q02_physics_s0,2x128,128,2,2,physics,0,1000 mm,3872.65,9855.8,19084,18816,444753,452021,403124,41318.6,3872.65,10460.9
474,w64_d4_q16_data_s0,4x64,64,4,16,data,0,1 mm,3872.71,4972.21,17412,17088,31053.4,3872.71,5335.87,4813.18,9785.8,5341.79
475,w64_d4_q18_data_s2,4x64,64,4,18,data,2,100 mm,3902.16,4828.39,17932,17600,221100,4575.11,4730.93,3902.16,10910.9,5251.52
476,w128_d2_q02_data_s0,2x128,128,2,2,data,0,full crossing,3915.59,3464.24,19084,18816,217208,134338,45913.7,22673.1,6282.51,3915.59
477,w32_d2_q02_physics_s0,2x32,32,2,2,physics,0,1000 mm,3929.33,9831.02,1708,1632,377480,367027,303536,22949.9,3929.33,10845.1
478,w128_d2_q02_data_s2,2x128,128,2,2,data,2,full crossing,3933.75,3464.24,19084,18816,284480,205179,23068.8,22714.8,5208.9,3933.75
479,w256_d8_q20_data_s0,8x256,256,8,20,data,0,full crossing,3963.14,6880.5,484180,482048,176058,22156.3,4708.69,4676.99,8092.12,3963.14
480,w64_d4_q08_data_s2,4x64,64,4,8,data,2,10 mm,3993.11,4766.54,15332,15040,86581.2,4384.56,3993.11,5069.27,10677.1,4872.64
481,w128_d8_q16_data_s2,8x128,128,8,16,data,2,full crossing,3995.36,4585.36,125380,124288,147899,6456.84,4588.11,4141.52,8620.41,3995.36
482,w64_d4_q20_data_s1,4x64,64,4,20,data,1,10 mm,4035.59,5659.84,18452,18112,101143,4699.41,4035.59,4479.51,9478.9,6802.74
483,w64_d8_q08_data_s2,8x64,64,8,8,data,2,100 mm,4039.66,6145.58,31972,31424,40354,4176.39,4778.2,4039.66,11832.5,6410.93
484,w64_d4_q10_data_s2,4x64,64,4,10,data,2,10 mm,4054.8,5419.12,15852,15552,61125,4783.11,4054.8,4287.89,9339.83,5449.3
485,w128_d2_q04_data_s0,2x128,128,2,4,data,0,full crossing,4085.47,3317.95,20116,19840,283877,174703,20339.7,5848.28,4977.3,4085.47
486,w64_d8_q06_data_s1,8x64,64,8,6,data,1,10 mm,4107.31,5925.54,31452,30912,100667,4629.97,4107.31,4123.79,13290.9,5971.19
487,w32_d4_q12_data_s0,4x32,32,4,12,data,0,1 mm,4113.24,6455.29,5140,4960,14437.7,4113.24,4338.27,5929.98,10963.2,7055.92
488,w256_d2_q04_physics_s1,2x256,256,2,4,physics,1,1000 mm,4114.46,4050.08,72980,72448,392273,391605,358666,58774.4,4114.46,4257.26
489,w64_d8_q14_data_s0,8x64,64,8,14,data,0,1 mm,4118.74,5057.42,33532,32960,51607.6,4118.74,4463.55,5168.01,14598.8,5126.73
490,w128_d2_q06_data_s0,2x128,128,2,6,data,0,full crossing,4134.18,3553.68,21148,20864,249406,91319.3,10432.3,7141.8,6102.4,4134.18
491,w64_d4_q10_data_s1,4x64,64,4,10,data,1,full crossing,4140.78,5419.12,15852,15552,69975.8,5531.57,4164.33,5846.15,7636.51,4140.78
492,w64_d4_q14_data_s1,4x64,64,4,14,data,1,10 mm,4146.5,6203.38,16892,16576,60156.7,4647.26,4146.5,4834.27,10122.9,5573.59
493,w256_d2_q04_physics_s0,2x256,256,2,4,physics,0,full crossing,4153.77,4050.08,72980,72448,377681,365139,330541,47691,5085.13,4153.77
494,w128_d4_q12_data_s0,4x128,128,4,12,data,0,100 mm,4169.34,4005.61,57268,56704,130699,5159.76,4367.44,4169.34,9181.35,4378.94
495,w64_d4_q04_data_s0,4x64,64,4,4,data,0,100 mm,4174.59,3856.71,14292,14016,53458.8,6278.6,4278.43,4174.59,9380.62,6993.08
496,w128_d8_q02_data_s2,8x128,128,8,2,data,2,full crossing,4179.23,5718.99,118156,117120,129110,5184.55,4357.64,4715.54,8726.87,4179.23
497,w128_d8_q02_data_s0,8x128,128,8,2,data,0,10 mm,4196.77,5718.99,118156,117120,155437,7715.99,4196.77,6554.48,9074.18,6141.62
498,w256_d8_q06_data_s1,8x256,256,8,6,data,1,100 mm,4223.09,4479.34,469788,467712,159078,7774.49,5300.91,4223.09,9563.15,4812.31
499,w128_d2_q14_data_s2,2x128,128,2,14,data,2,full crossing,4228.53,4183.93,25276,24960,349350,180607,12676.3,9191.34,7633.6,4228.53
500,w128_d2_q10_data_s1,2x128,128,2,10,data,1,full crossing,4240.34,4158.94,23212,22912,349512,178161,21161.8,9830.69,4719.57,4240.34
501,w128_d2_q10_data_s2,2x128,128,2,10,data,2,full crossing,4243.17,4158.94,23212,22912,142931,71644.8,9021.75,8925.4,5426.79,4243.17
502,w128_d2_q12_data_s0,2x128,128,2,12,data,0,full crossing,4245.9,4434.01,24244,23936,137771,88235.5,12703.6,7668.6,6316.99,4245.9
503,w64_d4_q18_data_s0,4x64,64,4,18,data,0,100 mm,4281.9,4828.39,17932,17600,46385.7,5617.6,4609.84,4281.9,12991.1,5665.41
504,w128_d4_q20_data_s1,4x128,128,4,20,data,1,100 mm,4292.79,5443.37,61396,60800,123207,5768.24,5030.11,4292.79,10185.8,7124.21
505,w128_d8_q16_data_s0,8x128,128,8,16,data,0,100 mm,4295.11,4585.36,125380,124288,250975,5700.34,4668.04,4295.11,9550.59,5197.19
506,w64_d4_q14_data_s0,4x64,64,4,14,data,0,1 mm,4315.1,6203.38,16892,16576,52211.9,4315.1,4755.56,4595.19,8798.84,8441.21
507,w128_d8_q18_data_s1,8x128,128,8,18,data,1,10 mm,4332.07,6286.51,126412,125312,202422,10714.9,4332.07,6296.89,10974,6696.73
508,w64_d4_q18_data_s1,4x64,64,4,18,data,1,100 mm,4377.39,4828.39,17932,17600,95482.8,4527.82,4519.2,4377.39,7710.6,4586.28
509,w32_d4_q10_data_s2,4x32,32,4,10,data,2,1 mm,4379.22,6639.13,4876,4704,16994.5,4379.22,5187.89,7421.81,12034.3,7504.53
510,w256_d8_q06_data_s0,8x256,256,8,6,data,0,100 mm,4381.8,4479.34,469788,467712,233572,16688.6,4488.88,4381.8,9805.85,4909.05
511,w64_d4_q12_data_s2,4x64,64,4,12,data,2,10 mm,4433.2,5851.53,16372,16064,79756.7,5124.67,4433.2,4615.91,11217.4,6477.42
512,w256_d2_q02_physics_s0,2x256,256,2,2,physics,0,1000 mm,4465.62,10046.6,70924,70400,381317,377427,344376,54788.6,4465.62,10602.5
513,w128_d8_q08_data_s0,8x128,128,8,8,data,0,1 mm,4494.44,4850.57,121252,120192,120582,4494.44,4593.07,4886.09,10530.5,4556.55
514,w128_d2_q20_data_s2,2x128,128,2,20,data,2,full crossing,4510.46,4665.92,28372,28032,170999,71023.8,8690.31,14146.7,7617.86,4510.46
515,w32_d4_q04_data_s1,4x32,32,4,4,data,1,1 mm,4511,5952.57,4084,3936,15225.8,4511,4851.5,5575.16,12285.9,6613.51
516,w128_d4_q20_data_s2,4x128,128,4,20,data,2,10 mm,4539.47,5443.37,61396,60800,111718,4998.78,4539.47,4567.95,13557.4,5984.79
517,w128_d4_q14_data_s2,4x128,128,4,14,data,2,10 mm,4559.65,1295.74,58300,57728,128814,9266.22,4559.65,5154.49,9061.93,5394.5
518,w256_d8_q14_data_s1,8x256,256,8,14,data,1,full crossing,4595.98,5110.95,478012,475904,124365,10321.9,5282.02,6029.82,9762.85,4595.98
519,w128_d2_q08_data_s2,2x128,128,2,8,data,2,full crossing,4613.16,3542.65,22180,21888,241587,87256.2,10386.2,8102.22,5256.94,4613.16
520,w128_d2_q14_data_s0,2x128,128,2,14,data,0,full crossing,4631.79,4183.93,25276,24960,283614,144301,9244.12,5877.31,6857.72,4631.79
521,w256_d8_q10_data_s2,8x256,256,8,10,data,2,full crossing,4637.81,5216.23,473900,471808,228509,16956.9,4907.63,4755.62,9424.34,4637.81
522,w64_d8_q16_data_s2,8x64,64,8,16,data,2,100 mm,4643.9,9414.6,34052,33472,66255,6260.25,9141.09,4643.9,14510.5,7489.14
523,w32_d4_q04_data_s0,4x32,32,4,4,data,0,10 mm,4650.5,5952.57,4084,3936,12667.2,4734.5,4650.5,7825.64,7813.62,5695.26
524,w128_d2_q18_data_s2,2x128,128,2,18,data,2,full crossing,4659.93,5154.54,27340,27008,225968,132790,10558.4,10140.3,6459.58,4659.93
525,w64_d8_q02_data_s0,8x64,64,8,2,data,0,1 mm,4666.49,4170.15,30412,29888,13652.8,4666.49,5890.1,7521.31,10076.1,7360.62
526,w64_d4_q10_data_s0,4x64,64,4,10,data,0,100 mm,4668.69,5419.12,15852,15552,106589,7213.38,5190.6,4668.69,9460.46,6526.4
527,w32_d2_q02_physics_s1,2x32,32,2,2,physics,1,1000 mm,4668.87,9831.02,1708,1632,431448,438826,363087,17852.2,4668.87,10160.4
528,w32_d8_q20_data_s0,8x32,32,8,20,data,0,10 mm,4671.1,9042.41,10420,10080,10699.7,4946.16,4671.1,5026.72,11437.3,7414.12
529,w64_d8_q20_data_s1,8x64,64,8,20,data,1,100 mm,4672.05,7510.56,35092,34496,29823.9,10744.5,5715.72,4672.05,14687.7,6095.73
530,w256_d8_q02_data_s0,8x256,256,8,2,data,0,full crossing,4722.65,4977.95,465676,463616,202547,14809.8,5099.39,4729.58,7190.34,4722.65
531,w128_d2_q10_data_s0,2x128,128,2,10,data,0,full crossing,4759.72,4158.94,23212,22912,289340,91953.8,8669.15,7991.89,11027.1,4759.72
532,w128_d8_q10_data_s0,8x128,128,8,10,data,0,10 mm,4766.54,6988.25,122284,121216,122820,9884.95,4766.54,6193.94,9737.82,5616.41
533,w32_d4_q06_data_s2,4x32,32,4,6,data,2,10 mm,4800.24,6724.32,4348,4192,11443.4,5590.28,4800.24,5508.71,14672.9,7234.53
534,w256_d8_q02_data_s1,8x256,256,8,2,data,1,100 mm,4817.59,4977.95,465676,463616,204331,15149.5,5724.45,4817.59,7525.03,5443.22
535,w64_d8_q04_data_s2,8x64,64,8,4,data,2,10 mm,4834.78,7541.11,30932,30400,23200.9,4892.41,4834.78,9146.55,8904.67,5741.17
536,w128_d2_q12_data_s1,2x128,128,2,12,data,1,full crossing,4841.49,4434.01,24244,23936,275813,128633,6977.3,5811.73,7098.28,4841.49
537,w32_d4_q06_data_s1,4x32,32,4,6,data,1,10 mm,4906.52,6724.32,4348,4192,13155.8,5355.78,4906.52,10036.1,10869.3,7181.71
538,w64_d8_q14_data_s2,8x64,64,8,14,data,2,10 mm,4914.24,5057.42,33532,32960,83848.8,5703.33,4914.24,6106.44,11113.3,6011.54
539,w128_d8_q04_data_s1,8x128,128,8,4,data,1,100 mm,4925.66,5174.91,119188,118144,173190,5363.64,5352.04,4925.66,9907.93,5785.26
540,w32_d4_q08_data_s1,4x32,32,4,8,data,1,10 mm,4949.2,8485.63,4612,4448,18103.4,5459.09,4949.2,5373.21,10895.5,6925.52
541,w32_d4_q16_data_s2,4x32,32,4,16,data,2,1 mm,4976.38,6786.8,5668,5472,8318.4,4976.38,5424.36,5719.84,11815.9,5577
542,w64_d4_q06_data_s2,4x64,64,4,6,data,2,10 mm,4980.92,5780.65,14812,14528,75762.1,5037.98,4980.92,5163.47,12765.2,5928.79
543,w128_d8_q06_data_s1,8x128,128,8,6,data,1,full crossing,4988.98,5022.34,120220,119168,148422,5091.24,5450.14,5049.48,11974.6,4988.98
544,w64_d4_q12_data_s0,4x64,64,4,12,data,0,100 mm,5057.95,5851.53,16372,16064,104516,5885.77,5893.47,5057.95,11278.1,6468.19
545,w128_d8_q14_data_s2,8x128,128,8,14,data,2,10 mm,5062.5,6142.59,124348,123264,142686,8641.56,5062.5,7093.39,11374.1,6065.96
546,w64_d4_q20_data_s0,4x64,64,4,20,data,0,100 mm,5065.67,5659.84,18452,18112,170614,5323.5,5161.5,5065.67,12812,5950.64
547,w128_d8_q08_data_s2,8x128,128,8,8,data,2,full crossing,5080.34,4850.57,121252,120192,68780.9,5284.59,6062.09,6013.83,10490.1,5080.34
548,w256_d2_q02_physics_s1,2x256,256,2,2,physics,1,1000 mm,5085.5,10046.6,70924,70400,390089,384352,347950,54349.1,5085.5,10544.5
549,w32_d4_q14_data_s2,4x32,32,4,14,data,2,1 mm,5108.85,6995.49,5404,5216,8223.14,5108.85,5915.49,8517.44,13157.2,7465.59
550,w128_d2_q20_data_s0,2x128,128,2,20,data,0,full crossing,5164.21,4665.92,28372,28032,183622,91618.3,10542,8493.78,9069.72,5164.21
551,w64_d8_q08_data_s1,8x64,64,8,8,data,1,1 mm,5195.94,6145.58,31972,31424,39696.8,5195.94,5784.29,7120.71,10695.8,6525.74
552,w32_d4_q06_data_s0,4x32,32,4,6,data,0,1 mm,5224.61,6724.32,4348,4192,12418.2,5224.61,6142.56,8109.49,10933,7276.21
553,w32_d8_q02_data_s1,8x32,32,8,2,data,1,10 mm,5248.19,7704.34,8044,7776,12176.6,7237.6,5248.19,5500.92,10816.2,6656.54
554,w256_d8_q10_data_s0,8x256,256,8,10,data,0,100 mm,5248.43,5216.23,473900,471808,169140,12984.5,5635.72,5248.43,11097.4,5716.57
555,w64_d8_q12_data_s1,8x64,64,8,12,data,1,10 mm,5277.89,6803.31,33012,32448,138283,11756.3,5277.89,7481.59,9150.02,7166.29
556,w32_d4_q20_data_s0,4x32,32,4,20,data,0,10 mm,5303.05,7675.68,6196,5984,10468.2,6766.5,5303.05,8672.52,13010.5,8505.07
557,w256_d8_q12_data_s0,8x256,256,8,12,data,0,full crossing,5312.01,5286.83,475956,473856,298888,22780,7422.57,6990.54,7828.89,5312.01
558,w64_d4_q14_data_s2,4x64,64,4,14,data,2,100 mm,5329.42,6203.38,16892,16576,174432,8082.1,6073.04,5329.42,10638.5,6701.81
559,w128_d2_q16_data_s1,2x128,128,2,16,data,1,full crossing,5355.26,4864.4,26308,25984,384465,174565,18750.6,7127.5,8984.9,5355.26
560,w128_d4_q12_data_s1,4x128,128,4,12,data,1,100 mm,5367.2,4005.61,57268,56704,136577,9517.97,5518.73,5367.2,8671.76,6274.65
561,w64_d8_q14_data_s1,8x64,64,8,14,data,1,full crossing,5384.47,5057.42,33532,32960,248123,8727.28,7743.85,7162.13,11609.2,5384.47
562,w256_d2_q02_physics_s2,2x256,256,2,2,physics,2,1000 mm,5394.42,10046.6,70924,70400,351191,353203,321558,71280.9,5394.42,10777.3
563,w64_d8_q04_data_s0,8x64,64,8,4,data,0,10 mm,5409.34,7541.11,30932,30400,39617.9,6723.04,5409.34,5705.81,9402.18,8225.44
564,w128_d8_q06_data_s2,8x128,128,8,6,data,2,full crossing,5437.74,5022.34,120220,119168,144826,12852.8,6494.27,5721.66,9483.11,5437.74
565,w64_d2_q12_data_s0,2x64,64,2,12,data,0,100 mm,5475.85,9536.39,8052,7872,196976,20168.8,6869.86,5475.85,8430.72,12379
566,w32_d4_q02_data_s1,4x32,32,4,2,data,1,10 mm,5483.98,7655.54,3820,3680,17368.8,6608.79,5483.98,6788.85,6530.76,8371.52
567,w32_d4_q04_data_s2,4x32,32,4,4,data,2,1 mm,5495.96,5952.57,4084,3936,7305.16,5495.96,6586.8,6133.62,11912.2,6554.76
568,w256_d8_q10_data_s1,8x256,256,8,10,data,1,10 mm,5535.22,5216.23,473900,471808,246862,11278.4,5535.22,6463.72,10321.2,5682.24
569,w128_d2_q16_data_s0,2x128,128,2,16,data,0,full crossing,5565.54,4864.4,26308,25984,312856,144136,14151.4,6472.36,8923.16,5565.54
570,w256_d8_q18_data_s0,8x256,256,8,18,data,0,10 mm,5574.82,4112.78,482124,480000,118229,18070.8,5574.82,6590.82,10312.7,5865.83
571,w32_d4_q10_data_s0,4x32,32,4,10,data,0,10 mm,5586.54,6639.13,4876,4704,14196.1,6088.09,5586.54,6131.55,10623.8,9519.97
572,w64_d2_q08_data_s0,2x64,64,2,8,data,0,100 mm,5589.46,7233.94,7012,6848,191734,43713.4,8472.63,5589.46,9202.05,7726.69
573,w256_d8_q14_data_s2,8x256,256,8,14,data,2,100 mm,5598.15,5110.95,478012,475904,272894,49299.6,6688.55,5598.15,10675.3,5878.65
574,w128_d2_q14_data_s1,2x128,128,2,14,data,1,full crossing,5602.29,4183.93,25276,24960,242617,147610,17686.9,7125.48,7204.36,5602.29
575,w128_d2_q18_data_s1,2x128,128,2,18,data,1,full crossing,5609.37,5154.54,27340,27008,344525,198297,7106.85,5991.08,7336.26,5609.37
576,w128_d8_q12_data_s0,8x128,128,8,12,data,0,full crossing,5639.48,7109.69,123316,122240,217709,11047.7,6166.66,6937.65,8467.58,5639.48
577,w128_d8_q04_data_s2,8x128,128,8,4,data,2,full crossing,5655.6,5174.91,119188,118144,168642,8856.83,7044.08,7609.31,10842.6,5655.6
578,w128_d2_q20_data_s1,2x128,128,2,20,data,1,100 mm,5730.19,4665.92,28372,28032,238904,146976,26817.1,5730.19,9887.74,5778.53
579,w32_d8_q04_data_s2,8x32,32,8,4,data,2,1000 mm,5818.62,7889.36,8308,8032,10784.3,10327,11720.4,9638.07,5818.62,6374.09
580,w64_d4_q08_data_s0,4x64,64,4,8,data,0,10 mm,5851.33,4766.54,15332,15040,101983,8386.66,5851.33,7783,8358.1,8603.53
581,w256_d8_q04_data_s0,8x256,256,8,4,data,0,100 mm,5866.62,5782.4,467732,465664,186862,19780.3,11565.6,5866.62,9816.25,7996.95
