tag,width,depth,q,mode,seed,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n,n_steps
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,y,fine,um,2049.87,29903.1,2132.55,16899,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,tx,fine,mrad,79.1019,698.669,0.318986,280.368,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,ty,fine,mrad,0.915299,18.1462,0.635762,7.27096,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,max_xy,fine,um,177976,1.74833e+06,411265,704091,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,x,hit,um,178771,1.75147e+06,41717.9,705824,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,y,hit,um,2632.15,35837.5,2091.29,18602.6,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,tx,hit,mrad,78.9946,703.383,0.640525,281.063,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,ty,hit,mrad,1.14451,18.5815,0.624286,7.54631,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,forward,max_xy,hit,um,178771,1.75147e+06,412691,705846,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,x,fine,um,92513.3,1.12913e+06,70269.4,482390,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,y,fine,um,3635.58,107067,-13622.5,51328.4,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,tx,fine,mrad,34.3458,314.487,-15.4289,139.604,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,ty,fine,mrad,1.46098,33.1452,4.67345,15.0387,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,max_xy,fine,um,92678.3,1.12913e+06,297130,482418,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,x,hit,um,91427.3,1.1326e+06,70689.2,484404,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,y,hit,um,4123.81,106608,-13545.9,51662.9,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,tx,hit,mrad,34.334,318.495,-15.6231,140.53,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,ty,hit,mrad,1.69086,31.92,4.62532,15.1615,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,1 mm,backward,max_xy,hit,um,91686.6,1.1326e+06,298205,484433,500,5176
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,x,fine,um,45381.4,757445,31832.1,331086,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,y,fine,um,2075.34,50116,-3027.35,27002,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,tx,fine,mrad,17.0805,271.893,4.57288,125.679,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,ty,fine,mrad,0.862855,14.2679,0.415257,8.4025,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,max_xy,fine,um,45913.7,757445,156848,331126,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,x,hit,um,46083.9,758283,32473.6,332593,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,y,hit,um,2811.5,53805.7,-3009.69,27771.6,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,tx,hit,mrad,17.3903,272.799,4.63656,126.215,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,ty,hit,mrad,1.01549,14.9931,0.385453,8.63289,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,all,max_xy,hit,um,46590.6,758283,158096,332648,1000,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,x,fine,um,63285.6,697524,38672,363811,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,y,fine,um,2172.95,26188.9,-1291.16,17707.7,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,tx,fine,mrad,23.8817,281.53,11.6642,149.771,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,ty,fine,mrad,0.893895,13.1872,-0.884471,7.82064,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,max_xy,fine,um,63285.6,697524,166312,363819,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,x,hit,um,63300.7,709719,39535.2,365466,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,y,hit,um,2772.52,33909.7,-1332.42,19149,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,tx,hit,mrad,23.3158,284.372,11.9857,150.232,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,ty,hit,mrad,1.04295,14.4291,-0.895947,8.04735,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,forward,max_xy,hit,um,63923.2,709719,167926,365493,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,x,fine,um,42082.3,782376,24992.2,294749,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,y,fine,um,1969.98,67287.5,-4763.54,33832.8,500,518
