row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,3.05e-06 [2.96e-06-7.2e-06],0.000343 [0.000313-0.00076],0.0332 [0.0319-0.0882],3.05 [2.19-5.94],68.7 [64.1-68.9],627 [599-649]
q=2,twin,1.05e-06 [9.53e-07-1.35e-06],9.44e-05 [7.96e-05-0.000107],0.0087 [0.00691-0.00941],0.873 [0.772-0.93],80.9 [68.8-109],1.61e+03 [1.5e+03-1.74e+03]
q=4,physics,3.82e-06 [3.03e-06-3.93e-06],0.00041 [0.000338-0.000422],0.0401 [0.0325-0.0428],3.46 [3.01-3.92],74.6 [71.1-77.2],280 [228-299]
q=4,twin,1.03e-06 [5.27e-07-1.04e-06],7.31e-05 [4.23e-05-8.01e-05],0.00747 [0.00427-0.00919],0.673 [0.572-0.76],70.8 [58.3-73.8],1.48e+03 [1.15e+03-1.7e+03]
q=6,physics,4.51e-06 [2.44e-06-1.4e-05],0.000465 [0.000252-0.00144],0.0573 [0.0276-0.147],6.25 [2.61-11.9],81.6 [72.9-91.2],215 [194-246]
q=6,twin,8.67e-07 [8.19e-07-9.78e-07],8.47e-05 [7.64e-05-9.7e-05],0.00846 [0.00724-0.00881],0.755 [0.731-0.846],74 [62.7-76.4],1.66e+03 [1.51e+03-1.76e+03]
q=8,physics,3.66e-06 [3.35e-06-1.08e-05],0.000365 [0.000352-0.00111],0.0383 [0.0375-0.107],3.79 [3.06-5.92],89.5 [70.6-96.1],216 [201-230]
q=8,twin,9.89e-07 [9.27e-07-1.24e-06],9.41e-05 [6.35e-05-0.000109],0.00691 [0.0058-0.00792],0.665 [0.636-0.733],59.5 [54.8-66.5],1.78e+03 [1.65e+03-1.8e+03]
q=10,physics,6.69e-06 [2.08e-06-7.36e-06],0.000683 [0.000209-0.000748],0.0635 [0.0237-0.075],2.92 [2.86-3.09],66.1 [53.7-74.6],192 [174-211]
q=10,twin,1.04e-06 [7.06e-07-1.1e-06],7.25e-05 [7.23e-05-8.78e-05],0.00672 [0.00668-0.0072],0.707 [0.676-0.85],63.2 [57.9-69.1],1.63e+03 [1.51e+03-1.95e+03]
q=12,physics,6.75e-06 [6.12e-06-8.48e-06],0.000716 [0.00062-0.000919],0.0681 [0.0626-0.0919],3.73 [2.66-5.94],68.8 [55.4-83.2],173 [172-197]
q=12,twin,1.03e-06 [8.91e-07-1.32e-06],9.44e-05 [8.6e-05-0.000113],0.00943 [0.00845-0.00957],0.817 [0.769-0.856],62.6 [61.3-81.9],1.92e+03 [1.88e+03-2.1e+03]
q=14,physics,4.46e-06 [4.16e-06-5.38e-06],0.000464 [0.000456-0.000594],0.0448 [0.0423-0.0557],2.48 [2.18-6.79],73.8 [67.2-75.9],203 [154-210]
q=14,twin,1.13e-06 [9.48e-07-1.39e-06],9.49e-05 [8.27e-05-0.000125],0.00692 [0.00661-0.0119],0.691 [0.683-1.12],70.7 [69.1-126],1.62e+03 [1.51e+03-2.77e+03]
q=16,physics,5.08e-06 [4.5e-06-6.57e-06],0.000553 [0.000468-0.000691],0.0543 [0.0442-0.0679],3.65 [3.29-4.83],57.3 [56.6-58],191 [182-198]
q=16,twin,1.18e-06 [9.81e-07-1.42e-06],9.11e-05 [7.51e-05-0.000111],0.0078 [0.00669-0.00784],0.672 [0.654-0.874],73.4 [71.8-78.3],1.68e+03 [1.5e+03-1.81e+03]
q=18,physics,3.01e-06 [1.63e-06-4.33e-06],0.000348 [0.000166-0.000438],0.0353 [0.017-0.0498],2.6 [1.95-3.28],60.1 [58.1-66.9],195 [184-196]
q=18,twin,8.6e-07 [8.4e-07-1.16e-06],8.06e-05 [7.02e-05-8.68e-05],0.00769 [0.00705-0.00811],0.713 [0.713-0.78],69.9 [63.9-73.5],1.73e+03 [1.71e+03-1.88e+03]
q=20,physics,3.21e-06 [1.62e-06-9.12e-06],0.000373 [0.000161-0.000933],0.039 [0.0143-0.0946],4.31 [0.988-6.51],60.2 [55.1-82.2],183 [172-206]
q=20,twin,1.24e-06 [1.1e-06-1.56e-06],0.000101 [0.0001-0.000126],0.00916 [0.00856-0.0117],0.835 [0.739-1.12],78.8 [74.6-82.5],1.87e+03 [1.81e+03-1.96e+03]
