track,row,evt,mckey,direction,p_GeV,eta,pid,z0_mm,z1_mm,dz_mm,hit_z_mm,hit_minus_far_plane_z_mm,hit_vs_reference_um
228,58438,41,2735,1,9.13455,3.78803,211,2648.153564,7826.610352,5178.456787,7826.610247,-1.046e-04,645.06
229,58442,42,1422,1,14.9529,3.74766,-211,2641.846436,7824.820801,5182.974365,7824.820897,9.622e-05,86.7463
230,58443,42,2424,1,3.85258,2.62058,-211,2641.846436,7827.105957,5185.259521,7827.105994,3.747e-05,2379.87
231,58444,42,2511,1,10.645,2.69474,211,2641.846436,7829.405762,5187.559326,7829.405609,-1.532e-04,2376.55
232,58446,42,3350,1,4.64847,3.59433,-211,2641.846436,7825.411133,5183.564697,7825.411149,1.569e-05,3866.75
233,58448,42,3480,1,11.2829,3.01865,-211,2641.846436,7828.857910,5187.011475,7828.857933,2.234e-05,1435.99
234,58450,43,1237,1,8.57579,3.51927,-211,2656.846436,7824.975098,5168.128662,7824.974913,-1.847e-04,1988.5
235,58452,43,1379,1,8.72593,4.54574,211,2648.153564,7826.654297,5178.500732,7826.654254,-4.337e-05,823.808
236,58453,43,1656,1,9.15057,4.76651,-211,2663.153564,7825.843262,5162.689697,7825.843084,-1.777e-04,2351.13
237,58455,43,2870,1,6.68764,3.14018,-211,2641.846436,7826.440430,5184.593994,7826.440232,-1.977e-04,533.637
238,58457,43,3869,1,3.41165,2.50796,13,2663.153564,7825.494141,5162.340576,7825.494362,2.219e-04,6207.89
239,58459,43,4487,1,39.9943,4.9261,-211,2656.846436,7896.305664,5239.459229,7896.305638,-2.606e-05,1300.25
240,58462,43,4968,1,22.1236,3.52533,211,2656.846436,7826.382812,5169.536377,7826.382628,-1.850e-04,221.039
241,58464,43,5535,1,12.4806,3.98241,321,2656.846436,7826.187012,5169.340576,7826.186811,-2.007e-04,780.071
242,58467,44,971,1,15.4015,4.72522,-211,2663.153564,7825.913086,5162.759521,7825.912989,-9.694e-05,99.8125
243,58469,45,4666,1,5.26081,3.45173,-211,2641.846436,7827.029785,5185.183350,7827.029969,1.838e-04,1563.13
244,58471,45,5212,1,2.9029,3.09755,211,2663.153564,7824.024902,5160.871338,7824.024845,-5.734e-05,11847.5
245,58473,45,5224,1,3.02354,2.51231,-211,2648.153564,7822.528320,5174.374756,7822.528541,2.202e-04,3725.2
246,58475,45,5528,1,6.09299,3.60368,211,2656.846436,7826.696777,5169.850342,7826.696653,-1.248e-04,375.792
247,58477,45,8085,1,6.08762,2.29199,-211,2648.153564,7831.069336,5182.915771,7831.069406,7.006e-05,2242.05
248,58479,45,9196,1,6.38883,3.84389,-211,2656.846436,7827.193848,5170.347412,7827.193994,1.458e-04,1588.6
249,58481,45,9329,1,16.0578,4.16942,211,2648.153564,7825.513672,5177.360107,7825.513456,-2.159e-04,245.37
250,58482,46,809,1,2.8026,3.65714,-211,2648.153564,7826.941406,5178.787842,7826.941270,-1.362e-04,6421.05
251,58484,46,1621,1,5.03959,3.31042,321,2656.846436,7827.958984,5171.112549,7827.958754,-2.299e-04,3752
252,58486,46,2375,1,22.2892,4.68556,211,2663.153564,7825.608398,5162.454834,7825.608164,-2.349e-04,150.406
253,58487,46,2587,1,16.7364,3.8303,211,2641.846436,7824.936523,5183.090088,7824.936708,1.841e-04,642.019
254,58489,46,2988,1,2.79282,3.5193,211,2641.846436,7825.375488,5183.529053,7825.375453,-3.578e-05,10928.4
255,58491,46,3425,1,65.5555,4.98618,-211,2656.846436,7966.375977,5309.529541,7966.376127,1.504e-04,1246.58
256,58493,46,4505,1,3.26722,2.57578,211,2641.846436,7823.723633,5181.877197,7823.723524,-1.088e-04,6771.95
257,58498,47,993,1,12.9514,4.70326,211,2641.846436,7826.081543,5184.235107,7826.081402,-1.410e-04,490.509
258,58500,47,1716,1,3.60053,2.59153,-211,2663.153564,7826.585449,5163.431885,7826.585644,1.943e-04,3423.45
259,58502,47,2383,1,8.60581,4.46595,-211,2641.846436,7826.665039,5184.818604,7826.665150,1.109e-04,1133
260,58504,47,2981,1,6.32491,4.32424,211,2648.153564,7826.495605,5178.342041,7826.495836,2.305e-04,8760.92
261,58506,47,3166,1,2.15554,2.73928,-211,2648.153564,7823.926758,5175.773193,7823.926559,-1.988e-04,14073.6
262,58508,47,3309,1,8.56051,4.47591,211,2656.846436,7826.428711,5169.582275,7826.428530,-1.809e-04,11338.3
263,58510,47,3358,1,4.09521,4.33834,-211,2656.846436,7826.472656,5169.626221,7826.472633,-2.325e-05,3927.39
264,58511,47,4632,1,4.35823,2.79451,-2212,2656.846436,7827.427246,5170.580811,7827.427117,-1.296e-04,2654.26
265,58513,47,4889,1,3.47684,3.86798,211,2663.153564,7826.007324,5162.853760,7826.007498,1.733e-04,6056.89
266,58515,49,1018,1,4.20548,3.05456,2212,2656.846436,7828.274414,5171.427979,7828.274277,-1.371e-04,3501.93
267,58517,49,1801,1,2.19348,3.38972,211,2648.153564,7826.595703,5178.442139,7826.595735,3.138e-05,19870.7
268,58519,49,1892,1,5.2822,4.29962,211,2663.153564,7826.227539,5163.073975,7826.227456,-8.306e-05,1846.87
269,58520,49,2243,1,46.206,4.44221,-211,2641.846436,7895.503906,5253.657471,7895.503672,-2.347e-04,358.494
270,58522,49,2245,1,4.58724,3.23847,211,2656.846436,7823.874512,5167.028076,7823.874725,2.133e-04,4902.6
271,58526,49,6360,1,3.54353,3.05598,211,2648.153564,7827.249023,5179.095459,7827.248899,-1.244e-04,4198.95
272,58529,49,9251,1,13.2021,3.5766,-211,2648.153564,7826.926758,5178.773193,7826.926973,2.147e-04,644.492
273,58531,49,9398,1,6.35592,3.4337,-211,2663.153564,7826.360352,5163.206787,7826.360508,1.569e-04,352.794
274,58533,49,9453,1,17.2642,4.52903,-211,2663.153564,7826.648438,5163.494873,7826.648643,2.050e-04,567.614
275,58535,49,9487,1,13.2839,4.28946,-321,2648.153564,7826.557129,5178.403564,7826.557242,1.131e-04,771.47
276,58536,50,613,1,5.9077,3.28235,211,2656.846436,8578.117188,5921.270752,8578.117313,1.255e-04,3571.24
277,58538,50,629,1,2.82372,2.75883,2212,2656.846436,7824.464355,5167.617920,7824.464295,-6.097e-05,12203.7
278,58540,50,675,1,5.40034,3.9018,-211,2663.153564,7826.854492,5163.700928,7826.854366,-1.257e-04,950.021
279,58542,50,867,1,21.1892,4.51925,-211,2656.846436,7826.154785,5169.308350,7826.154709,-7.616e-05,599.526
280,58544,50,1919,1,3.44208,3.54573,211,2663.153564,7827.464355,5164.310791,7827.464312,-4.397e-05,5711.3
281,58546,50,2912,1,19.3907,3.46976,211,2663.153564,7825.644043,5162.490479,7825.644265,2.215e-04,760.579
282,58548,51,638,1,4.84901,2.70026,-211,2663.153564,7828.608887,5165.455322,7828.608908,2.128e-05,5280.02
283,58550,51,3328,1,8.81542,4.85715,211,2656.846436,7826.540527,5169.694092,7826.540342,-1.853e-04,13807.1
284,58555,52,1472,1,2.98922,3.18519,-211,2648.153564,7824.617676,5176.464111,7824.617488,-1.878e-04,10429.7
285,58557,52,2125,1,11.5967,4.56786,211,2641.846436,7826.636719,5184.790283,7826.636748,2.875e-05,1261.83
286,58558,52,2170,1,5.07151,2.99826,211,2648.153564,7823.350098,5175.196533,7823.350282,1.843e-04,4077.22
287,58560,52,3490,1,27.453,4.11375,211,2663.153564,7827.008301,5163.854736,7827.008480,1.792e-04,314.535
288,58562,52,6362,1,10.6809,2.43758,2212,2663.153564,7822.218750,5159.065186,7822.218881,1.310e-04,574.508
289,58564,52,7790,1,2.7613,2.90266,2212,2656.846436,7823.867676,5167.021240,7823.867639,-3.678e-05,15741.9
290,58566,52,7796,1,10.31,4.69965,-211,2641.846436,7826.292969,5184.446533,7826.292831,-1.373e-04,65116
291,58568,52,8247,1,5.64105,3.72897,-2212,2656.846436,7826.596191,5169.749756,7826.596344,1.531e-04,1031.8
292,58570,53,995,1,5.59319,2.71226,211,2663.153564,7822.366211,5159.212646,7822.366301,8.956e-05,1468.36
293,58572,53,1061,1,4.45733,3.687,-211,2648.153564,7826.549805,5178.396240,7826.549850,4.581e-05,1515.69
294,58576,54,1689,1,2.00687,2.02707,211,2641.846436,7823.745117,5181.898682,7823.745230,1.123e-04,6285.29
295,58578,54,3508,1,15.5624,4.23415,-211,2663.153564,7825.599121,5162.445557,7825.599262,1.409e-04,93.2695
296,58581,54,3692,1,1.84414,2.26065,211,2663.153564,7826.386230,5163.232666,7826.386419,1.885e-04,6109.17
297,58583,54,4033,1,7.08563,4.59029,211,2663.153564,7825.608887,5162.455322,7825.608863,-2.372e-05,1651.59
298,58586,54,5580,1,4.15209,3.02317,-211,2663.153564,7826.605469,5163.451904,7826.605546,7.775e-05,1910.67
299,58588,54,7572,1,19.8137,4.08628,-211,2663.153564,7826.978027,5163.824463,7826.978177,1.492e-04,823.927
300,58590,54,7992,1,2.16991,3.02241,2212,2656.846436,7827.372559,5170.526123,7827.372393,-1.651e-04,8705.53
