track,row,evt,mckey,direction,p_GeV,eta,pid,z0_mm,z1_mm,dz_mm,hit_z_mm,hit_minus_far_plane_z_mm,hit_vs_reference_um
115,58218,19,1805,1,14.0683,4.79696,211,2648.153564,7826.240723,5178.087158,7826.240916,1.933e-04,989.417
116,58220,19,2253,1,2.4997,2.53495,211,2656.846436,7829.683594,5172.837158,7829.683657,6.325e-05,18595.3
117,58222,19,2843,1,22.4129,4.82668,-211,2656.846436,7826.443848,5169.597412,7826.444033,1.848e-04,1766.03
118,58224,19,4085,1,9.19913,3.12583,211,2656.846436,7823.582031,5166.735596,7823.582097,6.525e-05,1120.22
119,58225,19,4918,1,5.49183,2.80321,211,2663.153564,7823.986816,5160.833252,7823.986827,1.009e-05,1857.84
120,58228,19,5794,1,28.0515,4.59754,2212,2648.153564,7826.368652,5178.215088,7826.368527,-1.258e-04,226.456
121,58231,19,7661,1,2.06052,2.33307,211,2663.153564,7824.659180,5161.505615,7824.659012,-1.677e-04,9942.57
122,58233,19,7857,1,8.79182,3.58511,211,2648.153564,7826.808594,5178.655029,7826.808561,-3.225e-05,982.281
123,58236,19,8353,1,3.49361,3.3888,211,2663.153564,7826.996582,5163.843018,7826.996391,-1.910e-04,4330.27
124,58238,19,8830,1,3.37564,2.44066,211,2648.153564,7821.932617,5173.779053,7821.932584,-3.319e-05,7589.31
125,58240,20,2132,1,2.83138,3.61066,-211,2648.153564,7827.447754,5179.294189,7827.447911,1.566e-04,9747.1
126,58242,20,6103,1,3.41433,2.32655,-211,2641.846436,7827.725098,5185.878662,7827.725248,1.503e-04,4704.39
127,58244,20,6493,1,7.80154,2.63745,211,2663.153564,7827.445801,5164.292236,7827.445918,1.167e-04,232.317
128,58246,20,6581,1,5.83768,3.12553,-211,2663.153564,7828.575684,5165.422119,7828.575909,2.254e-04,2278.17
129,58248,20,9154,1,10.6481,4.52071,211,2663.153564,7966.063477,5302.909912,7966.063402,-7.506e-05,2228.72
130,58250,20,11785,1,6.1263,2.64833,-211,2641.846436,7829.733887,5187.887451,7829.733702,-1.852e-04,2257.49
131,58252,20,11864,1,5.28479,2.43474,-321,2648.153564,7823.985840,5175.832275,7823.985703,-1.373e-04,1243.71
132,58254,20,12082,1,12.0473,4.16699,-2212,2648.153564,7826.000000,5177.846436,7825.999872,-1.280e-04,278.848
133,58257,21,1370,1,23.2049,3.96169,-2212,2663.153564,7827.108398,5163.954834,7827.108288,-1.099e-04,243.002
134,58260,21,5790,1,33.8958,3.43606,-321,2648.153564,7827.625977,5179.472412,7827.626031,5.444e-05,253.291
135,58261,22,3477,1,7.94978,4.13719,211,2663.153564,7825.859375,5162.705811,7825.859587,2.120e-04,2856.13
136,58263,22,3505,1,5.59315,2.96199,-321,2648.153564,7824.352539,5176.198975,7824.352749,2.099e-04,1695.58
137,58265,22,3551,1,5.20405,3.51199,321,2641.846436,7825.780762,5183.934326,7825.780586,-1.762e-04,800.054
138,58267,22,3625,1,63.6039,4.31611,-321,2663.153564,7825.992188,5162.838623,7825.992295,1.075e-04,108.561
139,58269,22,4894,1,6.46708,3.40292,-211,2641.846436,7827.607910,5185.761475,7827.608028,1.178e-04,2116.84
140,58271,23,1269,1,8.66508,2.2289,-211,2648.153564,7829.074707,5180.921143,7829.074656,-5.103e-05,1661.08
141,58273,23,2241,1,6.32899,3.74835,211,2641.846436,7824.839844,5182.993408,7824.840000,1.563e-04,2587.91
142,58275,23,4182,1,4.90717,3.20306,-211,2656.846436,7825.352539,5168.506104,7825.352742,2.029e-04,73.4658
143,58276,24,3206,1,4.39377,2.92067,211,2648.153564,7823.759277,5175.605713,7823.759517,2.397e-04,2618.87
144,58278,24,3708,1,6.13333,2.96792,-211,2641.846436,7824.951172,5183.104736,7824.951110,-6.187e-05,5011.4
145,58279,24,4143,1,6.55411,3.8989,211,2656.846436,7825.441895,5168.595459,7825.442049,1.545e-04,957.597
146,58281,24,5671,1,20.2472,3.94558,211,2663.153564,7825.897461,5162.743896,7825.897687,2.256e-04,1506.48
147,58283,25,1084,1,25.2038,3.00061,-211,2641.846436,7823.544922,5181.698486,7823.544694,-2.279e-04,384.294
148,58285,25,1113,1,3.38704,3.02722,211,2656.846436,7825.254883,5168.408447,7825.254741,-1.423e-04,5264.96
149,58287,25,1513,1,15.585,4.80165,-211,2663.153564,7826.010254,5162.856689,7826.010196,-5.741e-05,413.028
150,58289,25,2386,1,7.15045,4.71288,-2212,2663.153564,7825.811035,5162.657471,7825.811180,1.453e-04,524.572
151,58292,26,1371,1,6.15082,3.41261,-211,2641.846436,7825.669434,5183.822998,7825.669369,-6.509e-05,2605.42
152,58294,26,2354,1,21.9886,4.60851,-211,2663.153564,7826.644531,5163.490967,7826.644749,2.178e-04,178.482
153,58296,27,2202,1,3.87941,2.13584,211,2656.846436,7830.783691,5173.937256,7830.783768,7.659e-05,8715.85
154,58298,27,3302,1,53.8984,4.94189,-211,2663.153564,7825.950684,5162.797119,7825.950592,-9.109e-05,661.311
155,58301,28,3451,1,23.4222,3.74467,-2212,2663.153564,7825.701660,5162.548096,7825.701571,-8.916e-05,87.2768
156,58303,28,3457,1,28.2937,3.90425,2212,2656.846436,7826.208008,5169.361572,7826.207913,-9.481e-05,15.7116
157,58304,28,4677,1,5.7958,2.3234,-211,2641.846436,7828.015625,5186.169189,7828.015465,-1.600e-04,7750.34
158,58306,28,4817,1,3.2823,2.60188,-211,2648.153564,7829.256836,5181.103271,7829.256647,-1.889e-04,7364.63
159,58308,28,6019,1,115.882,4.77783,-321,2648.153564,7966.518555,5318.364990,7966.518338,-2.167e-04,420.075
160,58310,29,1222,1,8.49389,2.79696,211,2641.846436,7823.116699,5181.270264,7823.116658,-4.122e-05,1058.7
161,58312,30,2044,1,30.8737,3.55479,211,2641.846436,7824.653809,5182.807373,7824.653583,-2.261e-04,167.023
162,58313,30,3441,1,5.25736,3.38998,-211,2648.153564,7827.891113,5179.737549,7827.891348,2.342e-04,1240.45
163,58315,30,3442,1,4.07871,3.38157,211,2648.153564,7825.043457,5176.889893,7825.043620,1.630e-04,1021.19
164,58316,30,5015,1,3.45308,2.71358,-211,2656.846436,7829.918457,5173.072021,7829.918397,-5.953e-05,19259.1
165,58318,30,6013,1,3.17403,2.32766,211,2648.153564,7831.681641,5183.528076,7831.681507,-1.341e-04,9993.77
166,58320,30,7034,1,25.7614,3.98626,-211,2663.153564,7825.621582,5162.468018,7825.621665,8.247e-05,531.805
167,58321,30,8816,1,4.85305,2.73639,-211,2663.153564,7829.162598,5166.009033,7829.162552,-4.616e-05,2060.58
168,58323,30,8843,1,5.39429,3.57328,211,2648.153564,7827.653809,5179.500244,7827.653731,-7.809e-05,1419.47
169,58325,31,596,1,2.65447,2.25795,2212,2648.153564,7820.572754,5172.419189,7820.572776,2.209e-05,5024.69
170,58327,31,1267,1,3.20553,3.01279,-211,2656.846436,7825.287598,5168.441162,7825.287739,1.413e-04,8566.45
171,58329,31,1608,1,2.49279,2.95594,-211,2641.846436,7824.459473,5182.613037,7824.459684,2.118e-04,9884.69
172,58330,31,1938,1,3.99853,3.84711,211,2663.153564,7826.510742,5163.357178,7826.510661,-8.169e-05,3714.15
173,58333,32,1221,1,3.65024,2.88444,211,2656.846436,7829.317383,5172.470947,7829.317457,7.369e-05,30052.9
174,58336,32,6224,1,13.5413,3.83257,211,2641.846436,7824.864258,5183.017822,7824.864203,-5.531e-05,276.071
175,58338,32,6788,1,2.59681,2.76566,211,2663.153564,7827.383789,5164.230225,7827.384008,2.189e-04,15226.6
176,58339,32,6920,1,3.47001,3.53277,211,2641.846436,7824.413086,5182.566650,7824.413169,8.306e-05,5233.46
177,58341,32,8099,1,23.3977,2.03292,2212,2641.846436,7821.424316,5179.577881,7821.424416,9.959e-05,262.468
178,58343,32,8117,1,1.89569,2.08103,211,2648.153564,7822.630859,5174.477295,7822.630995,1.351e-04,15577.1
179,58344,32,8118,1,5.70989,2.31664,-211,2656.846436,7822.964844,5166.118408,7822.964644,-1.993e-04,4129.66
180,58347,32,8681,1,8.8254,4.64789,211,2663.153564,7825.687988,5162.534424,7825.687870,-1.188e-04,2447.36
181,58349,32,8682,1,4.82512,3.57572,-211,2663.153564,7825.152832,5161.999268,7825.153028,1.955e-04,2983.07
182,58351,33,2439,1,4.69579,2.77845,-211,2648.153564,7824.224609,5176.071045,7824.224452,-1.574e-04,3119.32
183,58353,33,2943,1,11.9547,4.96758,-211,2663.153564,7826.017578,5162.864014,7826.017513,-6.512e-05,76620.3
184,58354,33,3156,1,3.97082,3.62389,211,2663.153564,7824.823730,5161.670166,7824.823904,1.730e-04,5185.95
185,58356,33,3924,1,2.03841,2.744,211,2648.153564,7827.033691,5178.880127,7827.033666,-2.491e-05,12326.3
186,58358,33,4363,1,5.22618,3.04869,211,2656.846436,7828.218262,5171.371826,7828.218477,2.153e-04,3646.66
187,58360,33,4378,1,4.00505,3.6703,211,2648.153564,7826.743164,5178.589600,7826.742955,-2.091e-04,3138.81
188,58362,33,4588,1,7.90104,3.12239,-211,2656.846436,7825.780273,5168.933838,7825.780278,4.563e-06,1110.72
189,58363,33,4693,1,3.62332,4.85596,-211,2663.153564,7826.622070,5163.468506,7826.621848,-2.228e-04,2780.96
190,58365,33,5098,1,11.7263,3.55266,2212,2663.153564,7824.491211,5161.337646,7824.491170,-4.044e-05,310.955
191,58367,33,5703,1,36.7974,4.23602,211,2641.846436,7826.962402,5185.115967,7826.962577,1.742e-04,202.548
192,58370,33,9294,1,13.6666,4.57159,-211,2663.153564,7825.909668,5162.756104,7825.909588,-7.997e-05,288.681
193,58374,34,4659,1,10.4188,3.94784,321,2663.153564,7826.087402,5162.933838,7826.087503,1.012e-04,268.376
194,58376,34,4665,1,3.69177,4.04443,-211,2641.846436,7826.917969,5185.071533,7826.917770,-1.987e-04,7095.49
195,58378,34,4725,1,2.37214,2.30256,-211,2663.153564,7827.134766,5163.981201,7827.134878,1.124e-04,4040.12
196,58380,34,8017,1,45.8355,4.69514,321,2648.153564,7826.599609,5178.446045,7826.599545,-6.437e-05,84.5195
197,58382,35,378,1,28.1271,4.88835,2212,2663.153564,7895.478027,5232.324463,7895.478169,1.417e-04,99.3681
198,58383,35,392,1,4.86977,2.77395,-211,2648.153564,7826.605957,5178.452393,7826.605846,-1.110e-04,1333.29
199,58385,36,771,1,14.7258,4.98023,-211,2663.153564,7825.884766,5162.731201,7825.884893,1.274e-04,36343
200,58386,36,1397,1,5.46703,3.8423,211,2648.153564,7827.120117,5178.966553,7827.120287,1.698e-04,466.603
201,58388,36,1398,1,3.51796,3.16871,-211,2641.846436,7826.292480,5184.446045,7826.292721,2.405e-04,5117.99
202,58390,36,1466,1,7.0349,3.77689,211,2641.846436,8507.837891,5865.991455,8507.837686,-2.051e-04,130.703
203,58392,36,1714,1,26.2572,3.86926,211,2648.153564,7825.357422,5177.203857,7825.357643,2.206e-04,175.038
204,58394,36,3032,1,7.73231,3.69709,-211,2656.846436,8648.328125,5991.481689,8648.328424,2.990e-04,4826.51
205,58396,36,3617,1,9.55878,4.89102,-211,2663.153564,7825.815430,5162.661865,7825.815580,1.503e-04,2739.8
206,58397,36,3636,1,3.11468,3.22891,-211,2641.846436,7827.695312,5185.848877,7827.695329,1.650e-05,2915.13
207,58399,36,3981,1,2.31608,3.83827,211,2663.153564,7824.936035,5161.782471,7824.935819,-2.167e-04,18500
208,58401,36,4177,1,4.11192,2.32723,-321,2663.153564,7831.216797,5168.063232,7831.216705,-9.187e-05,2547.9
209,58403,36,4205,1,3.36391,3.85161,211,2641.846436,7827.165039,5185.318604,7827.165001,-3.756e-05,4350.25
210,58405,36,4548,1,5.57388,4.12247,-321,2656.846436,7825.226562,5168.380127,7825.226333,-2.300e-04,3243.72
211,58407,36,6715,1,5.89983,2.04996,211,2656.846436,7825.552246,5168.705811,7825.552460,2.134e-04,3143.71
212,58409,37,675,1,5.31269,3.2373,-211,2656.846436,7823.906738,5167.060303,7823.906724,-1.478e-05,2677.67
213,58411,37,1744,1,3.29927,2.82724,211,2641.846436,7822.771484,5180.925049,7822.771344,-1.409e-04,9360.9
214,58413,37,1781,1,29.8792,4.16626,2212,2656.846436,7825.267578,5168.421143,7825.267734,1.559e-04,111.636
215,58415,37,1793,1,14.3307,3.81987,211,2641.846436,7825.482910,5183.636475,7825.482752,-1.582e-04,1291.93
216,58417,37,2302,1,2.66729,2.6829,-211,2648.153564,7830.023438,5181.869873,7830.023395,-4.250e-05,7984.73
217,58419,37,4460,1,7.53708,3.32653,-211,2663.153564,7824.091309,5160.937744,7824.091237,-7.209e-05,610.862
218,58420,39,1133,1,13.0606,4.21298,-211,2641.846436,9262.546875,6620.700439,9262.547080,2.050e-04,2159.28
219,58422,40,750,1,4.08159,3.84982,211,2648.153564,7827.124023,5178.970459,7827.124185,1.611e-04,4862.55
220,58424,40,1328,1,9.0482,2.57321,211,2663.153564,7823.663574,5160.510010,7823.663403,-1.717e-04,1108.17
221,58425,40,1484,1,4.11092,3.81437,211,2641.846436,7825.049316,5183.202881,7825.049318,2.094e-06,7694.28
222,58427,40,1500,1,15.8871,3.26832,211,2648.153564,7825.985352,5177.831787,7825.985594,2.429e-04,604.469
223,58429,40,3787,1,23.5953,4.87952,211,2641.846436,7825.961426,5184.114990,7825.961192,-2.333e-04,625.969
224,58430,41,931,1,6.29022,3.34845,-211,2663.153564,7825.328125,5162.174561,7825.328240,1.150e-04,1463.58
225,58432,41,2392,1,2.70291,2.93239,211,2648.153564,7828.465820,5180.312256,7828.465676,-1.438e-04,5335.58
226,58434,41,2622,1,30.7156,4.95706,-211,2663.153564,7825.807129,5162.653564,7825.807080,-4.891e-05,893.481
227,58436,41,2729,1,3.2251,3.43492,211,2648.153564,7821.436035,5173.282471,7821.436233,1.978e-04,10263.4
