round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
1,rk6,23134,11567,25,0.13538365959218554,4.236148077837761e-06,nan,404.71909122862826,309.92126130917086,197.70133062175432,4662.8
2,own,23134,11567,25,4.354329288218391e-06,2.39154554526874e-06,nan,342.72033969668314,253.67550762575775,181.91025932739535,4543.1
3,own,23134,11567,25,2.413390319667791e-06,1.5528305349217112e-06,379.07344636636253,300.16865098355083,254.67467480621053,130.64674472974502,5019.7
4,own,23134,11567,25,1.5597893251943248e-06,1.1187086128422213e-06,263.2652313677255,287.9582477914653,242.6605241045081,121.20722905945058,5168.0
5,own,23134,11567,3,1.1254726280013204e-06,1.0904650186188286e-06,207.20613475972982,276.61876977896327,228.0641427403225,118.80914544815369,722.3
6,own,23134,11567,2,1.090240311299065e-06,1.0805616576916263e-06,60.02677670682033,281.97872100707855,243.72668348974003,121.33984745625526,373.1
7,own,23134,11567,2,1.0741954547947232e-06,1.0682420379585428e-06,19.319853742103987,278.0198646023564,240.67508687562622,120.49706606711652,107.0
8,own,23134,11567,2,1.0631411023546034e-06,1.058195619898251e-06,14.014034293722943,275.4767123939246,242.44335804860384,120.35799168350536,101.1
9,own,23134,11567,2,1.0536929495527867e-06,1.0497693647662806e-06,10.201153181640166,270.10145036013,234.82167623023997,119.71890673203234,156.4
10,own,23134,11567,2,1.046277641454819e-06,1.0427559995751861e-06,8.369103538825584,270.807811632352,237.62349210710454,119.21665984218066,160.7
11,own,23134,11567,2,1.0393396158430536e-06,1.0361286508108872e-06,5.360218768942104,273.32940594953925,236.55956778269882,118.94501704341565,106.6
12,own,23134,11567,2,1.03235580402896e-06,1.0288882472467132e-06,8.910305065228386,271.8914289158221,237.5754294998842,118.45275100432673,158.4
13,own,23134,11567,2,1.0259510624062037e-06,1.0230559390526166e-06,8.807537262782716,275.89081752080347,239.23670377291728,118.4946181633677,158.4
14,own,23134,11567,2,1.0203128380088538e-06,1.0176564342466106e-06,5.230384693959422,271.63950770744805,237.59604190900063,117.56340157026557,110.0
15,own,23134,11567,2,1.015052221877793e-06,1.0122648638855134e-06,3.4798564062725745,271.8949292415118,240.4595522004911,117.63649341958171,154.8
16,own,23134,11567,2,1.0095390547192655e-06,1.0070851492383609e-06,4.667436922431989,271.14420079874435,236.3281508669388,117.62055952809192,154.5
17,own,23134,11567,2,1.00452456148569e-06,1.0014351094424187e-06,5.68495055023277,272.52807584045513,237.99832973134016,116.61028173034538,128.4
18,own,23134,11567,2,9.9874112027568e-07,9.961912288939728e-07,9.550992997333196,272.8241310738895,239.3058989163137,116.56070494939286,122.4
19,own,23134,11567,2,9.935966844869405e-07,9.911514529321913e-07,5.221198098922741,271.66475668207113,235.18303731100332,116.28078166768319,158.9
