measurement,step_mm,reference_step_mm,integrator,field,group_kind,group,n,pos_med_um,pos_p95_um,pos_max_um,slope_med_urad,slope_p95_urad,slope_max_urad
step halving,0.1,0.05,RK6,v8r1.up,p_band,2-5 GeV,40,5.593619789578952e-06,1.3325035297384585e-05,1.9309652543597622e-05,2.3587104491795685e-06,5.10576858570033e-06,6.3205551903422474e-06
step halving,0.1,0.05,RK6,v8r1.up,p_band,5-10 GeV,40,2.6152662258027704e-06,4.859012392444128e-06,5.189946250538924e-06,1.088490408918119e-06,1.8186105399387031e-06,1.9339529977457914e-06
step halving,0.1,0.05,RK6,v8r1.up,p_band,10-25 GeV,40,1.340154653917125e-06,2.1104197500676487e-06,2.4528503672627266e-06,5.130895708305161e-07,8.778505700135497e-07,9.018202851152068e-07
step halving,0.1,0.05,RK6,v8r1.up,p_band,25-200 GeV,40,5.894840171549731e-07,1.282948858261079e-06,1.397690851945299e-06,2.39345869512686e-07,3.3998307641391884e-07,3.5484809535191175e-07
step halving,0.1,0.05,RK6,v8r1.up,direction,UT -> SciFi,100,3.7427128063427517e-06,1.7449309552830528e-05,2.4444489099550992e-05,1.4382106616750434e-06,6.882217018500113e-06,9.195977312970172e-06
step halving,0.1,0.05,RK6,v8r1.up,direction,SciFi -> UT,100,1.225904933122024e-06,9.841636483542969e-06,1.2883770494909186e-05,4.5552363964196374e-07,4.674173548213643e-06,5.90164028757556e-06
difference from the finest step,0.8,0.05,RK6,v8r1.up,all,all,200,9.996080763130522e-05,0.0006789478618429699,0.0011007384728145553,3.8937455690279954e-05,0.0002912787171183148,0.0004640181017201428
difference from the finest step,0.8,0.05,RK6,v8r1.up,p_band,1-2 GeV,40,0.000419044586585926,0.0010193267115710114,0.0010989631391566945,0.000175254477596809,0.0004050023122426082,0.0004640181017201428
difference from the finest step,0.8,0.05,RK6,v8r1.up,p_band,2-5 GeV,40,0.00024238923579389393,0.0005999805068768178,0.0011007384728145553,8.782313765109961e-05,0.00024942910792358203,0.00036826047766780334
difference from the finest step,0.8,0.05,RK6,v8r1.up,p_band,5-10 GeV,40,0.00010099159908349975,0.0003071568446699757,0.0003221983888579416,3.620381772151404e-05,9.840021228391113e-05,0.00013699716361337266
difference from the finest step,0.8,0.05,RK6,v8r1.up,p_band,10-25 GeV,40,5.18848465858035e-05,9.157516380753347e-05,0.0001002260461291371,1.9406996842885604e-05,3.851363585688493e-05,4.365452443977347e-05
difference from the finest step,0.8,0.05,RK6,v8r1.up,p_band,25-200 GeV,40,2.0833148539622925e-05,5.104522529109089e-05,5.6632210032603325e-05,7.896475140434234e-06,2.0652873421872487e-05,2.442965621463067e-05
difference from the finest step,0.8,0.05,RK6,v8r1.up,direction,UT -> SciFi,100,0.00011696894830492965,0.0009749801336056406,0.0011007384728145553,4.1331979505621064e-05,0.0003693231526158413,0.0004365941497219694
difference from the finest step,0.8,0.05,RK6,v8r1.up,direction,SciFi -> UT,100,8.107984683647373e-05,0.0005730821612814907,0.001018351269976847,3.687177473066239e-05,0.00024755979141644063,0.0004640181017201428
difference from the finest step,0.4,0.05,RK6,v8r1.up,all,all,200,9.783832410903415e-06,0.00014380691908399965,0.0002484319203688301,3.86207970985708e-06,6.241771821624549e-05,0.00011698036983531779
difference from the finest step,0.4,0.05,RK6,v8r1.up,p_band,1-2 GeV,40,3.220478106413793e-05,0.00022584137298053972,0.0002484319203688301,1.4404838433179634e-05,0.00010068335332125145,0.00011698036983531779
difference from the finest step,0.4,0.05,RK6,v8r1.up,p_band,2-5 GeV,40,1.6405920177930966e-05,0.00010859837829002564,0.00014459541830547096,8.221368030802978e-06,4.151273430910704e-05,6.489143944410358e-05
difference from the finest step,0.4,0.05,RK6,v8r1.up,p_band,5-10 GeV,40,8.281119789899094e-06,4.866210119303105e-05,5.2752355372831516e-05,3.193542652546455e-06,2.0122114044451852e-05,2.3345759353476936e-05
difference from the finest step,0.4,0.05,RK6,v8r1.up,p_band,10-25 GeV,40,3.6384388835131176e-06,2.8288629683181893e-05,3.47389530475084e-05,1.671301985695095e-06,1.1516870573533003e-05,1.447641659324539e-05
difference from the finest step,0.4,0.05,RK6,v8r1.up,p_band,25-200 GeV,40,1.7694148368718743e-06,1.2639648749868115e-05,1.3529870557249524e-05,6.668324746550436e-07,5.60194024414734e-06,6.309966438244885e-06
difference from the finest step,0.4,0.05,RK6,v8r1.up,direction,UT -> SciFi,100,6.346340342133772e-06,3.07291486478789e-05,5.280361392578925e-05,2.0905846498386893e-06,1.414524608556178e-05,1.6275314429492482e-05
difference from the finest step,0.4,0.05,RK6,v8r1.up,direction,SciFi -> UT,100,1.9366098058526404e-05,0.00018945813167192677,0.0002484319203688301,8.310274343670265e-06,9.12912717643266e-05,0.00011698036983531779
difference from the finest step,0.2,0.05,RK6,v8r1.up,all,all,200,6.851479383840342e-06,3.541396367268134e-05,5.906605338168447e-05,2.4766595024816596e-06,1.6413175332741222e-05,2.8748226021946266e-05
difference from the finest step,0.2,0.05,RK6,v8r1.up,p_band,1-2 GeV,40,3.1166862868303724e-05,5.7261704000666214e-05,5.906605338168447e-05,1.1696518753545604e-05,2.6826854626627036e-05,2.8748226021946266e-05
difference from the finest step,0.2,0.05,RK6,v8r1.up,p_band,2-5 GeV,40,1.69457052834332e-05,3.43166583149923e-05,5.353433607524494e-05,6.087477744110004e-06,1.654309952914268e-05,1.6830481452956292e-05
difference from the finest step,0.2,0.05,RK6,v8r1.up,p_band,5-10 GeV,40,7.296311110849274e-06,1.3539516885430201e-05,1.4566623462997086e-05,2.4804047704662935e-06,5.060997119706121e-06,5.189591811838312e-06
difference from the finest step,0.2,0.05,RK6,v8r1.up,p_band,10-25 GeV,40,4.048303026138456e-06,8.808357776501907e-06,9.422546298765155e-06,1.2466416787759727e-06,3.4790703304365943e-06,4.170827311994474e-06
difference from the finest step,0.2,0.05,RK6,v8r1.up,p_band,25-200 GeV,40,1.4412941951036373e-06,2.908563700998456e-06,3.57303520104324e-06,5.174821075121239e-07,9.292967437235505e-07,1.369508673132458e-06
difference from the finest step,0.2,0.05,RK6,v8r1.up,direction,UT -> SciFi,100,8.9534353264753e-06,3.424918872951821e-05,5.725405571865849e-05,2.614020111479931e-06,1.2809686644743579e-05,1.7584933509340317e-05
difference from the finest step,0.2,0.05,RK6,v8r1.up,direction,SciFi -> UT,100,4.420307675445656e-06,4.3638209490381976e-05,5.906605338168447e-05,2.372577828646527e-06,2.1200667610354877e-05,2.8748226021946266e-05
difference from the finest step,0.1,0.05,RK6,v8r1.up,all,all,200,2.075968730252953e-06,1.6384717582695885e-05,2.4444489099550992e-05,8.810729923425242e-07,6.436773336560009e-06,9.195977312970172e-06
difference from the finest step,0.1,0.05,RK6,v8r1.up,p_band,1-2 GeV,40,1.3903777684731722e-05,1.747501983118127e-05,2.4444489099550992e-05,5.51150791672228e-06,7.342110253105716e-06,9.195977312970172e-06
difference from the finest step,0.1,0.05,RK6,v8r1.up,p_band,2-5 GeV,40,5.593619789578952e-06,1.3325035297384585e-05,1.9309652543597622e-05,2.3587104491795685e-06,5.10576858570033e-06,6.3205551903422474e-06
difference from the finest step,0.1,0.05,RK6,v8r1.up,p_band,5-10 GeV,40,2.6152662258027704e-06,4.859012392444128e-06,5.189946250538924e-06,1.088490408918119e-06,1.8186105399387031e-06,1.9339529977457914e-06
difference from the finest step,0.1,0.05,RK6,v8r1.up,p_band,10-25 GeV,40,1.340154653917125e-06,2.1104197500676487e-06,2.4528503672627266e-06,5.130895708305161e-07,8.778505700135497e-07,9.018202851152068e-07
difference from the finest step,0.1,0.05,RK6,v8r1.up,p_band,25-200 GeV,40,5.894840171549731e-07,1.282948858261079e-06,1.397690851945299e-06,2.39345869512686e-07,3.3998307641391884e-07,3.5484809535191175e-07
difference from the finest step,0.1,0.05,RK6,v8r1.up,direction,UT -> SciFi,100,3.7427128063427517e-06,1.7449309552830528e-05,2.4444489099550992e-05,1.4382106616750434e-06,6.882217018500113e-06,9.195977312970172e-06
difference from the finest step,0.1,0.05,RK6,v8r1.up,direction,SciFi -> UT,100,1.225904933122024e-06,9.841636483542969e-06,1.2883770494909186e-05,4.5552363964196374e-07,4.674173548213643e-06,5.90164028757556e-06
step halving,0.8,0.2,RK6,smooth analytic,all,all,200,9.912355380947702e-07,5.460219654196407e-06,6.582922651432455e-06,1.176385377998912e-07,4.993339075554102e-07,8.426592756904938e-07
step halving,0.8,0.2,RK6,smooth analytic,p_band,1-2 GeV,40,4.407183951116167e-06,5.68354607821675e-06,5.841684469487518e-06,4.035383138756288e-07,5.82245363034417e-07,6.179501355063621e-07
step halving,0.8,0.2,RK6,smooth analytic,p_band,2-5 GeV,40,2.0078232410014607e-06,6.269874575082213e-06,6.582922651432455e-06,2.461086889837816e-07,7.630673870551161e-07,8.426592756904938e-07
step halving,0.8,0.2,RK6,smooth analytic,p_band,5-10 GeV,40,1.070930011337623e-06,2.0663776467699786e-06,2.784219077511807e-06,1.176385377998912e-07,1.570077401424896e-07,1.6497914145929826e-07
step halving,0.8,0.2,RK6,smooth analytic,p_band,10-25 GeV,40,4.561115929391235e-07,9.442743476029136e-07,1.546709427202586e-06,5.0383308636270385e-08,7.25586257743771e-08,7.843725668976731e-08
step halving,0.8,0.2,RK6,smooth analytic,p_band,25-200 GeV,40,2.319051617405421e-07,5.68872948747412e-07,5.869651431567036e-07,2.421500500116025e-08,2.9690139236038242e-08,3.144706717250756e-08
step halving,0.8,0.2,RK6,smooth analytic,direction,UT -> SciFi,100,6.594973456230946e-07,3.7068730307510123e-06,4.9544723879080266e-06,1.1451603554313294e-07,4.5809467330570897e-07,6.179501355063621e-07
step halving,0.8,0.2,RK6,smooth analytic,direction,SciFi -> UT,100,1.5448904377990402e-06,5.759170562669169e-06,6.582922651432455e-06,1.1982081993267002e-07,5.665301561208479e-07,8.426592756904938e-07
step halving,0.2,0.05,RK6,smooth analytic,all,all,200,3.969461204178515e-06,2.1899359126109626e-05,2.6253928808728233e-05,4.701204703305706e-07,2.019356903915081e-06,3.3799629761688266e-06
step halving,0.2,0.05,RK6,smooth analytic,p_band,1-2 GeV,40,1.7674437913228758e-05,2.2623544282396324e-05,2.3444954422302544e-05,1.6238677069679852e-06,2.316852265593638e-06,2.4741320103771614e-06
step halving,0.2,0.05,RK6,smooth analytic,p_band,2-5 GeV,40,8.003780749277212e-06,2.527156084397575e-05,2.6253928808728233e-05,9.885148255506238e-07,3.111322310900277e-06,3.3799629761688266e-06
step halving,0.2,0.05,RK6,smooth analytic,p_band,5-10 GeV,40,4.269168130122125e-06,8.257131867139831e-06,1.1108795661129989e-05,4.701204703305706e-07,6.339428981760874e-07,6.709632849322134e-07
step halving,0.2,0.05,RK6,smooth analytic,p_band,10-25 GeV,40,1.8256685052620014e-06,3.7889321902184747e-06,6.239730510060326e-06,2.019773237549316e-07,2.9772018184104354e-07,3.2152058793144533e-07
step halving,0.2,0.05,RK6,smooth analytic,p_band,25-200 GeV,40,9.329372829824933e-07,2.268804166760674e-06,2.3593429432366975e-06,9.721563831721625e-08,1.1790776688336278e-07,1.2294332218942827e-07
step halving,0.2,0.05,RK6,smooth analytic,direction,UT -> SciFi,100,2.6412863007863052e-06,1.4762235878151841e-05,1.982107278308831e-05,4.5763046130353757e-07,1.820643635852548e-06,2.4741320103771614e-06
step halving,0.2,0.05,RK6,smooth analytic,direction,SciFi -> UT,100,6.166999355627922e-06,2.2990479919826612e-05,2.6253928808728233e-05,4.731770530952417e-07,2.2438662039547803e-06,3.3799629761688266e-06
difference from the finest step,0.8,0.05,RK6,smooth analytic,all,all,200,2.9782256660837447e-06,1.643913947191322e-05,1.967100615729578e-05,3.510594592803784e-07,1.520022996359671e-06,2.5373037004783328e-06
difference from the finest step,0.8,0.05,RK6,smooth analytic,p_band,1-2 GeV,40,1.326725396211259e-05,1.6946478353929706e-05,1.7603269952815026e-05,1.2203293930923564e-06,1.7346069025592212e-06,1.8561818748707992e-06
difference from the finest step,0.8,0.05,RK6,smooth analytic,p_band,2-5 GeV,40,6.006303010508418e-06,1.9001686268893536e-05,1.967100615729578e-05,7.436551374695455e-07,2.3482549238451607e-06,2.5373037004783328e-06
difference from the finest step,0.8,0.05,RK6,smooth analytic,p_band,5-10 GeV,40,3.198238118784502e-06,6.190754220369852e-06,8.324576583618182e-06,3.510594592803784e-07,4.769268313609132e-07,5.061506769266089e-07
difference from the finest step,0.8,0.05,RK6,smooth analytic,p_band,10-25 GeV,40,1.369556912322878e-06,2.838672230609518e-06,4.69302108285774e-06,1.5169809852721983e-07,2.251615560666664e-07,2.43083331241678e-07
difference from the finest step,0.8,0.05,RK6,smooth analytic,p_band,25-200 GeV,40,7.010321212419512e-07,1.699931218013262e-06,1.772377800079994e-06,7.305874655250122e-08,8.834781864419661e-08,9.149625501692071e-08
difference from the finest step,0.8,0.05,RK6,smooth analytic,direction,UT -> SciFi,100,1.9817889551632106e-06,1.105536284740083e-05,1.4866600395180285e-05,3.434891260312156e-07,1.362548962546839e-06,1.8561818748707992e-06
difference from the finest step,0.8,0.05,RK6,smooth analytic,direction,SciFi -> UT,100,4.622108917828882e-06,1.7231309357157443e-05,1.967100615729578e-05,3.5321745528449355e-07,1.6773360478339323e-06,2.5373037004783328e-06
forward-then-back closure,0.1,0.1,RK6,v8r1.up,all,all,200,3.6571226047499295e-06,2.882349896538016e-05,4.35786660091253e-05,1.358226573745791e-06,1.1367852492671906e-05,1.622446621496465e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.up,p_band,1-2 GeV,40,1.671151039772667e-05,4.00198842953614e-05,4.35786660091253e-05,7.608691454663585e-06,1.5331380609495682e-05,1.622446621496465e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.up,p_band,2-5 GeV,40,7.520270628447179e-06,2.438498540868748e-05,3.0300043363240547e-05,2.880598537480239e-06,9.07106334491203e-06,1.1827205881331793e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.up,p_band,5-10 GeV,40,4.674767239976063e-06,7.761366305203406e-06,1.0401436156826094e-05,1.762624768364418e-06,3.0814815976665223e-06,3.874248144519754e-06
forward-then-back closure,0.1,0.1,RK6,v8r1.up,p_band,10-25 GeV,40,1.8144632463190646e-06,4.100341799428974e-06,5.422634785645641e-06,6.894246458444275e-07,1.457692300199652e-06,1.8904537223835005e-06
forward-then-back closure,0.1,0.1,RK6,v8r1.up,p_band,25-200 GeV,40,1.0250449378190751e-06,1.6451480178147904e-06,2.0615900098164275e-06,3.829159211932165e-07,6.383662695674806e-07,7.297357162983076e-07
forward-then-back closure,0.1,0.1,RK6,v8r1.up,direction,UT -> SciFi,100,3.126298775413261e-06,1.8337212637220542e-05,2.599830395411118e-05,1.3400432022706021e-06,8.574629895008457e-06,1.1904671692875013e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.up,direction,SciFi -> UT,100,3.9737244605930755e-06,3.0308208920359903e-05,4.35786660091253e-05,1.3995957170997997e-06,1.2233244972570388e-05,1.622446621496465e-05
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,all,all,200,0.012694930724421738,0.07663032067171109,0.2913077132689068,0.004971042820434146,0.034185547415511296,0.09583135471280535
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,p_band,1-2 GeV,40,0.057486285527375,0.13813456999045556,0.2097854799956167,0.02302428714351379,0.07363667827858797,0.09583135471280535
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,p_band,2-5 GeV,40,0.029955837931083806,0.10168877375837933,0.2913077132689068,0.011639430988474864,0.045222570537600766,0.09254893321153368
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,p_band,5-10 GeV,40,0.012892284956933509,0.019356876410370195,0.025105642752709656,0.004971042820434146,0.008004847701359447,0.010598979186069585
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,p_band,10-25 GeV,40,0.0066944908718724605,0.01308797010022289,0.030070851245511676,0.0023419408079483617,0.005492979538281387,0.01302048508074194
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,p_band,25-200 GeV,40,0.0032436543762059955,0.005574399878938151,0.00952982209412312,0.0011323520263811782,0.002524655206290541,0.004228346599938204
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,direction,UT -> SciFi,100,0.013035682712825292,0.057585973280538376,0.0885053186721052,0.004686719248803151,0.02332575382846258,0.028779322369665294
RK4 against RK6 at 0.05 mm,5.0,0.05,RK4,v8r1.up,direction,SciFi -> UT,100,0.011722628226906728,0.10168877375837933,0.2913077132689068,0.00528950523832894,0.049333446886651276,0.09583135471280535
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,all,all,200,0.0008174113403924821,0.004854125390352237,0.009746379134867311,0.00031946871970750523,0.001952174096681025,0.004203815351377926
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,p_band,1-2 GeV,40,0.004234532411828695,0.006080384841311566,0.009746379134867311,0.0016794021728827602,0.0026504374431302043,0.004203815351377926
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,p_band,2-5 GeV,40,0.002007803956871612,0.005635616804511295,0.008754182999837212,0.0007722947281685322,0.00198384762159498,0.0028242155836188942
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,p_band,5-10 GeV,40,0.0009680292691882642,0.0016154019789382794,0.0018790560667447664,0.00036115319762553,0.0006820160164053288,0.0007966788192689811
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,p_band,10-25 GeV,40,0.00039108955718347715,0.0007568117027290093,0.0012868862562243066,0.0001435348923051194,0.0002567871421575714,0.0005402146087234161
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,p_band,25-200 GeV,40,0.00021009738038202386,0.0003110851367615907,0.0003822654051077734,7.642109601385672e-05,0.00012440147059179782,0.00016222747797889348
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,direction,UT -> SciFi,100,0.0011302395250822883,0.004926523794779314,0.008754182999837212,0.00040382505672731384,0.001962703571889435,0.0028242155836188942
RK4 against RK6 at 0.05 mm,1.0,0.05,RK4,v8r1.up,direction,SciFi -> UT,100,0.0006247876562781585,0.003788604199339573,0.009746379134867311,0.00029241615552566547,0.0017332958221483168,0.004203815351377926
step halving,0.1,0.05,RK6,v8r1.down,all,all,200,2.8038300570187857e-06,0.0006848374596302157,0.0017467627912992612,9.55804879687605e-07,0.0004764224514897098,0.0011956327039541748
step halving,0.1,0.05,RK6,v8r1.down,p_band,1-2 GeV,40,4.988191903976258e-05,0.001235907666341518,0.0017467627912992612,5.890099519234582e-05,0.0007398670787139847,0.0011956327039541748
step halving,0.1,0.05,RK6,v8r1.down,p_band,2-5 GeV,40,8.657139005663339e-06,8.93715196070843e-05,0.00014398210623767227,3.3668068333270185e-06,6.984833822443193e-05,0.00014773560153003018
step halving,0.1,0.05,RK6,v8r1.down,p_band,5-10 GeV,40,3.2788989301479887e-06,5.120784862810976e-06,7.96148924564477e-06,1.142794192610097e-06,1.897612622592248e-06,2.0444756998472258e-06
step halving,0.1,0.05,RK6,v8r1.down,p_band,10-25 GeV,40,1.4012062621304722e-06,2.3997682063736626e-06,4.225569227855885e-06,5.104944245104548e-07,8.517464511470506e-07,1.0472733791289102e-06
step halving,0.1,0.05,RK6,v8r1.down,p_band,25-200 GeV,40,6.103704208726413e-07,1.2147140182605651e-06,1.6858905382832745e-06,2.419869860048607e-07,3.466756395842374e-07,3.577034501933696e-07
step halving,0.1,0.05,RK6,v8r1.down,direction,UT -> SciFi,100,3.819980776142984e-06,3.338593614898855e-05,5.295760274748318e-05,1.4168943796022404e-06,1.6148860026987674e-05,4.394995478662622e-05
step halving,0.1,0.05,RK6,v8r1.down,direction,SciFi -> UT,100,1.8947616808873136e-06,0.0010028109500126445,0.0017467627912992612,5.29923327441395e-07,0.0006153690945698286,0.0011956327039541748
forward-then-back closure,0.1,0.1,RK6,v8r1.down,all,all,200,3.6413574378002522e-06,0.0019120779143122395,0.005134733328304719,1.4200272901998545e-06,0.00036627515326292926,0.0006368650259935826
forward-then-back closure,0.1,0.1,RK6,v8r1.down,p_band,1-2 GeV,40,6.20793230154959e-05,0.004694096236335099,0.005134733328304719,1.478823313805222e-05,0.0005374918010669915,0.0006368650259935826
forward-then-back closure,0.1,0.1,RK6,v8r1.down,p_band,2-5 GeV,40,8.943231932789786e-06,0.00018071041267830873,0.0002579233751021093,3.122405112243598e-06,3.2702995866884514e-05,5.0593251810227e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.down,p_band,5-10 GeV,40,4.517744400800439e-06,7.517053290939652e-06,1.1250449460931122e-05,1.7484624859065434e-06,3.0272659379271235e-06,3.977082552175659e-06
forward-then-back closure,0.1,0.1,RK6,v8r1.down,p_band,10-25 GeV,40,1.7937278329327455e-06,4.035463208040822e-06,5.558604243560694e-06,6.824024852136734e-07,1.4475119020085346e-06,1.8912592845976572e-06
forward-then-back closure,0.1,0.1,RK6,v8r1.down,p_band,25-200 GeV,40,1.0511556070014194e-06,1.6110476508401916e-06,2.0642403342208127e-06,3.8318653805546887e-07,6.447979303270123e-07,7.300132720544639e-07
forward-then-back closure,0.1,0.1,RK6,v8r1.down,direction,UT -> SciFi,100,3.2696831908651802e-06,2.4323801994796654e-05,6.716027201036923e-05,1.3465642446572335e-06,8.981135279917393e-06,1.5392881413944792e-05
forward-then-back closure,0.1,0.1,RK6,v8r1.down,direction,SciFi -> UT,100,3.866460929202731e-06,0.003409408478205477,0.005134733328304719,1.4738904541289344e-06,0.0004492338518541361,0.0006368650259935826
