measurement,step_mm,reference_step_mm,integrator,field,group_kind,group,n,pos_med_um,pos_p95_um,pos_max_um,slope_med_urad,slope_p95_urad,slope_max_urad
step halving,0.8,0.4,RK6,v8r1.up,all,all,200,9.423615665582474e-05,0.0006405146876886643,0.001128478743339656,3.874610875198581e-05,0.00028648128452823935,0.00045044115659642614
step halving,0.8,0.4,RK6,v8r1.up,p_band,1-2 GeV,40,0.00042527886989773833,0.0009983872104157854,0.0010844418056876748,0.00017522100437261656,0.0004006339177076156,0.00045044115659642614
step halving,0.8,0.4,RK6,v8r1.up,p_band,2-5 GeV,40,0.0002092856554725131,0.0005876303944774005,0.001128478743339656,8.253449312878303e-05,0.0002432696478288364,0.0003773916179561354
step halving,0.8,0.4,RK6,v8r1.up,p_band,5-10 GeV,40,9.644681853160364e-05,0.00028705703840614655,0.000306015294881945,3.9472800028583777e-05,9.757778265950809e-05,0.00012856703549002368
step halving,0.8,0.4,RK6,v8r1.up,p_band,10-25 GeV,40,5.162557670246315e-05,8.95723863969522e-05,9.545913393083083e-05,1.953518943831334e-05,3.860981308972944e-05,4.107908804784621e-05
step halving,0.8,0.4,RK6,v8r1.up,p_band,25-200 GeV,40,2.241952046233564e-05,4.809484153156517e-05,5.1264869682654535e-05,7.559411430158036e-06,1.7747535212275786e-05,2.1773898656318735e-05
step halving,0.8,0.4,RK6,v8r1.up,direction,UT -> SciFi,100,0.00010970720154546143,0.0009601986974416832,0.001128478743339656,3.897991651680144e-05,0.0003777536450311203,0.0004312765145009223
step halving,0.8,0.4,RK6,v8r1.up,direction,SciFi -> UT,100,8.773315585131058e-05,0.0005707648540465016,0.0009909251730277902,3.874610875198581e-05,0.00026393364160881555,0.00045044115659642614
step halving,0.4,0.2,RK6,v8r1.up,all,all,200,1.1750774131513708e-05,0.00015062324223436002,0.00022015524336893577,5.0369083903767375e-06,6.881263198144082e-05,9.625686359093777e-05
step halving,0.4,0.2,RK6,v8r1.up,p_band,1-2 GeV,40,6.146416353658424e-05,0.00020556753312916953,0.00022015524336893577,2.624542250195816e-05,9.040625609246787e-05,9.625686359093777e-05
step halving,0.4,0.2,RK6,v8r1.up,p_band,2-5 GeV,40,2.6538977238033112e-05,9.547850829960675e-05,0.00015000227904238272,1.1027026514121019e-05,4.197017351714737e-05,4.825408822517474e-05
step halving,0.4,0.2,RK6,v8r1.up,p_band,5-10 GeV,40,1.4488563238046481e-05,4.7466330244105834e-05,5.522304036276182e-05,5.34755573156076e-06,2.052245148045092e-05,2.376750879440337e-05
step halving,0.4,0.2,RK6,v8r1.up,p_band,10-25 GeV,40,7.783491184909508e-06,2.9311012117450013e-05,3.382206870128357e-05,2.874551291442984e-06,1.2655514483594917e-05,1.4661799552229127e-05
step halving,0.4,0.2,RK6,v8r1.up,p_band,25-200 GeV,40,3.4321061548325815e-06,1.1960846402203627e-05,1.4248058732846403e-05,1.2456729441348569e-06,5.082497703950971e-06,5.939193581383506e-06
step halving,0.4,0.2,RK6,v8r1.up,direction,UT -> SciFi,100,9.003713330457686e-06,6.33535336191926e-05,8.127460660034558e-05,3.0875163536947525e-06,2.6284141529941962e-05,2.821221034565724e-05
step halving,0.4,0.2,RK6,v8r1.up,direction,SciFi -> UT,100,1.668737148463606e-05,0.00018987730925346114,0.00022015524336893577,7.994629264151953e-06,8.56267654003595e-05,9.625686359093777e-05
step halving,0.2,0.1,RK6,v8r1.up,all,all,200,7.810488256154713e-06,5.015776309846841e-05,8.169854481820948e-05,2.8875304924902423e-06,1.9707052656414693e-05,2.678091082231049e-05
step halving,0.2,0.1,RK6,v8r1.up,p_band,1-2 GeV,40,4.5213880639494164e-05,5.499239250639221e-05,8.169854481820948e-05,1.7751883296668325e-05,2.413075711471535e-05,2.678091082231049e-05
step halving,0.2,0.1,RK6,v8r1.up,p_band,2-5 GeV,40,2.1268419914122205e-05,3.588222625694467e-05,7.271796675922815e-05,8.214186275612434e-06,1.3835371043269254e-05,2.315103664329854e-05
step halving,0.2,0.1,RK6,v8r1.up,p_band,5-10 GeV,40,9.881574669634574e-06,1.7576041955180696e-05,1.8382024791208096e-05,3.4891733599606845e-06,5.404542785525379e-06,5.4750648459389595e-06
step halving,0.2,0.1,RK6,v8r1.up,p_band,10-25 GeV,40,4.858293323195539e-06,8.36166833551033e-06,1.0673602446331643e-05,1.7991719225562974e-06,2.982647635818569e-06,3.92706527019282e-06
step halving,0.2,0.1,RK6,v8r1.up,p_band,25-200 GeV,40,2.0190498162264703e-06,3.4388058622880635e-06,3.742172793863574e-06,6.49149137221805e-07,1.0223704044812205e-06,1.3564652873165883e-06
step halving,0.2,0.1,RK6,v8r1.up,direction,UT -> SciFi,100,1.2595506859724992e-05,5.1223616992501775e-05,8.169854481820948e-05,3.865061048990981e-06,1.9650847615793055e-05,2.678091082231049e-05
step halving,0.2,0.1,RK6,v8r1.up,direction,SciFi -> UT,100,4.916380191843928e-06,4.02384838338321e-05,5.5644079566263827e-05,2.406387589193315e-06,2.0243302867317677e-05,2.4691415578814713e-05
step halving,0.1,0.05,RK6,v8r1.up,all,all,200,2.075968730252953e-06,1.6384717582695885e-05,2.4444489099550992e-05,8.810729923425242e-07,6.436773336560009e-06,9.195977312970172e-06
step halving,0.1,0.05,RK6,v8r1.up,p_band,1-2 GeV,40,1.3903777684731722e-05,1.747501983118127e-05,2.4444489099550992e-05,5.51150791672228e-06,7.342110253105716e-06,9.195977312970172e-06
