mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,7.0081465162806145e-09,11.8
physics,0,stall,1,6.3982576141292894e-09,12.9
physics,0,stall,2,6.166961116875669e-09,12.3
physics,0,stall,3,6.027493563131714e-09,12.3
physics,0,stall,4,5.928395189485489e-09,12.2
physics,0,stall,5,5.844413165306969e-09,12.4
physics,0,stall,6,5.770348865335644e-09,12.8
physics,0,stall,7,5.7035279218519125e-09,13.1
physics,0,stall,8,5.642576213685703e-09,14.1
physics,0,stall,9,5.5863653311303875e-09,12.3
physics,0,stall,10,5.5341051163796184e-09,12.4
physics,0,stall,11,5.485287350206095e-09,12.9
physics,0,confirm,12,5.478044693682268e-09,4.8
physics,0,confirm,13,5.478044693682268e-09,0.1
