predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
fine reference (material floor),-,-,-,20-200 mm,1-5 GeV,backward,1510,69.80770074999964,14.225166827827707,63.42031759328212,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,5-20 GeV,all,2309,69.80490049999935,4.65662915212306,17.393868689052994,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,5-20 GeV,forward,1156,69.80415000000085,5.349347306832897,18.876959163144136,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,5-20 GeV,backward,1153,69.80549999999857,3.9095688236443493,14.333236068537037,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,20-200 GeV,all,649,69.8020000000015,1.1641983455206173,4.755508670379527,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,20-200 GeV,forward,323,69.80189999999857,1.3220286011659255,5.35692151831597,0.0,0.0
fine reference (material floor),-,-,-,20-200 mm,20-200 GeV,backward,326,69.80249950000007,1.0337623248375394,3.784085655581748,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,all,all,4000,472.2208000000005,51.13985220990003,415.95623079560113,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,all,forward,2044,472.2166499999994,58.854720269422955,433.92425493011757,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,all,backward,1956,472.2224995000006,42.765897466210845,389.5570690911825,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,1-5 GeV,all,2042,472.2235007499994,119.06285018928564,534.1667203547496,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,1-5 GeV,forward,1057,472.19920699999966,131.2037619053399,621.2366858258973,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,1-5 GeV,backward,985,472.238799499999,109.13298842541508,502.6694808321734,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,5-20 GeV,all,1531,472.22849999999926,29.224852819766056,129.62553102096308,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,5-20 GeV,forward,764,472.23500099999956,34.92298529388904,152.71345966738258,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,5-20 GeV,backward,767,472.22249900000133,23.866747398329835,110.79905258487763,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,20-200 GeV,all,427,472.1847999999991,6.809487414074056,32.03746345544971,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,20-200 GeV,forward,223,472.1836999999996,7.394378012875791,32.0916499895901,0.0,0.0
fine reference (material floor),-,-,-,200-2000 mm,20-200 GeV,backward,204,472.1850502499992,5.84181192379063,29.788581445241388,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,all,all,2410,5175.346389,1815.412862527154,20161.624593697223,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,all,forward,1205,5175.346389,2326.885053783599,24539.825511031082,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,all,backward,1205,5175.346389,1437.9621002314025,16532.461194927742,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,1-5 GeV,all,1034,5174.7871589999995,6203.245440351083,29390.142344510637,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,1-5 GeV,forward,517,5174.7871589999995,7354.636826679126,34517.65872787768,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,1-5 GeV,backward,517,5174.7871589999995,5107.375242097941,23690.97528023514,0.0,0.0
