restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,0.1687206222931347,0.00011834502893599304,0.9992985740134933,5.926957750680904,1,200,205,0,96.59
1,1,1,train,0.00011834502893599304,5.3315564097699263e-05,0.5494904637985681,8449.8690734264,1,200,203,0,138.19
2,1,2,train,5.3315564097699263e-05,3.279201885211547e-05,0.3849447266088187,8449.8690734264,0,200,206,0,165.54
3,1,3,train,3.279201885211547e-05,2.5243211094888577e-05,0.23020259262689186,8449.8690734264,0,200,204,0,146.59
4,1,4,train,2.5243211094888577e-05,2.0424062777458128e-05,0.1909086882534633,8449.8690734264,0,200,212,0,176.79
5,1,5,train,2.0424062777458128e-05,1.7246887617966267e-05,0.15556038943429432,8449.8690734264,0,200,212,0,166.74
6,1,6,train,1.7246887617966267e-05,1.5025869684122262e-05,0.12877789796289663,8449.8690734264,0,200,208,0,120.5
7,1,7,train,1.5025869684122262e-05,1.3457904714057573e-05,0.10435102945964897,8449.8690734264,0,200,207,0,181.07
8,1,8,train,1.3457904714057573e-05,1.217743907976613e-05,0.09514598754395405,8449.8690734264,0,200,212,0,171.32
9,1,9,train,1.217743907976613e-05,1.1113196961929363e-05,0.08739457540010184,8449.8690734264,0,200,219,0,130.59
10,1,10,train,1.1113196961929363e-05,1.0509117927122466e-05,0.05435690889635981,89983.10777949083,1,200,208,0,120.02
11,1,11,train,1.0509117927122466e-05,9.888878540798816e-06,0.0590191670342669,89983.10777949083,0,200,212,0,116.41
12,1,12,train,9.888878540798816e-06,9.23677372738649e-06,0.0659432523841728,89983.10777949083,0,200,212,0,127.06
13,1,13,train,9.23677372738649e-06,8.657922236017939e-06,0.06266814674178824,89983.10777949083,0,200,213,0,135.43
14,1,14,train,8.657922236017939e-06,8.15994212556178e-06,0.05751727688018553,89983.10777949083,0,200,209,0,172.92
15,1,15,train,8.15994212556178e-06,7.718008684252376e-06,0.05415889408394283,89983.10777949083,0,200,215,0,222.78
16,1,16,train,7.718008684252376e-06,7.324644025371119e-06,0.05096711794116896,89983.10777949083,0,200,219,0,208.37
17,1,17,train,7.324644025371119e-06,6.95333600796977e-06,0.05069297785874796,89983.10777949083,0,200,216,0,165.11
18,1,18,train,6.95333600796977e-06,6.623352430821452e-06,0.04745687203525011,89983.10777949083,0,200,224,0,190.33
19,1,19,train,6.623352430821452e-06,6.34442749936011e-06,0.04211234935398856,89983.10777949083,0,200,215,0,134.78
20,1,20,train,6.34442749936011e-06,6.076984405894931e-06,0.0421540152349685,89983.10777949083,0,200,212,0,138.98
21,1,21,train,6.076984405894931e-06,5.820781611541156e-06,0.04215952802268948,89983.10777949083,0,200,219,0,116.18
22,1,22,train,5.820781611541156e-06,5.574987236962215e-06,0.042227039422264634,89983.10777949083,0,200,213,0,198.2
23,1,23,train,5.574987236962215e-06,5.349136844337802e-06,0.04051137393230653,89983.10777949083,0,200,213,0,247.61
24,1,24,train,5.349136844337802e-06,5.1155830730016395e-06,0.043661954841066615,89983.10777949083,0,200,213,0,167.26
25,2,0,train,1.0520575091021736e-05,5.591142362905266e-06,0.46855164147093536,95051.83807427034,1,200,209,0,126.02
26,2,1,train,5.591142362905266e-06,5.356615578004179e-06,0.04194613008909727,95051.83807427034,0,200,216,0,194.45
27,2,2,train,5.356615578004179e-06,5.199823150841413e-06,0.029270800728467737,95051.83807427034,0,200,213,0,183.61
28,2,3,train,5.199823150841413e-06,5.082610840571159e-06,0.022541595525472247,95051.83807427034,0,200,212,0,198.81
29,2,4,train,5.082610840571159e-06,4.948836321358874e-06,0.026320039721406657,95051.83807427034,0,200,207,0,172.3
30,2,5,train,4.948836321358874e-06,4.831721223665544e-06,0.02366517906196835,95051.83807427034,0,200,213,0,183.96
31,2,6,train,4.831721223665544e-06,4.6991201777528745e-06,0.02744385277511366,95051.83807427034,0,200,214,0,192.54
32,2,7,train,4.6991201777528745e-06,4.564210671019401e-06,0.028709524683403057,95051.83807427034,0,200,215,0,221.13
33,2,8,train,4.564210671019401e-06,4.426966869232401e-06,0.030069558940044865,95051.83807427034,0,200,214,0,124.33
34,2,9,train,4.426966869232401e-06,4.301357197092325e-06,0.028373754728789207,95051.83807427034,0,200,215,0,133.3
35,2,10,train,4.301357197092325e-06,4.181784996114883e-06,0.027798714568107067,95051.83807427034,0,200,217,0,156.69
36,2,11,train,4.181784996114883e-06,4.069316581945028e-06,0.026894834209397287,95051.83807427034,0,200,215,0,239.63
37,2,12,train,4.069316581945028e-06,3.959852646191322e-06,0.026899832821899734,95051.83807427034,0,200,211,0,198.14
38,2,13,train,3.959852646191322e-06,3.853242609784445e-06,0.026922728175104414,95051.83807427034,0,200,217,0,164.75
39,2,14,train,3.853242609784445e-06,3.7426318168538996e-06,0.02870589893552886,95051.83807427034,0,200,211,0,166.73
40,2,15,train,3.7426318168538996e-06,3.6373291839538527e-06,0.028135985064265703,95051.83807427034,0,200,215,0,140.26
41,2,16,train,3.6373291839538527e-06,3.535499355171957e-06,0.027995769321929875,95051.83807427034,0,200,221,0,127.86
42,2,17,train,3.535499355171957e-06,3.436037917784699e-06,0.028132217657389637,95051.83807427034,0,200,221,0,183.53
43,2,18,train,3.436037917784699e-06,3.347807993463274e-06,0.025677808694936907,95051.83807427034,0,200,221,0,198.04
44,2,19,train,3.347807993463274e-06,3.264313064748766e-06,0.024940178432435595,95051.83807427034,0,200,216,0,208.51
45,2,20,train,3.264313064748766e-06,3.1797498602520785e-06,0.025905359816704852,95051.83807427034,0,200,215,0,161.65
46,2,21,train,3.1797498602520785e-06,3.0993852553688264e-06,0.025273876378716503,95051.83807427034,0,200,214,0,123.75
47,2,22,train,3.0993852553688264e-06,3.0188246337419955e-06,0.025992451724832208,95051.83807427034,0,200,211,0,118.69
48,2,23,train,3.0188246337419955e-06,2.943683158618116e-06,0.024890970573119262,95051.83807427034,0,200,217,0,136.0
49,2,24,train,2.943683158618116e-06,2.8700866919785424e-06,0.025001490538853605,95051.83807427034,0,200,226,0,134.89
50,3,0,train,4.016093390088401e-06,2.845744657496191e-06,0.2914147204546079,248998.19373423196,1,200,209,0,104.45
51,3,1,train,2.845744657496191e-06,2.7722841039159617e-06,0.025814176049394028,248998.19373423196,0,200,212,0,122.86
52,3,2,train,2.7722841039159617e-06,2.7216076174413405e-06,0.018279687281342712,248998.19373423196,0,200,216,0,133.9
53,3,3,train,2.7216076174413405e-06,2.679117456047014e-06,0.015612155522357354,248998.19373423196,0,200,215,0,145.85
54,3,4,train,2.679117456047014e-06,2.641278630419553e-06,0.014123615798200683,248998.19373423196,0,200,215,0,132.53
55,3,5,train,2.641278630419553e-06,2.6035714375473184e-06,0.014276113257405578,248998.19373423196,0,200,214,0,101.68
56,3,6,train,2.6035714375473184e-06,2.563953362892853e-06,0.01521681874486503,248998.19373423196,0,200,216,0,103.32
57,3,7,train,2.563953362892853e-06,2.5208162082963925e-06,0.016824469282775846,248998.19373423196,0,200,216,0,122.79
58,3,8,train,2.5208162082963925e-06,2.4767870891784523e-06,0.017466215495216843,248998.19373423196,0,200,214,0,130.11
59,3,9,train,2.4767870891784523e-06,2.4320849226891965e-06,0.018048449414391696,248998.19373423196,0,200,212,0,99.6
60,3,10,train,2.4320849226891965e-06,2.387075709975102e-06,0.0185064313726048,248998.19373423196,0,200,220,0,120.13
61,3,11,train,2.387075709975102e-06,2.342682415541321e-06,0.01859735501822196,248998.19373423196,0,200,215,0,133.91
62,3,12,train,2.342682415541321e-06,2.2944951388437695e-06,0.020569274084219723,248998.19373423196,0,200,215,0,160.1
63,3,13,train,2.2944951388437695e-06,2.2498109252571916e-06,0.01947452963840009,248998.19373423196,0,200,218,0,186.28
64,3,14,train,2.2498109252571916e-06,2.2038584192658576e-06,0.020425052379048608,248998.19373423196,0,200,220,0,214.74
65,3,15,train,2.2038584192658576e-06,2.1541847870636707e-06,0.02253939353269984,248998.19373423196,0,200,213,0,182.54
66,3,16,train,2.1541847870636707e-06,2.1076490082847694e-06,0.02160250088959794,248998.19373423196,0,200,213,0,168.44
67,3,17,train,2.1076490082847694e-06,2.0625427455749208e-06,0.021401221233964682,248998.19373423196,0,200,224,0,119.38
68,3,18,train,2.0625427455749208e-06,2.018016214020863e-06,0.021588173941891452,248998.19373423196,0,200,218,0,127.69
69,3,19,train,2.018016214020863e-06,1.972863701731806e-06,0.02237470243070608,248998.19373423196,0,200,213,0,126.04
70,3,20,train,1.972863701731806e-06,1.932693032431732e-06,0.020361603928751706,248998.19373423196,0,200,215,0,114.28
71,3,21,train,1.932693032431732e-06,1.889575695636005e-06,0.022309459428989886,248998.19373423196,0,200,217,0,117.59
72,3,22,train,1.889575695636005e-06,1.8438150547026983e-06,0.024217416131563994,248998.19373423196,0,200,220,0,95.07
73,3,23,train,1.8438150547026983e-06,1.802265521600397e-06,0.022534544880913214,248998.19373423196,0,200,218,0,90.2
74,3,24,train,1.802265521600397e-06,1.759290325311078e-06,0.0238450970593708,248998.19373423196,0,200,221,0,83.22
75,4,0,train,2.897064869350685e-06,1.8054266388474327e-06,0.3768083490473997,345176.94463090453,1,200,208,0,107.59
76,4,1,train,1.8054266388474327e-06,1.7612843205486337e-06,0.02444979892784737,345176.94463090453,0,200,214,0,86.41
77,4,2,train,1.7612843205486337e-06,1.7329212710619055e-06,0.016103617772452058,345176.94463090453,0,200,218,0,92.11
78,4,3,train,1.7329212710619055e-06,1.712168309458585e-06,0.011975709427701554,345176.94463090453,0,200,213,0,84.45
79,4,4,train,1.712168309458585e-06,1.6917573913793975e-06,0.011921093251423239,345176.94463090453,0,200,214,0,133.24
80,4,5,train,1.6917573913793975e-06,1.6711442025377757e-06,0.012184482802711139,345176.94463090453,0,200,212,0,130.27
81,4,6,train,1.6711442025377757e-06,1.6517702025005545e-06,0.011593254494615242,345176.94463090453,0,200,210,0,111.04
82,4,7,train,1.6517702025005545e-06,1.6310429964902337e-06,0.012548480399357367,345176.94463090453,0,200,213,0,108.77
83,4,8,train,1.6310429964902337e-06,1.612804929269642e-06,0.011181843311204793,345176.94463090453,0,200,215,0,128.31
84,4,9,train,1.612804929269642e-06,1.5938250388069652e-06,0.011768249289312254,345176.94463090453,0,200,216,0,153.87
85,4,10,train,1.5938250388069652e-06,1.574809574043633e-06,0.01193071027266958,345176.94463090453,0,200,211,0,193.36
86,4,11,train,1.574809574043633e-06,1.5567351149680608e-06,0.011477234691406166,345176.94463090453,0,200,222,0,219.63
87,4,12,train,1.5567351149680608e-06,1.5359161293278286e-06,0.013373492664266998,345176.94463090453,0,200,217,0,193.29
88,4,13,train,1.5359161293278286e-06,1.514785523399017e-06,0.013757656115024325,345176.94463090453,0,200,215,0,135.4
89,4,14,train,1.514785523399017e-06,1.4941958269087928e-06,0.013592483009755215,345176.94463090453,0,200,217,0,126.95
90,4,15,train,1.4941958269087928e-06,1.4705372578348582e-06,0.015833646867345133,345176.94463090453,0,200,213,0,126.67
91,4,16,train,1.4705372578348582e-06,1.4464712533017441e-06,0.016365450385492187,345176.94463090453,0,200,215,0,148.97
92,4,17,train,1.4464712533017441e-06,1.4234110155206373e-06,0.015942410005362385,345176.94463090453,0,200,217,0,123.45
93,4,18,train,1.4234110155206373e-06,1.401849715169381e-06,0.015147627857418137,345176.94463090453,0,200,216,0,165.25
94,4,19,train,1.401849715169381e-06,1.3796210683875115e-06,0.015856654633755615,345176.94463090453,0,200,212,0,169.79
95,4,20,train,1.3796210683875115e-06,1.3572623882074234e-06,0.01620639224234285,345176.94463090453,0,200,217,0,163.01
96,4,21,train,1.3572623882074234e-06,1.3337841914314618e-06,0.017298200392165806,345176.94463090453,0,200,220,0,197.42
