arm,network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
residual,residual_w100_data_s0,data,0,100,4,True,val,0,4551,0.009580738677072986,697.0543501558666,0.0001724784434869748,55.0
residual,residual_w100_data_s0,data,0,100,4,True,val,1,4551,3.4811176466291727,1943.8798690283932,0.01536204233155633,373.71799999999996
residual,residual_w100_data_s0,data,0,100,4,True,val,2,4551,34.53122021556965,6178.442113389736,0.051675852158969415,821.8929999999991
residual,residual_w100_data_s0,data,0,100,4,True,val,3,4551,122.07134519195506,9192.579172580736,0.11180571392964411,2099.987
residual,residual_w100_data_s0,data,0,100,4,True,val,4,2932,414.5020425964958,22005.05448407278,0.2621305068764429,6281.1775
residual,residual_w100_data_s0,data,0,100,4,True,val,5,1524,928.1460671564616,40077.53117868666,0.5226791779010219,7759.312
residual,residual_w100_data_s0,data,0,100,4,True,val,6,856,1032.1899105118337,38514.92675403888,0.5946313057089841,8181.928
residual,residual_w100_data_s0,data,0,100,4,True,test,0,4563,0.009295104798301423,609.0052567729784,0.0001656654456394513,69.21399999999994
residual,residual_w100_data_s0,data,0,100,4,True,test,1,4563,2.9890309263223003,1874.572329232114,0.013163692983375608,335.087
residual,residual_w100_data_s0,data,0,100,4,True,test,2,4563,27.9705178181473,5832.035501772928,0.04367200652372061,752.393
residual,residual_w100_data_s0,data,0,100,4,True,test,3,4563,109.63108035807068,8632.711309756356,0.09914260016728044,1994.9869999999999
residual,residual_w100_data_s0,data,0,100,4,True,test,4,2914,374.68212324211333,16213.113843899919,0.23477595729574224,6269.4015
residual,residual_w100_data_s0,data,0,100,4,True,test,5,1481,909.2369211741698,35030.199017415274,0.48557017240834915,7783.540000000001
residual,residual_w100_data_s0,data,0,100,4,True,test,6,853,1040.7426328417841,27271.219094888816,0.5668919516838011,8330.801
residual,residual_w100_data_s1,data,1,100,4,True,val,0,4551,0.009926533721227315,822.931692753798,0.0001905268170176999,55.0
residual,residual_w100_data_s1,data,1,100,4,True,val,1,4551,3.0947013378295196,2746.703761830453,0.015867692806953437,373.71799999999996
residual,residual_w100_data_s1,data,1,100,4,True,val,2,4551,37.633486820652706,7634.76937410752,0.061573931593304765,821.8929999999991
residual,residual_w100_data_s1,data,1,100,4,True,val,3,4551,136.10670127491176,10125.93420895945,0.1393224243798341,2099.987
residual,residual_w100_data_s1,data,1,100,4,True,val,4,2932,566.6206354358252,23254.947498285124,0.31100288931620734,6281.1775
residual,residual_w100_data_s1,data,1,100,4,True,val,5,1524,1491.8346955146546,31408.923243639896,0.8108435079039328,7759.312
residual,residual_w100_data_s1,data,1,100,4,True,val,6,856,1620.7522053402527,30661.52547189813,0.8646129883302647,8181.928
