network,mode,seed,width,depth,converged,variant,n,med_um,p95_um,slope_med_mrad,first_step_med_um,straight_med_um,label_vs_rk4_med_um
w100_data_s0,data,0,100,4,True,composite_two_steps,2726,23365.905624980503,591156.1078678657,9.72943317271607,1284.038593281025,948414.482682055,0.0451482050038976
w100_data_s0,data,0,100,4,True,single_giant_step,2726,3309.128592695828,77835.09207960342,,,948414.482682055,0.0451482050038976
w100_data_s1,data,1,100,4,True,composite_two_steps,2726,35681.544391740455,415130.84670475894,13.263374869964567,1693.1176228216032,948414.482682055,0.0451482050038976
w100_data_s1,data,1,100,4,True,single_giant_step,2726,2819.4596718298553,85898.83930723066,,,948414.482682055,0.0451482050038976
w100_data_s2,data,2,100,4,True,composite_two_steps,2726,33416.44950838122,285137.67427247856,8.917633433218441,1482.497234852758,948414.482682055,0.0451482050038976
w100_data_s2,data,2,100,4,True,single_giant_step,2726,3158.4417644546647,74921.03439961953,,,948414.482682055,0.0451482050038976
w100_physics_s0,physics,0,100,4,True,composite_two_steps,2726,65591.99475045159,657083.7423836212,23.80926987437536,4017.761375604209,948414.482682055,0.0451482050038976
w100_physics_s0,physics,0,100,4,True,single_giant_step,2726,6121.124251917394,168267.6584189695,,,948414.482682055,0.0451482050038976
w100_physics_s1,physics,1,100,4,True,composite_two_steps,2726,25828.488795142333,584149.2498981177,12.209073651176052,4303.197821056415,948414.482682055,0.0451482050038976
w100_physics_s1,physics,1,100,4,True,single_giant_step,2726,7996.752405409666,166318.0289864816,,,948414.482682055,0.0451482050038976
w100_physics_s2,physics,2,100,4,True,composite_two_steps,2726,28641.547604201605,436070.21752364817,10.290585595221806,4372.445163888074,948414.482682055,0.0451482050038976
w100_physics_s2,physics,2,100,4,True,single_giant_step,2726,9619.853909443129,133003.2203134591,,,948414.482682055,0.0451482050038976
w100_physics_s3,physics,3,100,4,True,composite_two_steps,2726,34018.5544595256,464248.8225434505,8.841525482783503,5799.969692226341,948414.482682055,0.0451482050038976
w100_physics_s3,physics,3,100,4,True,single_giant_step,2726,9118.527417079582,148688.90527622262,,,948414.482682055,0.0451482050038976
w100_physics_s4,physics,4,100,4,True,composite_two_steps,2726,82472.21568523065,780706.1304789541,18.938589715314926,2821.467508821609,948414.482682055,0.0451482050038976
w100_physics_s4,physics,4,100,4,True,single_giant_step,2726,8997.903183652823,150143.30832802638,,,948414.482682055,0.0451482050038976
w100_physics_s5,physics,5,100,4,True,composite_two_steps,2726,67608.08731519777,632982.6367672316,10.566637793174987,4094.853103937112,948414.482682055,0.0451482050038976
w100_physics_s5,physics,5,100,4,True,single_giant_step,2726,10275.877764476605,162786.9305213735,,,948414.482682055,0.0451482050038976
w100_physics_s6,physics,6,100,4,True,composite_two_steps,2726,62915.091053630706,684001.0952734286,11.679003336221399,3745.612447510325,948414.482682055,0.0451482050038976
w100_physics_s6,physics,6,100,4,True,single_giant_step,2726,7781.707846630494,143965.0969888147,,,948414.482682055,0.0451482050038976
w100_physics_s7,physics,7,100,4,True,composite_two_steps,2726,63909.46642327586,518932.10197685787,7.206956710185555,4230.2869810554,948414.482682055,0.0451482050038976
w100_physics_s7,physics,7,100,4,True,single_giant_step,2726,8845.334988961667,145575.70862114403,,,948414.482682055,0.0451482050038976
w100_physics_s8,physics,8,100,4,True,composite_two_steps,2726,55915.95223153013,475565.5518899828,9.413710197842818,4111.385261841462,948414.482682055,0.0451482050038976
w100_physics_s8,physics,8,100,4,True,single_giant_step,2726,8453.935908281532,157794.07182258353,,,948414.482682055,0.0451482050038976
w100_physics_s9,physics,9,100,4,True,composite_two_steps,2726,21406.492078530922,489868.5269483108,7.167956262064316,3836.5623022159807,948414.482682055,0.0451482050038976
w100_physics_s9,physics,9,100,4,True,single_giant_step,2726,8709.878707174312,144371.38791845908,,,948414.482682055,0.0451482050038976
w200_data_s0,data,0,200,4,True,composite_two_steps,2726,40733.19783623109,664232.2118038588,8.990384728430618,1081.4201495779066,948414.482682055,0.0451482050038976
w200_data_s0,data,0,200,4,True,single_giant_step,2726,2022.9787133540044,86331.54391801554,,,948414.482682055,0.0451482050038976
w200_data_s1,data,1,200,4,True,composite_two_steps,2726,30350.654343563925,502221.97311345325,8.573582155564806,1405.9287081454363,948414.482682055,0.0451482050038976
w200_data_s1,data,1,200,4,True,single_giant_step,2726,2318.660915667659,68821.40373580978,,,948414.482682055,0.0451482050038976
w200_data_s2,data,2,200,4,True,composite_two_steps,2726,28302.480389732522,282724.8684483899,12.623055274871176,1125.475884267189,948414.482682055,0.0451482050038976
w200_data_s2,data,2,200,4,True,single_giant_step,2726,2181.8202725393976,71892.0151785187,,,948414.482682055,0.0451482050038976
w200_physics_s0,physics,0,200,4,True,composite_two_steps,2726,28517.355946480962,400091.90923976555,6.707479148039,2854.6226155660006,948414.482682055,0.0451482050038976
w200_physics_s0,physics,0,200,4,True,single_giant_step,2726,5660.730702900764,133892.41991261952,,,948414.482682055,0.0451482050038976
w200_physics_s1,physics,1,200,4,True,composite_two_steps,2726,38748.580820080184,383309.3644619421,5.902778694109934,2631.756500583492,948414.482682055,0.0451482050038976
w200_physics_s1,physics,1,200,4,True,single_giant_step,2726,5131.042904750473,136101.77900972456,,,948414.482682055,0.0451482050038976
w200_physics_s2,physics,2,200,4,True,composite_two_steps,2726,38803.61999982585,384343.9953403458,14.74997724532634,2821.1546055115946,948414.482682055,0.0451482050038976
w200_physics_s2,physics,2,200,4,True,single_giant_step,2726,4482.633474264503,139901.40836405236,,,948414.482682055,0.0451482050038976
