# medians over converged seeds only; unconverged runs excluded
q,physics_endpoint_med_um,physics_endpoint_min_um,physics_endpoint_max_um,physics_stage_med_um,physics_p95_med_um,physics_n_seeds_used,physics_n_seeds_unconverged,physics_n_seeds_missing,data_endpoint_med_um,data_endpoint_min_um,data_endpoint_max_um,data_stage_med_um,data_p95_med_um,data_n_seeds_used,data_n_seeds_unconverged,data_n_seeds_missing,scheme_endpoint_med_um,scheme_endpoint_p95_um,scheme_stage_med_um,scheme_n,scheme_converged_frac,scheme_stratified_endpoint_med_um,scheme_stratified_endpoint_worst_um,straight_med_um
2,5202.036912544074,5199.354994632433,5218.390202543176,16182.00338460856,38565.35585700872,3,0,0,174.1733532596612,168.11319294731675,222.514317869134,278.4046420834727,3053.005445834173,3,0,0,5198.153415332456,37728.184160923054,15556.642634878834,2018,0.9990089197224975,14103.612359560679,1629856.7468924287,520444.39568501245
4,5371.003483586066,5351.759841274472,5393.924818482099,5360.260860178358,53470.78558467025,3,0,0,181.00348525987897,156.7777995409898,181.38709548225052,258.11262664354115,2534.6939784661377,3,0,0,5401.429889457745,54057.38676166751,1138.3598658826627,2018,0.9995044598612488,4297.006151756264,269970.1442065164,520444.33318492764
8,180.94238081681624,164.66117008508263,240.11563388236823,246.54751277114428,4043.817705902699,3,0,0,176.04395969757647,161.82156824369542,204.05219450848477,249.84613422110158,2761.5108355925477,3,0,0,22.544094616847588,1609.9007786735729,10.534900396756974,2018,1.0,29.06626263219181,9457.04384206897,520444.29371907085
16,187.44316646764503,185.67983418824952,279.6035508091066,306.0544394294915,4403.3392647628725,3,0,0,169.7020158902376,146.9180439711124,176.0872152943982,262.0277688733381,2543.616020422255,3,0,0,19.501024817301982,325.238845583487,5.807734767362405,2018,1.0,37.49899945103152,14606.540010786375,520444.31402346474
