tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
w100_data_s0,data,0,100,4,True,val,A,1-5GeV,535.9462544673979,22321.783553475856,772.0078189669766,0.2229741608309188,0.08990572199310434,0.004234441239611784,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
w100_data_s0,data,0,100,4,True,val,A,5-20GeV,351.2758635822194,3806.815710504693,342.9061374334075,0.08817766662219251,0.05375904425625648,0.011755755057332971,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
w100_data_s0,data,0,100,4,True,val,A,20-200GeV,485.44542349605024,2751.907119617801,450.8880759796609,0.07089467651214681,0.12216812455724779,0.0567492100270124,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
w100_data_s0,data,0,100,4,True,val,A,all,450.8976573646377,9041.744716625755,514.6321503923893,0.12126728793781377,0.08438472001162657,0.009524625345137764,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
w100_data_s0,data,0,100,4,True,val,B,1-5GeV,2514.7631106146946,39757.15251570393,3542.39704501299,1.495619916270452,0.00017890713747578156,3.699268352347472e-06,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
w100_data_s0,data,0,100,4,True,val,B,5-20GeV,783.0977709390368,8201.455390095902,1143.5948386318414,0.4055613633415778,0.0003176281810125313,2.5528755427515988e-06,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
w100_data_s0,data,0,100,4,True,val,B,20-200GeV,586.5474342698108,3094.0995033772156,911.633377498486,0.2933874038208283,0.0013207408548898025,1.1685969371634989e-05,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
w100_data_s0,data,0,100,4,True,val,B,all,1093.4327009784965,19811.776356427345,1559.7294759883198,0.6072928258725845,0.0004276327985855353,3.6892304220651082e-06,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
w100_data_s0,data,0,100,4,True,val,C,1-5GeV,342.9944417726869,3006.783839141008,572.3821985913062,0.17709561657285738,0.0005899334812271983,8.39289055236961e-06,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
w100_data_s0,data,0,100,4,True,val,C,5-20GeV,168.66369825732974,838.4079617120506,263.91269607371726,0.07485691443544912,0.00014172166125956794,1.0206589076628919e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
w100_data_s0,data,0,100,4,True,val,C,20-200GeV,104.36801965571307,464.3838237006718,237.4553006411313,0.06244124573184795,0.0001712335924516751,1.7386393456848752e-05,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
w100_data_s0,data,0,100,4,True,val,C,all,230.87962613581902,2124.2384568759576,365.41243724554477,0.1124434693368162,0.0003956988604484069,1.0108403698857043e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
