N,q,dz_mm,rounds,restarts,checkpoint,plateaued_now,first_plateau_round,headline_val_med_um,headline_spread_pct,headline_min_um,headline_max_um,last10_over_prev10,last10_vs_prev10_pct,final_round_val_um,dup_rounds,n_dup_rounds,rounds_rows_read,dup_restarts_from,n_dup_restarts,history_rows_read,interleaved
64,2,80.9,40,1000,0,1,35,89.25572715898511,11.738484724902296,74.58580981207774,95.54034960939362,1.0282029345539796,2.82029345539796,85.0987744190661,,0,40,-1,0,1000,0
128,8,40.5,40,1000,0,1,35,107.04313245227581,10.783905941285516,92.35749729887743,115.44435873939562,1.0049716338982193,0.497163389821924,101.90615765409206,,0,40,-1,0,1000,0
256,16,20.2,60,1807,0,1,60,86.42062498350356,25.88706859167387,74.20605710359496,118.94959003726058,1.0054668621559675,0.5466862155967573,87.55076662436068,48 49 50 51 52 53 54 55 56 57 58 59 60,13,74,1198,302,1807,1
