N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs,rms_no_tail,dz_mm,kind,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm
64,2,0,3,5,x,um,341,138.43968452579247,764.8981995612439,759.5834444527854,-90.01248027509735,2.526217284014365,212.6877793598851,1252.8493431791503,216.4696634682365,80.9,"endpoint (after N steps, at z1)",44,0.12903225806451613,221.9514238067611,125.62727388128955
64,2,0,3,5,y,um,341,207.24393483083503,850.1846011140359,847.8708814862566,62.68033422972704,38.113680220689616,337.1885913529354,1258.4705218414456,299.5997568312395,80.9,"endpoint (after N steps, at z1)",44,0.12903225806451613,221.9514238067611,125.62727388128955
64,2,0,3,5,tx,mrad,341,0.11961216299838373,0.4252860992123433,0.42051779448719895,-0.06350630443407186,-0.062436867190984735,0.19083784075778487,0.9883469438600745,0.22800541949771871,80.9,"endpoint (after N steps, at z1)",44,0.12903225806451613,221.9514238067611,125.62727388128955
64,2,0,3,5,ty,mrad,341,0.15504931990097115,0.692801904294902,0.6848700201543428,0.10453484628788878,0.05041134867884295,0.2598560976999453,1.2438773658456637,0.26566926453056816,80.9,"endpoint (after N steps, at z1)",44,0.12903225806451613,221.9514238067611,125.62727388128955
64,2,0,4,6,x,um,286,92.8344969607906,618.0997527089003,616.6253316825857,-42.66737191513814,-26.486997991444383,146.15421146047532,919.9486131418766,184.4020054512864,80.9,"endpoint (after N steps, at z1)",17,0.05944055944055944,188.82391606460178,113.5621838367238
64,2,0,4,6,y,um,286,130.04709203717013,425.44975082032005,424.53797003166585,27.838866256813596,28.061326773126893,223.31462019754437,655.4989401724924,237.7764494756482,80.9,"endpoint (after N steps, at z1)",17,0.05944055944055944,188.82391606460178,113.5621838367238
64,2,0,4,6,tx,mrad,286,0.07763276173188005,0.2836629192649154,0.281624709625707,-0.03394369888698192,-0.053634762031656846,0.10269045062794024,0.5197562629872948,0.1493551493871611,80.9,"endpoint (after N steps, at z1)",17,0.05944055944055944,188.82391606460178,113.5621838367238
64,2,0,4,6,ty,mrad,286,0.09548697821765151,0.3285614649875354,0.3277332760005053,0.023313860185136176,0.0348590578527104,0.16111587203312944,0.5164555102788321,0.19058008061334886,80.9,"endpoint (after N steps, at z1)",17,0.05944055944055944,188.82391606460178,113.5621838367238
64,2,0,5,7,x,um,233,57.389298317986004,519.8525887853127,519.8504350959034,-1.4963947979371126,-15.166738908988009,91.43809074992191,529.8355519212906,139.71725882232425,80.9,"endpoint (after N steps, at z1)",10,0.04291845493562232,259.4999228796303,91.19906534899889
64,2,0,5,7,y,um,233,88.04846238882647,617.2107814253086,615.9816914553911,38.93204977130772,7.964891661686124,147.5388950234105,543.1859808506032,183.57463638176824,80.9,"endpoint (after N steps, at z1)",10,0.04291845493562232,259.4999228796303,91.19906534899889
