N,q,dz_mm,p_lo,p_hi,kind,n,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm,rad_med_um,rad_rms_um,rad_rms_no_tail_um,checkpoint
64,2,80.9,3,5,"endpoint (after N steps, at z1)",341,44,0.12903225806451613,221.9514238067611,125.62727388128955,278.6704019499498,1143.6271733670308,369.62025038597307,0
64,2,80.9,4,6,"endpoint (after N steps, at z1)",286,17,0.05944055944055944,188.82391606460178,113.5621838367238,187.0527189601845,750.369772027016,300.90154459507477,0
64,2,80.9,5,7,"endpoint (after N steps, at z1)",233,10,0.04291845493562232,259.4999228796303,91.19906534899889,121.32208615795452,806.9670766359874,230.69581603384745,0
64,2,80.9,5,8,"endpoint (after N steps, at z1)",314,11,0.03503184713375796,188.82391606460178,89.29150479641856,99.05965871489606,700.0511826409984,206.72063967685565,0
64,2,80.9,10,20,"endpoint (after N steps, at z1)",317,2,0.006309148264984227,544.0891996968364,51.8479050271107,28.582130161443384,152.00967514522992,84.01343853437982,0
128,8,40.5,3,5,"endpoint (after N steps, at z1)",341,47,0.1378299120234604,225.1562930866806,125.1132099025983,342.0283543891435,1448.418960418744,419.7798348796865,0
128,8,40.5,4,6,"endpoint (after N steps, at z1)",286,20,0.06993006993006994,200.66531664097445,114.3874807316364,208.38698336567035,829.0684357980812,328.5755118203024,0
128,8,40.5,5,7,"endpoint (after N steps, at z1)",233,16,0.06866952789699571,329.6400668178203,89.29150479641856,149.65964134010852,762.1653533778667,260.27719268899983,0
128,8,40.5,5,8,"endpoint (after N steps, at z1)",314,16,0.050955414012738856,329.6400668178203,86.43428253686301,131.6052468874375,662.4303613528905,239.82174537804843,0
128,8,40.5,10,20,"endpoint (after N steps, at z1)",317,1,0.0031545741324921135,613.7805928785398,51.870781014723164,35.17080649252863,143.5117306318215,109.3251297647699,0
256,16,20.2,3,5,"endpoint (after N steps, at z1)",341,36,0.10557184750733138,355.81975685171585,125.62727388128955,274.16525513234967,1256.283203338871,360.1043823129758,0
256,16,20.2,4,6,"endpoint (after N steps, at z1)",286,16,0.055944055944055944,249.6329839604636,114.3874807316364,156.23032461281971,640.1403004594966,258.7483169712448,0
256,16,20.2,5,7,"endpoint (after N steps, at z1)",233,11,0.04721030042918455,232.1466832111567,90.75383393934368,107.74076043587473,558.1611281473167,191.8606339000374,0
256,16,20.2,5,8,"endpoint (after N steps, at z1)",314,11,0.03503184713375796,232.1466832111567,86.7452508526506,98.73282610158094,487.7287154101509,184.1608915948709,0
256,16,20.2,10,20,"endpoint (after N steps, at z1)",317,1,0.0031545741324921135,613.7805928785398,51.870781014723164,44.05400515523487,116.88492884503918,101.90848779106524,0
