what,med_um,p95_um,p99_um,max_um,frac_above_1mm
"this network (N = 64, q = 2)",166.25818774640442,1153.9236640084143,3303.553167816945,24984.76173764126,0.06267217630853994
the exact scheme at the same N and q,0.14654447091345263,1.1688079561650588,18.11279911166949,169.8089256758183,0.0
"Block D: one network per step, same N and q",2304.3390874358956,10200.702084956067,17243.73893713523,64638.09927306458,0.7865013774104683
the straight line,450541.74457507615,1252353.8817897956,1448745.2165704635,1832613.6876875805,1.0
the material floor (real SciFi state vs the RK6 track),1896.348151432535,13432.060636872266,30182.071803739767,117634.1960727742,0.6659779614325069
