what,med_um,p95_um,p99_um,mean_um,max_um,frac_above_1mm,worst5pct_share,n
straight line,450541.74457507615,1252353.8817897956,1448745.2165704635,532052.8302552411,1832613.6876875805,1.0,0.13061916058112125,1452
material floor (real SciFi state vs the RK6 track),1896.348151432535,13432.060636872266,30182.071803739767,3930.3035413834737,117634.1960727742,0.6659779614325069,0.3220639348197367,1452
