component,unit,p_lo,p_hi,n,med,p95,signed_mean,signed_median
x,µm,1.0,2.0,5,1467.1665198994078,6224.695987590507,-1301.5787527428843,-891.0363907177157
x,µm,2.0,3.0,159,334.00267782621995,1581.4212741885267,-123.77835597222149,-71.2118793052241
x,µm,3.0,5.0,341,173.462584811773,1199.7278708956856,44.328799141511105,41.98383277997664
x,µm,5.0,7.0,233,115.1699931371013,684.8740618810324,16.167728471053216,9.481597907893047
x,µm,7.0,10.0,197,87.90070267559713,535.8710774179934,-35.260489465928224,-13.994477544940764
x,µm,10.0,15.0,208,71.95311681633143,350.7706131522875,-68.69405495203483,27.970808209261122
x,µm,15.0,20.0,109,96.28766551298895,672.6639700725963,-41.0880248952971,-8.289965522862985
x,µm,20.0,30.0,115,123.8143569786132,363.9903287003619,-16.74085049412724,-15.454067744826716
x,µm,30.0,50.0,55,112.87425245586746,401.7296269413463,7.091849858945081,44.07639025831145
x,µm,50.0,100.0,24,202.1494293093795,684.9341777656402,19.95873709386467,-23.186763256617837
x,µm,100.0,200.0,6,827.0674931019712,1885.8888287368673,853.3297108534538,827.0674931019712
x,µm,10.0,20.0,317,82.96985428100356,465.19150115331036,-59.20176070539631,18.71413873794836
y,µm,1.0,2.0,5,61.30274468898733,2172.9340105454635,-454.0962778392242,-29.528857491314398
y,µm,2.0,3.0,159,267.40340395917883,1185.2092317624963,-162.95586813496126,-72.41452394282533
y,µm,3.0,5.0,341,109.22400596914628,829.4919244119683,-122.98645504258587,-18.41015985780814
y,µm,5.0,7.0,233,66.97824915576689,715.4091895592264,31.36727649432724,-10.129854815687622
y,µm,7.0,10.0,197,62.53641631082019,286.1968825134907,12.992551300781198,-8.227744645566304
y,µm,10.0,15.0,208,50.222312943372316,219.94947643279232,23.942643721996795,-17.085657726582326
y,µm,15.0,20.0,109,67.06625725655613,199.59960839403223,-2.6781660611284788,-1.3131089100966165
y,µm,20.0,30.0,115,53.75167133206915,134.73912796653167,-3.1204008590213115,9.311251248149688
y,µm,30.0,50.0,55,34.28804510303962,91.25806646829913,-1.623085549636162,-5.911752303163098
y,µm,50.0,100.0,24,48.03179928046575,93.46795197541122,36.19854213678307,43.28606944280566
y,µm,100.0,200.0,6,32.61805796423545,57.25482772874102,25.861044279965977,31.73357229918139
y,µm,10.0,20.0,317,55.74876526122807,221.7903619248317,14.789116067862238,-15.582827132277544
tx,mrad,1.0,2.0,5,0.44121864656515575,2.074179556967115,-0.30451272572753485,-0.3763262373365217
tx,mrad,2.0,3.0,159,0.10721219283882366,0.6457524882282294,-0.023984699061382984,-0.007987519838215107
tx,mrad,3.0,5.0,341,0.06717965898134226,0.41767053559127465,0.03634748386543004,0.032585519678662855
tx,mrad,5.0,7.0,233,0.03603877480407025,0.1930878465918772,0.008899007683126134,-0.002070131262188468
tx,mrad,7.0,10.0,197,0.03562711911655331,0.1774325481979831,-0.022714604036690404,-0.021991085693146006
tx,mrad,10.0,15.0,208,0.024778212376563857,0.14123040422332914,-0.039556445604314275,-0.01616211392686112
tx,mrad,15.0,20.0,109,0.030628681293984328,0.1728546379768449,-0.029697645941634924,-0.018217727396657724
tx,mrad,20.0,30.0,115,0.037135408664505654,0.1321029886707556,-0.007736856793643411,-0.006693592301446061
tx,mrad,30.0,50.0,55,0.043310370192523734,0.13080014818164337,0.019261827251848107,0.02280649186867101
tx,mrad,50.0,100.0,24,0.06961511960952918,0.20658071733381117,-0.04333063766023746,-0.04219478732017429
tx,mrad,100.0,200.0,6,0.27807773425349985,0.7057976613603786,0.27568202165968797,0.27807773425349985
tx,mrad,10.0,20.0,317,0.026260183905238432,0.15819309834086345,-0.03616651133544346,-0.016766673860246772
ty,mrad,1.0,2.0,5,0.14838861062214936,0.7234372984282671,-0.07538507468526964,-0.029629389228368053
ty,mrad,2.0,3.0,159,0.08867437590071373,0.3425737111435899,-0.04402851440652658,-0.00428085110390497
ty,mrad,3.0,5.0,341,0.038513764882987245,0.30475089084566753,-0.010604996276669491,-0.008405004884391026
ty,mrad,5.0,7.0,233,0.023511813513621416,0.22351509755404406,0.015500488577358732,0.00028786664410182516
ty,mrad,7.0,10.0,197,0.01958834893649175,0.11927933904476369,0.004348868360925999,-0.002508728408352756
ty,mrad,10.0,15.0,208,0.016317103581726597,0.07844692457757291,0.0052500361048664025,-0.004073934911321374
ty,mrad,15.0,20.0,109,0.02088255565000502,0.07693529472510006,0.004765940866724463,-0.0016417997168310938
ty,mrad,20.0,30.0,115,0.014527313689437563,0.049400523508481495,0.006176104583128752,0.00445038069514167
ty,mrad,30.0,50.0,55,0.01282041948833662,0.05184804160702562,0.011631957254526308,0.011456912209641124
ty,mrad,50.0,100.0,24,0.017666778673591267,0.05419283916053681,0.020617283675733265,0.017666778673591267
ty,mrad,100.0,200.0,6,0.012013526878292685,0.017940750598033524,0.010815618139636945,0.012013526878292685
ty,mrad,10.0,20.0,317,0.0178505520743652,0.07832499999652909,0.005083580644432739,-0.0035130014272646837
