N,q,restarts,rounds,loss_first,loss_final,loss_end_first,loss_end_last,loss_end_last8_ratio,val_first,val_final,val_last8_mean,val_last8_std,val_best,val_best_round,test_final
2,2,109,6,0.00011834502893599304,1.1843631892350356e-06,5.1155830730016395e-06,1.1934061648266447e-06,4.286539841818845,9515.55284492565,9566.372488257684,9582.274089590619,43.20930698134337,9515.55284492565,1,9249.493663721893
2,4,159,19,0.00011692838460138064,9.888550509866716e-07,4.236148077837761e-06,9.911514529321913e-07,1.0380736911628214,404.71909122862826,271.66475668207113,272.4347309725932,1.3956249292361507,270.10145036013,9,260.9192851975308
2,8,130,17,0.00010356101726223863,1.271533409246567e-06,3.8097223381708597e-06,1.2755050070263325e-06,1.0471529675284785,346.77593901494674,170.29802801545202,173.05966869225742,1.6601603268372103,170.29802801545202,17,168.44927670857146
2,16,106,16,0.00011585667882007511,1.2623739579503954e-06,2.5193435325885893e-06,1.2661964487943283e-06,1.0556141011895328,376.83988896526444,206.1258510159405,210.10202376595544,2.409717849945134,206.1258510159405,16,201.9275516458805
64,2,760,30,1.5173893086626697e-07,1.0982793129209636e-09,3.7099544536935775e-09,4.3624607754699753e-10,1.2779552841612591,346.9541897933581,111.57400751704927,127.19815603549512,11.14266741002003,111.57400751704927,30,152.04463516869282
64,4,714,28,1.406571104223045e-07,7.11309120328958e-10,3.507718194173961e-09,5.874732035330906e-10,0.9688231234607713,399.8288802490606,158.42561944532463,133.72655530849897,10.571052841673918,119.78898711720376,22,161.7945022009053
64,8,657,26,1.3033105808083882e-07,1.1331405487221853e-09,3.590907364393517e-09,4.344339188010499e-10,1.5668042131887308,424.03486786395206,132.97686507866047,145.59951965606643,8.257456478637803,130.79091765138173,14,192.0382595809258
64,16,546,21,1.412325971822476e-07,7.168591630751845e-10,4.026684952463024e-09,7.215223264313201e-10,0.7781344894976112,430.1304775299286,185.2668089199483,169.48143566626328,9.984038437695576,156.93635377490978,19,172.73432129414346
128,2,760,30,3.692851369956397e-08,2.70880827746117e-10,9.153386638339738e-10,1.2923178759819808e-10,1.3973381384879446,388.33781872187956,143.2100730726944,137.34523849681148,8.724242490806644,127.22488509700725,26,189.89272195726414
128,4,713,28,3.48072573524562e-08,2.577625058838881e-10,9.572650464841135e-10,1.822280254131539e-10,0.974305365899803,425.314268525085,145.248958853756,146.03850993834368,7.37406958556085,134.61891473139076,26,174.46088886532607
128,8,599,23,3.2216445894141785e-08,1.4409041065036218e-10,9.33960977179529e-10,1.7437010829952502e-10,0.8815458746563686,492.0813782395044,154.82989627093957,158.61468413034996,8.576674534405008,141.99169269176082,18,144.188647769397
128,16,383,15,3.38254755873376e-08,2.5640556423752966e-10,1.0056806468184539e-09,1.4618225040082094e-10,1.4933982752323014,457.7927492161393,158.0284613768299,176.04938213468913,19.22508285322725,143.4437205901986,13,226.8459172121311
256,2,758,30,9.501995985644787e-09,7.237298893449458e-11,2.2542255130337277e-10,4.338052921767375e-11,1.0196758115281221,356.8334231605945,122.86133098587015,137.56215508985224,6.9406564358255505,122.86133098587015,30,169.50203761777516
256,4,709,28,9.599829609749166e-09,4.9862186291360804e-11,2.2084715002814238e-10,3.28239212530914e-11,1.2451465720025976,395.6800289259945,146.54311919935026,152.72174727155698,11.888093947898602,138.64524554537638,22,177.6933944312269
256,8,615,24,8.033332590550945e-09,4.2218797167606445e-11,2.3193090971753645e-10,4.185628067782891e-11,0.8593812993498969,388.28551863471716,167.73747438330133,154.48011384404836,9.584075487963425,142.60829415320586,22,176.36462435400801
256,16,550,22,8.914524148167494e-09,2.9645690247153356e-11,2.580849332184738e-10,2.9645690247153356e-11,1.294977046773634,441.8066527504294,127.45110083073996,163.56056803266483,18.854734439460024,127.45110083073996,22,122.53454280694598
