N,q,dz_mm,n_pairs,step_med_um,step_p95_um,step_mean_um,straight_line_step_med_um,step_over_straight,step_med_um_p_above_10GeV,step_med_um_p_below_5GeV,chain_med_um,wall_s
2,2,2588.9,2904,1430.8444294652847,13389.794552290377,3705.4968876332177,105150.4267348611,0.013607595079696513,450.8537407421571,6682.094032719033,9249.493663721893,0.0
2,4,2588.9,2904,92.45658066343913,646.3431931257351,206.91542005303572,105150.4267348611,0.0008792791768365357,48.677491773282156,184.44794139850006,260.9192851975308,0.0
2,8,2588.9,2904,62.53152246479128,448.83735105449017,135.6960081224844,105150.4267348611,0.000594686340384198,42.57439865653994,117.38614439454233,168.44927670857146,0.0
2,16,2588.9,2904,72.8120313124187,538.7692261119587,151.8989672008353,105150.4267348611,0.0006924558803362319,49.77484734149925,133.11719454291477,201.9275516458805,0.0
64,2,80.9,92928,0.415097969881748,2.5745056054659683,0.7767673094496158,95.22118810134441,0.004359302568667354,0.213230177069113,0.9781139879672294,152.04463516869282,1.2
64,4,80.9,92928,0.5568156675576446,3.302672605586117,0.991272231305184,95.22118810134441,0.005847602604632729,0.3015219188720737,1.124441664055375,161.7945022009053,1.2
64,8,80.9,92928,0.6476982905712161,3.8205596038986784,1.1525983318437492,95.22118810134441,0.006802039582638555,0.3413607372101455,1.4027941371876125,192.0382595809258,1.2
64,16,80.9,92928,0.8103440734723337,5.220217216928496,1.5100161112545178,95.22118810134441,0.008510123530593635,0.47340913379220645,1.7832651979612981,172.73432129414346,1.5
128,2,40.45,185856,0.15087107701663716,1.130535153610901,0.3202888612157693,23.8174587442814,0.006334474161852447,0.0722792077695885,0.3862884076693618,189.89272195726414,2.3
128,4,40.45,185856,0.25672749332615474,1.5509900662193299,0.4592559410502519,23.8174587442814,0.010778962444420958,0.15976326701852644,0.5249892852203966,174.46088886532607,2.7
128,8,40.45,185856,0.3085802853043117,2.1603018902812887,0.6116543865112467,23.8174587442814,0.012956054154115085,0.1747511983779862,0.7273195976086158,144.188647769397,2.6
128,16,40.45,185856,0.37386993398519097,2.4997850994377586,0.7194391665729564,23.8174587442814,0.01569730582927776,0.2635284234956729,0.8504139390796992,226.8459172121311,3.0
256,2,20.23,371712,0.09063688929116465,0.5227205209474871,0.15717195795315647,5.955219648431883,0.015219739093088025,0.04647440113916017,0.1998350736515394,169.50203761777516,4.9
256,4,20.23,371712,0.08537160980943401,0.6527530355288548,0.17742266803601492,5.955219648431883,0.014335593789880427,0.04765674944666389,0.2167461950632373,177.6933944312269,4.9
256,8,20.23,371712,0.12755840349514738,0.7219866247415987,0.21218143955587226,5.955219648431883,0.021419596761428576,0.06301499804377297,0.25363161714268745,176.36462435400801,5.2
256,16,20.23,371712,0.09442343927348032,0.8136509660169244,0.21012252042865318,5.955219648431883,0.015855576258777242,0.039688219322362994,0.2661299508776473,122.53454280694598,5.4
